title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La estanquera de Vallecas,https://www.palomitacas.com/pelicula/ficha/p111708,111708,7.0,7.0,02 de enero - 2026,2026-01-02
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,,,,
Ninette,https://www.palomitacas.com/pelicula/ficha/p79051,79051,,,,
Seduciendo a un extraño,https://www.palomitacas.com/pelicula/ficha/p7183,7183,,,,
El caso Fritz Bauer,https://www.palomitacas.com/pelicula/ficha/p355065,355065,,,,
El rascacielos,https://www.palomitacas.com/pelicula/ficha/p447200,447200,,,,
La maldición de las brujas,https://www.palomitacas.com/pelicula/ficha/p10166,10166,,,,
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,,,,
El especialista,https://www.palomitacas.com/pelicula/ficha/p2636,2636,6.5,6.5,25 de diciembre - 2025,2025-12-25
El sótano de Ma,https://www.palomitacas.com/pelicula/ficha/p502416,502416,,,,
Cementerio de animales: Los orígenes,https://www.palomitacas.com/pelicula/ficha/p830764,830764,,,,
Cementerio de animales,https://www.palomitacas.com/pelicula/ficha/p157433,157433,,,,
Jane Eyre,https://www.palomitacas.com/pelicula/ficha/p38684,38684,,,,
Gomorra,https://www.palomitacas.com/pelicula/ficha/p8882,8882,,,,
Emboscada final,https://www.palomitacas.com/pelicula/ficha/p500682,500682,6.5,6.5,17 de diciembre - 2025,2025-12-30
Las aventuras de Jeremiah Johnson,https://www.palomitacas.com/pelicula/ficha/p11943,11943,,,,
Ilegales 82,https://www.palomitacas.com/pelicula/ficha/p1197453,1197453,7.0,7.0,10 de diciembre - 2025,2025-12-14
Flores para Antonio,https://www.palomitacas.com/pelicula/ficha/p1357349,1357349,7.0,7.0,04 de diciembre - 2025,2025-12-04
La deuda,https://www.palomitacas.com/pelicula/ficha/p1440144,1440144,,,,
Éxtasis,https://www.palomitacas.com/pelicula/ficha/p115665,115665,5.5,5.5,30 de noviembre - 2025,2025-11-30
Esto no es Hollywood (La historia inacabada de los hermanos Ibarretxe),https://www.palomitacas.com/pelicula/ficha/p1346543,1346543,,,,
Agua para elefantes,https://www.palomitacas.com/pelicula/ficha/p55787,55787,,,,
Juegos salvajes: Red de traiciones,https://www.palomitacas.com/pelicula/ficha/p37708,37708,,,,
Juegos salvajes III,https://www.palomitacas.com/pelicula/ficha/p17124,17124,,,,
Juegos salvajes 2,https://www.palomitacas.com/pelicula/ficha/p10367,10367,,,,
Juegos salvajes,https://www.palomitacas.com/pelicula/ficha/p617,617,6.0,6.0,30 de noviembre - 2025,2025-12-24
El círculo,https://www.palomitacas.com/pelicula/ficha/p2671,2671,6.0,6.0,29 de noviembre - 2025,2025-11-30
Traffic,https://www.palomitacas.com/pelicula/ficha/p1900,1900,,,,
The Game,https://www.palomitacas.com/pelicula/ficha/p2649,2649,,,,
El abuelo que no pagó la cuenta y se largó,https://www.palomitacas.com/pelicula/ficha/p404791,404791,,,,
El abuelo que saltó por la ventana y se largó,https://www.palomitacas.com/pelicula/ficha/p145247,145247,,,,
Muerte en el Nilo,https://www.palomitacas.com/pelicula/ficha/p4192,4192,,,,
Muerte en el Nilo,https://www.palomitacas.com/pelicula/ficha/p505026,505026,,,,
Hombres de honor,https://www.palomitacas.com/pelicula/ficha/p11978,11978,7.0,7.0,25 de noviembre - 2025,2025-11-25
El escándalo (Bombshell),https://www.palomitacas.com/pelicula/ficha/p525661,525661,,,,
