title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,6.5,6.5,27 de octubre - 2025,2025-10-27
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.5,7.5,27 de octubre - 2025,2025-10-27
Ice Road,https://www.palomitacas.com/pelicula/ficha/p646207,646207,6.5,6.5,21 de septiembre - 2025,2025-09-21
Rambo: Last Blood,https://www.palomitacas.com/pelicula/ficha/p522938,522938,6.0,6.0,21 de septiembre - 2025,2025-09-21
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,7.5,7.5,11 de septiembre - 2025,2025-09-11
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,6.5,6.5,11 de septiembre - 2025,2025-09-11
John Rambo,https://www.palomitacas.com/pelicula/ficha/p7555,7555,6.5,6.5,11 de septiembre - 2025,2025-09-11
Rambo III,https://www.palomitacas.com/pelicula/ficha/p1370,1370,,,,
Rambo: Acorralado Parte II,https://www.palomitacas.com/pelicula/ficha/p1369,1369,,,,
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.5,7.5,05 de septiembre - 2025,2025-09-05
Acorralado,https://www.palomitacas.com/pelicula/ficha/p1368,1368,7.0,7.0,05 de septiembre - 2025,2025-09-05
"Buenos días, tristeza",https://www.palomitacas.com/pelicula/ficha/p1127648,1127648,6.0,6.0,23 de agosto - 2025,2025-08-23
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,7.0,7.0,23 de agosto - 2025,2025-08-23
Echo Valley,https://www.palomitacas.com/pelicula/ficha/p1097311,1097311,6.0,6.0,15 de julio - 2025,2025-07-15
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,7.5,7.5,06 de julio - 2025,2025-07-06
Amenaza en el aire,https://www.palomitacas.com/pelicula/ficha/p1126166,1126166,6.0,6.0,16 de junio - 2025,2025-06-16
Deep Cover,https://www.palomitacas.com/pelicula/ficha/p1239193,1239193,7.5,7.5,16 de junio - 2025,2025-06-16
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.5,7.5,21 de mayo - 2025,2025-05-21
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,7.0,7.0,14 de abril - 2025,2025-04-14
Cosmoball,https://www.palomitacas.com/pelicula/ficha/p517096,517096,7.0,7.0,13 de abril - 2025,2025-04-13
Holland,https://www.palomitacas.com/pelicula/ficha/p257094,257094,6.0,6.0,13 de abril - 2025,2025-04-13
Un espía y medio,https://www.palomitacas.com/pelicula/ficha/p302699,302699,7.0,7.0,20 de marzo - 2025,2025-03-20
