title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,8.5,8.5,08 de marzo - 2025,2025-03-08
La llamada de lo salvaje,https://www.palomitacas.com/pelicula/ficha/p481848,481848,,,,
El coleccionista de huesos,https://www.palomitacas.com/pelicula/ficha/p9481,9481,,,,
Curvature,https://www.palomitacas.com/pelicula/ficha/p475961,475961,2.5,2.5,14 de noviembre - 2024,2024-11-14
Monolith,https://www.palomitacas.com/pelicula/ficha/p1024721,1024721,,,,
Life Like,https://www.palomitacas.com/pelicula/ficha/p586707,586707,,,,
El núcleo,https://www.palomitacas.com/pelicula/ficha/p9341,9341,,,,
Columns,https://www.palomitacas.com/pelicula/ficha/p1311916,1311916,,,,
Soy Celine Dion,https://www.palomitacas.com/pelicula/ficha/p879805,879805,,,,
Parallel,https://www.palomitacas.com/pelicula/ficha/p426793,426793,,,,
El tiempo en sus manos,https://www.palomitacas.com/pelicula/ficha/p2134,2134,,,,
Primer,https://www.palomitacas.com/pelicula/ficha/p14337,14337,,,,
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,,,,
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,,,,
Guerra Civil,https://www.palomitacas.com/pelicula/ficha/p929590,929590,,,,
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,,,,
Furiosa: de la saga Mad Max,https://www.palomitacas.com/pelicula/ficha/p786892,786892,,,,
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,,,,
Shang-Chi y la leyenda de los Diez Anillos,https://www.palomitacas.com/pelicula/ficha/p566525,566525,,,,
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,7.0,7.0,30 de mayo - 2024,2024-09-01
En las profundidades del Sena,https://www.palomitacas.com/pelicula/ficha/p1001311,1001311,4.5,4.5,29 de mayo - 2024,2024-06-17
Timeline,https://www.palomitacas.com/pelicula/ficha/p9562,9562,,,,
Biônicos,https://www.palomitacas.com/pelicula/ficha/p1025463,1025463,,,,
Atlas,https://www.palomitacas.com/pelicula/ficha/p614933,614933,7.0,7.0,27 de mayo - 2024,2024-06-18
Rubikon,https://www.palomitacas.com/pelicula/ficha/p793961,793961,,,,
La espía,https://www.palomitacas.com/pelicula/ficha/p852436,852436,5.0,5.0,31 de marzo - 2024,2024-03-31
Damsel,https://www.palomitacas.com/pelicula/ficha/p763215,763215,8.0,8.0,11 de marzo - 2024,2024-03-23
Sputnik,https://www.palomitacas.com/pelicula/ficha/p594718,594718,7.0,7.0,08 de febrero - 2024,2024-02-08
Cocoon: El retorno,https://www.palomitacas.com/pelicula/ficha/p11285,11285,,,,
¡Nop!,https://www.palomitacas.com/pelicula/ficha/p762504,762504,,,,
The Colony,https://www.palomitacas.com/pelicula/ficha/p760873,760873,,,,
Madame Web,https://www.palomitacas.com/pelicula/ficha/p634492,634492,,,,
Out of Darkness,https://www.palomitacas.com/pelicula/ficha/p823491,823491,,,,
65,https://www.palomitacas.com/pelicula/ficha/p700391,700391,,,,
Un lugar tranquilo 2,https://www.palomitacas.com/pelicula/ficha/p520763,520763,8.0,8.0,08 de febrero - 2024,2024-02-08
Un lugar tranquilo,https://www.palomitacas.com/pelicula/ficha/p447332,447332,8.5,8.5,08 de febrero - 2024,2024-02-08
El Silencio,https://www.palomitacas.com/pelicula/ficha/p527261,527261,6.5,6.5,08 de febrero - 2024,2024-02-08
La zona de interés,https://www.palomitacas.com/pelicula/ficha/p467244,467244,,,,
Super Mario Bros: La película,https://www.palomitacas.com/pelicula/ficha/p502356,502356,9.5,9.5,25 de diciembre - 2023,2023-12-25
Bright,https://www.palomitacas.com/pelicula/ficha/p400106,400106,,,,
Lava,https://www.palomitacas.com/pelicula/ficha/p286192,286192,10.0,10.0,21 de diciembre - 2023,2023-12-21
David Holmes: El chico que sobrevivió,https://www.palomitacas.com/pelicula/ficha/p1190725,1190725,9.5,9.5,21 de diciembre - 2023,2023-12-21
Barbie,https://www.palomitacas.com/pelicula/ficha/p346698,346698,8.0,8.0,19 de diciembre - 2023,2023-12-19
Upgrade (Ilimitado),https://www.palomitacas.com/pelicula/ficha/p500664,500664,8.0,8.0,16 de diciembre - 2023,2023-12-16
The Astral Woods,https://www.palomitacas.com/pelicula/ficha/p1084750,1084750,,,,
Lifeforms,https://www.palomitacas.com/pelicula/ficha/p1194071,1194071,,,,
Watermelon Man,https://www.palomitacas.com/pelicula/ficha/p42600,42600,,,,
Titicut Follies,https://www.palomitacas.com/pelicula/ficha/p41212,41212,,,,
Star Trek V: La última frontera,https://www.palomitacas.com/pelicula/ficha/p172,172,,,,
Star Trek II: La ira de Khan,https://www.palomitacas.com/pelicula/ficha/p154,154,,,,
La ballena,https://www.palomitacas.com/pelicula/ficha/p785084,785084,,,,
El Gato con Botas: El último deseo,https://www.palomitacas.com/pelicula/ficha/p315162,315162,9.0,9.0,13 de marzo - 2023,2023-12-19
Memento,https://www.palomitacas.com/pelicula/ficha/p77,77,,,,
Midnight in Paris,https://www.palomitacas.com/pelicula/ficha/p59436,59436,,,,
Mortal Engines,https://www.palomitacas.com/pelicula/ficha/p428078,428078,8.0,8.0,11 de septiembre - 2022,2022-09-11
Un pliegue en el tiempo,https://www.palomitacas.com/pelicula/ficha/p407451,407451,,,,
Salir del ropero,https://www.palomitacas.com/pelicula/ficha/p587970,587970,0.5,0.5,08 de agosto - 2022,2022-08-08
La ciudad perdida,https://www.palomitacas.com/pelicula/ficha/p752623,752623,2.5,2.5,20 de julio - 2022,2022-07-20
Jurassic World: El reino caído,https://www.palomitacas.com/pelicula/ficha/p351286,351286,8.5,8.5,12 de julio - 2022,2022-07-12
Jurassic Park III (Parque Jurásico III),https://www.palomitacas.com/pelicula/ficha/p331,331,5.5,5.5,12 de julio - 2022,2022-07-12
Gattaca,https://www.palomitacas.com/pelicula/ficha/p782,782,,,,
El mundo perdido: Jurassic Park,https://www.palomitacas.com/pelicula/ficha/p330,330,9.5,9.5,11 de julio - 2022,2022-07-12
Jurassic Park (Parque Jurásico),https://www.palomitacas.com/pelicula/ficha/p329,329,9.5,9.5,11 de julio - 2022,2022-07-12
Elysium,https://www.palomitacas.com/pelicula/ficha/p68724,68724,,,,
El Proyecto Adam,https://www.palomitacas.com/pelicula/ficha/p696806,696806,,,,
Laura Pausini - Un Placer Conocerte,https://www.palomitacas.com/pelicula/ficha/p852664,852664,,,,
Animales Fantásticos 3: Los Secretos de Dumbledore,https://www.palomitacas.com/pelicula/ficha/p338953,338953,,,,
La Tierra es plana,https://www.palomitacas.com/pelicula/ficha/p520777,520777,,,,
El mapa de las pequeñas cosas perfectas,https://www.palomitacas.com/pelicula/ficha/p672647,672647,,,,
Shiva Baby,https://www.palomitacas.com/pelicula/ficha/p664300,664300,,,,
El dragón de los deseos,https://www.palomitacas.com/pelicula/ficha/p550205,550205,,,,
Los Mitchell contra las máquinas,https://www.palomitacas.com/pelicula/ficha/p501929,501929,,,,
Harry Potter 20 aniversario: Regreso a Hogwarts,https://www.palomitacas.com/pelicula/ficha/p899082,899082,10.0,10.0,03 de enero - 2022,2022-01-03
火星异变,https://www.palomitacas.com/pelicula/ficha/p866408,866408,,,,
Zona 414,https://www.palomitacas.com/pelicula/ficha/p675319,675319,,,,
Apex,https://www.palomitacas.com/pelicula/ficha/p763164,763164,,,,
Infinite,https://www.palomitacas.com/pelicula/ficha/p581726,581726,,,,
Solitary,https://www.palomitacas.com/pelicula/ficha/p725273,725273,,,,
Cacería Jurásica,https://www.palomitacas.com/pelicula/ficha/p848278,848278,,,,
Señales del futuro,https://www.palomitacas.com/pelicula/ficha/p13811,13811,,,,
Seobok,https://www.palomitacas.com/pelicula/ficha/p586047,586047,,,,
Disomnia,https://www.palomitacas.com/pelicula/ficha/p615658,615658,,,,
Prisioneros de la tierra,https://www.palomitacas.com/pelicula/ficha/p335367,335367,,,,
Friends: El Reencuentro,https://www.palomitacas.com/pelicula/ficha/p691179,691179,9.5,9.5,11 de septiembre - 2021,2021-09-11
La Purga: Infinita,https://www.palomitacas.com/pelicula/ficha/p602223,602223,,,,
Independence Day: Contraataque,https://www.palomitacas.com/pelicula/ficha/p47933,47933,,,,
Independence Day,https://www.palomitacas.com/pelicula/ficha/p602,602,,,,
Ice Age: La edad de hielo,https://www.palomitacas.com/pelicula/ficha/p425,425,,,,
Ice Age 3: El origen de los dinosaurios,https://www.palomitacas.com/pelicula/ficha/p8355,8355,,,,
Ice Age 2: El deshielo,https://www.palomitacas.com/pelicula/ficha/p950,950,,,,
Ice Age: El gran cataclismo,https://www.palomitacas.com/pelicula/ficha/p278154,278154,,,,
El aristócrata solterón,https://www.palomitacas.com/pelicula/ficha/p330590,330590,,,,
Sherlock Holmes: El vampiro de Sussex,https://www.palomitacas.com/pelicula/ficha/p61692,61692,,,,
La aventura de Charles Augustus Milverton,https://www.palomitacas.com/pelicula/ficha/p309199,309199,,,,
The Hound of the Baskervilles,https://www.palomitacas.com/pelicula/ficha/p68352,68352,,,,
El signo de los cuatro,https://www.palomitacas.com/pelicula/ficha/p329303,329303,,,,
Solo en casa 2: Perdido en Nueva York,https://www.palomitacas.com/pelicula/ficha/p772,772,,,,
Solo en casa,https://www.palomitacas.com/pelicula/ficha/p771,771,,,,
El cuento de la princesa Kaguya,https://www.palomitacas.com/pelicula/ficha/p149871,149871,,,,
El recuerdo de Marnie,https://www.palomitacas.com/pelicula/ficha/p242828,242828,,,,
Puedo escuchar el mar,https://www.palomitacas.com/pelicula/ficha/p21057,21057,,,,
Haru en el reino de los gatos,https://www.palomitacas.com/pelicula/ficha/p15370,15370,,,,
El viento se levanta,https://www.palomitacas.com/pelicula/ficha/p149870,149870,,,,
Mis vecinos los Yamada,https://www.palomitacas.com/pelicula/ficha/p16198,16198,,,,
La colina de las amapolas,https://www.palomitacas.com/pelicula/ficha/p83389,83389,,,,
Ponyo en el acantilado,https://www.palomitacas.com/pelicula/ficha/p12429,12429,,,,
Cuentos de Terramar,https://www.palomitacas.com/pelicula/ficha/p37933,37933,,,,
Recuerdos del ayer,https://www.palomitacas.com/pelicula/ficha/p15080,15080,,,,
Pompoko,https://www.palomitacas.com/pelicula/ficha/p15283,15283,,,,
El viaje de Chihiro,https://www.palomitacas.com/pelicula/ficha/p129,129,,,,
El castillo en el cielo,https://www.palomitacas.com/pelicula/ficha/p10515,10515,,,,
Arrietty y el mundo de los diminutos,https://www.palomitacas.com/pelicula/ficha/p51739,51739,,,,
La tumba de las luciérnagas,https://www.palomitacas.com/pelicula/ficha/p12477,12477,,,,
El castillo ambulante,https://www.palomitacas.com/pelicula/ficha/p4935,4935,,,,
"Nicky, la aprendiz de bruja",https://www.palomitacas.com/pelicula/ficha/p16859,16859,,,,
Porco Rosso,https://www.palomitacas.com/pelicula/ficha/p11621,11621,,,,
Susurros del corazón,https://www.palomitacas.com/pelicula/ficha/p37797,37797,,,,
Mi vecino Totoro,https://www.palomitacas.com/pelicula/ficha/p8392,8392,,,,
Nausicaä del valle del viento,https://www.palomitacas.com/pelicula/ficha/p81,81,,,,
La princesa Mononoke,https://www.palomitacas.com/pelicula/ficha/p128,128,,,,
Sister Act 2: De vuelta al convento,https://www.palomitacas.com/pelicula/ficha/p6279,6279,,,,
Sister Act (Una monja de cuidado),https://www.palomitacas.com/pelicula/ficha/p2005,2005,,,,
Sin City: Una dama por la que matar,https://www.palomitacas.com/pelicula/ficha/p189,189,,,,
Sin City: Ciudad del pecado,https://www.palomitacas.com/pelicula/ficha/p187,187,,,,
Skylines,https://www.palomitacas.com/pelicula/ficha/p560144,560144,,,,
Beyond Skyline,https://www.palomitacas.com/pelicula/ficha/p271404,271404,,,,
Skyline,https://www.palomitacas.com/pelicula/ficha/p42684,42684,,,,
Stuart Little: Aventura en el bosque,https://www.palomitacas.com/pelicula/ficha/p30178,30178,,,,
Stuart Little 2,https://www.palomitacas.com/pelicula/ficha/p10996,10996,,,,
Stuart Little,https://www.palomitacas.com/pelicula/ficha/p10137,10137,,,,
Spy Kids 2: La isla de los sueños perdidos,https://www.palomitacas.com/pelicula/ficha/p9488,9488,,,,
Spy Kids 4: Todo el tiempo del mundo,https://www.palomitacas.com/pelicula/ficha/p56288,56288,,,,
Spy Kids 3D: Game Over,https://www.palomitacas.com/pelicula/ficha/p12279,12279,,,,
Spy Kids,https://www.palomitacas.com/pelicula/ficha/p10054,10054,,,,
Escuadrón suicida,https://www.palomitacas.com/pelicula/ficha/p297761,297761,,,,
Toy Story 2,https://www.palomitacas.com/pelicula/ficha/p863,863,,,,
