title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,18 de diciembre - 2025,2025-12-18
Keeper,https://www.palomitacas.com/pelicula/ficha/p1288072,1288072,,,,
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,,,,
FLOW,https://www.palomitacas.com/pelicula/ficha/p1281775,1281775,,,,
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
Good Fortune,https://www.palomitacas.com/pelicula/ficha/p1114967,1114967,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Roofman,https://www.palomitacas.com/pelicula/ficha/p1242419,1242419,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,8.0,8.0,03 de noviembre - 2025,2025-11-17
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,,,,
Bloody Axe Wound,https://www.palomitacas.com/pelicula/ficha/p1396558,1396558,,,,
V/H/S/HALLOWEEN,https://www.palomitacas.com/pelicula/ficha/p1373445,1373445,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,,,,
Afterburn (Zona Cero),https://www.palomitacas.com/pelicula/ficha/p507244,507244,,,,
El elixir de la inmortalidad,https://www.palomitacas.com/pelicula/ficha/p1306525,1306525,,,,
Los cretinos,https://www.palomitacas.com/pelicula/ficha/p927254,927254,,,,
Night of the Reaper,https://www.palomitacas.com/pelicula/ficha/p1502943,1502943,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Noche de paz: Cazadores de demonios,https://www.palomitacas.com/pelicula/ficha/p793387,793387,,,,
Regalo maldito,https://www.palomitacas.com/pelicula/ficha/p1251717,1251717,4.5,4.5,16 de octubre - 2025,2025-10-23
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,6.5,6.5,13 de octubre - 2025,2025-10-21
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,,,,
El hombre de abajo,https://www.palomitacas.com/pelicula/ficha/p957121,957121,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,,,,
The Toxic Avenger Unrated,https://www.palomitacas.com/pelicula/ficha/p338969,338969,,,,
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,,,,
Prisionero de guerra,https://www.palomitacas.com/pelicula/ficha/p1328803,1328803,,,,
사마귀,https://www.palomitacas.com/pelicula/ficha/p1267319,1267319,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,8.0,8.0,29 de septiembre - 2025,2025-10-03
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,,,,
Batman Azteca: Choque de imperios,https://www.palomitacas.com/pelicula/ficha/p987400,987400,,,,
El mejor,https://www.palomitacas.com/pelicula/ficha/p986097,986097,,,,
Lookout,https://www.palomitacas.com/pelicula/ficha/p1530127,1530127,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
