title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,5.0,5.0,29 de diciembre - 2025,2025-12-29
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p30584,30584,,,,
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p559907,559907,5.5,5.5,27 de diciembre - 2025,2025-12-27
Marty Supreme,https://www.palomitacas.com/pelicula/ficha/p1317288,1317288,,,,
Intacto,https://www.palomitacas.com/pelicula/ficha/p10856,10856,,,,
La última cena,https://www.palomitacas.com/pelicula/ficha/p12520,12520,,,,
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,,,,
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,,,,
Puñales por la espalda 3,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
De amor y monstruos,https://www.palomitacas.com/pelicula/ficha/p590223,590223,,,,
Sissy,https://www.palomitacas.com/pelicula/ficha/p934207,934207,,,,
Five Nights at Freddy's,https://www.palomitacas.com/pelicula/ficha/p507089,507089,3.0,3.0,31 de octubre - 2025,2025-10-31
El asesino del nudo,https://www.palomitacas.com/pelicula/ficha/p544431,544431,3.0,3.0,28 de octubre - 2025,2025-10-28
The Midnight Man,https://www.palomitacas.com/pelicula/ficha/p492621,492621,,,,
Cuentos de Halloween,https://www.palomitacas.com/pelicula/ficha/p306964,306964,,,,
The Barn,https://www.palomitacas.com/pelicula/ficha/p378017,378017,,,,
Hell House LLC,https://www.palomitacas.com/pelicula/ficha/p359246,359246,,,,
Bloody Axe Wound,https://www.palomitacas.com/pelicula/ficha/p1396558,1396558,,,,
Tito Paleto,https://www.palomitacas.com/pelicula/ficha/p667154,667154,6.5,6.5,23 de octubre - 2025,2025-10-23
Terror en Amityville,https://www.palomitacas.com/pelicula/ficha/p11449,11449,5.0,5.0,21 de octubre - 2025,2025-10-21
Hermanos,https://www.palomitacas.com/pelicula/ficha/p7445,7445,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.0,6.0,06 de octubre - 2025,2025-11-14
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,,,,
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,,,,
Monster Summer,https://www.palomitacas.com/pelicula/ficha/p928480,928480,2.5,2.5,03 de octubre - 2025,2025-10-03
Primitive War,https://www.palomitacas.com/pelicula/ficha/p1257009,1257009,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,,,,
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,5.0,5.0,25 de septiembre - 2025,2025-09-25
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
El nadador,https://www.palomitacas.com/pelicula/ficha/p33564,33564,,,,
Anaconda,https://www.palomitacas.com/pelicula/ficha/p1234731,1234731,,,,
El insoportable peso de un talento descomunal,https://www.palomitacas.com/pelicula/ficha/p648579,648579,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,,,,
Heretic (Hereje),https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,7.0,7.0,31 de agosto - 2025,2025-09-13
Aún Estoy Aquí,https://www.palomitacas.com/pelicula/ficha/p1000837,1000837,,,,
Dogman,https://www.palomitacas.com/pelicula/ficha/p944401,944401,,,,
Siete reyes deben morir,https://www.palomitacas.com/pelicula/ficha/p948713,948713,,,,
Sound of Freedom,https://www.palomitacas.com/pelicula/ficha/p678512,678512,,,,
Yo capitán,https://www.palomitacas.com/pelicula/ficha/p937746,937746,,,,
Ogni maledetto Fantacalcio,https://www.palomitacas.com/pelicula/ficha/p1500691,1500691,5.0,5.0,31 de agosto - 2025,2025-11-19
La quimera,https://www.palomitacas.com/pelicula/ficha/p837335,837335,,,,
Bird,https://www.palomitacas.com/pelicula/ficha/p1128752,1128752,,,,
Cuando acecha la maldad,https://www.palomitacas.com/pelicula/ficha/p744857,744857,7.0,7.0,26 de agosto - 2025,2025-08-30
xXx,https://www.palomitacas.com/pelicula/ficha/p7451,7451,,,,
Tiburón: la historia definitiva,https://www.palomitacas.com/pelicula/ficha/p1308619,1308619,8.0,8.0,04 de agosto - 2025,2025-08-04
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
Atrapados en un bucle infinito,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,4.0,4.0,02 de agosto - 2025,2025-08-06
Más allá de los dos minutos infinitos,https://www.palomitacas.com/pelicula/ficha/p805627,805627,7.5,7.5,01 de agosto - 2025,2025-08-01
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,6.0,6.0,31 de julio - 2025,2025-07-31
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,4.0,4.0,30 de julio - 2025,2025-07-30
Dream Scenario,https://www.palomitacas.com/pelicula/ficha/p823482,823482,6.0,6.0,29 de julio - 2025,2025-07-29
The Surfer,https://www.palomitacas.com/pelicula/ficha/p1128655,1128655,,,,
El guardián de las palabras,https://www.palomitacas.com/pelicula/ficha/p15139,15139,5.5,5.5,26 de julio - 2025,2025-07-27
1492: La conquista del paraíso,https://www.palomitacas.com/pelicula/ficha/p1492,1492,5.0,5.0,24 de julio - 2025,2025-07-26
Los horrores de Caddo Lake,https://www.palomitacas.com/pelicula/ficha/p863873,863873,7.0,7.0,22 de julio - 2025,2025-07-22
Héroes en el infierno,https://www.palomitacas.com/pelicula/ficha/p395991,395991,3.0,3.0,20 de julio - 2025,2025-07-20
Terremoto,https://www.palomitacas.com/pelicula/ficha/p416194,416194,6.0,6.0,19 de julio - 2025,2025-07-19
Sacrificio de leyenda,https://www.palomitacas.com/pelicula/ficha/p332979,332979,,,,
(Daylight) Pánico en el túnel,https://www.palomitacas.com/pelicula/ficha/p11228,11228,6.0,6.0,06 de julio - 2025,2025-07-06
Río salvaje,https://www.palomitacas.com/pelicula/ficha/p8987,8987,5.0,5.0,30 de junio - 2025,2025-06-30
El cabo del terror,https://www.palomitacas.com/pelicula/ficha/p11349,11349,,,,
"Las locas, locas aventuras de Robin Hood",https://www.palomitacas.com/pelicula/ficha/p8005,8005,5.0,5.0,28 de junio - 2025,2025-06-29
Love & Mercy,https://www.palomitacas.com/pelicula/ficha/p271714,271714,7.5,7.5,27 de junio - 2025,2025-08-10
Junto a los dioses: Los últimos 49 días,https://www.palomitacas.com/pelicula/ficha/p518068,518068,5.0,5.0,26 de junio - 2025,2025-06-26
Along with the Gods: Los dos mundos,https://www.palomitacas.com/pelicula/ficha/p397567,397567,3.0,3.0,24 de junio - 2025,2025-06-24
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,4.0,4.0,23 de junio - 2025,2025-08-16
"Tiburón, en las garras del hombre",https://www.palomitacas.com/pelicula/ficha/p13894,13894,6.0,6.0,20 de junio - 2025,2025-06-20
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,,,,
La mujer avispa,https://www.palomitacas.com/pelicula/ficha/p27545,27545,5.0,5.0,18 de junio - 2025,2025-06-18
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,,,,
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,5.5,5.5,15 de junio - 2025,2025-08-26
The Human Centipede 3 (Final Sequence),https://www.palomitacas.com/pelicula/ficha/p94365,94365,,,,
The Human Centipede (First Sequence),https://www.palomitacas.com/pelicula/ficha/p37169,37169,,,,
The Human Centipede 2 (Full Sequence),https://www.palomitacas.com/pelicula/ficha/p74997,74997,,,,
El maestro que prometió el mar,https://www.palomitacas.com/pelicula/ficha/p1024541,1024541,,,,
Monstruo,https://www.palomitacas.com/pelicula/ficha/p1050035,1050035,,,,
El Conde de Montecristo,https://www.palomitacas.com/pelicula/ficha/p1084736,1084736,,,,
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,4.0,4.0,06 de junio - 2025,2025-06-19
Historias extraordinarias,https://www.palomitacas.com/pelicula/ficha/p111188,111188,,,,
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,4.0,4.0,09 de mayo - 2025,2025-08-08
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,3.0,3.0,02 de mayo - 2025,2025-06-08
