title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El hombre invisible,https://www.palomitacas.com/pelicula/ficha/p570670,570670,7.0,7.0,15 de noviembre - 2025,2025-11-14
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,1.0,1.0,01 de noviembre - 2025,2025-11-01
Todo sobre mi padre,https://www.palomitacas.com/pelicula/ficha/p829051,829051,6.0,6.0,10 de agosto - 2025,2025-08-09
Un funeral de locos,https://www.palomitacas.com/pelicula/ficha/p1358013,1358013,6.5,6.5,27 de julio - 2025,2025-07-26
Un novio para mi mujer,https://www.palomitacas.com/pelicula/ficha/p932339,932339,4.0,4.0,17 de mayo - 2025,2025-05-17
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,5.0,5.0,11 de mayo - 2025,2025-05-03
Anatema,https://www.palomitacas.com/pelicula/ficha/p1104390,1104390,2.5,2.5,11 de mayo - 2025,2025-05-11
Ten cuidado a quién llamas,https://www.palomitacas.com/pelicula/ficha/p723072,723072,7.0,7.0,23 de marzo - 2025,2025-03-22
Parpadea dos veces,https://www.palomitacas.com/pelicula/ficha/p840705,840705,6.5,6.5,22 de marzo - 2025,2025-03-21
Háblame,https://www.palomitacas.com/pelicula/ficha/p839787,839787,7.0,7.0,17 de marzo - 2025,2025-03-15
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,7.5,7.5,08 de marzo - 2025,2025-03-08
Azrael,https://www.palomitacas.com/pelicula/ficha/p1029235,1029235,3.5,3.5,02 de marzo - 2025,2025-03-02
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,9.0,9.0,02 de marzo - 2025,2025-03-01
La maldición de la casa Winchester,https://www.palomitacas.com/pelicula/ficha/p416234,416234,7.0,7.0,04 de noviembre - 2024,2024-11-03
Downton Abbey,https://www.palomitacas.com/pelicula/ficha/p535544,535544,7.0,7.0,12 de mayo - 2024,2024-05-12
Te estoy amando locamente,https://www.palomitacas.com/pelicula/ficha/p1045862,1045862,6.5,6.5,31 de marzo - 2024,2024-03-31
