title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una Navidad diferente,https://www.palomitacas.com/pelicula/ficha/p1430593,1430593,,,,
Cartas de Navidad,https://www.palomitacas.com/pelicula/ficha/p421629,421629,,,,
Zootrópolis,https://www.palomitacas.com/pelicula/ficha/p269149,269149,7.0,7.0,22 de diciembre - 2025,2025-12-22
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
Navidad a la vuelta de la esquina,https://www.palomitacas.com/pelicula/ficha/p552017,552017,5.5,5.5,16 de diciembre - 2025,2025-12-16
Una damisela de Navidad,https://www.palomitacas.com/pelicula/ficha/p876104,876104,,,,
A Belgian Chocolate Christmas,https://www.palomitacas.com/pelicula/ficha/p1032588,1032588,,,,
Todos los caminos conducen a Roma,https://www.palomitacas.com/pelicula/ficha/p298583,298583,,,,
Chispa navideña,https://www.palomitacas.com/pelicula/ficha/p737795,737795,,,,
El secreto de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p1441563,1441563,,,,
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,,,,
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,7.5,7.5,30 de noviembre - 2025,2025-12-22
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,,,,
The Christmas Quest,https://www.palomitacas.com/pelicula/ficha/p1325912,1325912,,,,
An Unexpected Valentine,https://www.palomitacas.com/pelicula/ficha/p1414160,1414160,,,,
Haul Out the Halloween,https://www.palomitacas.com/pelicula/ficha/p1477448,1477448,,,,
She's Making a List,https://www.palomitacas.com/pelicula/ficha/p1516208,1516208,,,,
En sueños,https://www.palomitacas.com/pelicula/ficha/p1117857,1117857,,,,
El encanto del champán,https://www.palomitacas.com/pelicula/ficha/p1323475,1323475,,,,
