title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,04 de enero - 2026,2026-01-04
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,5.0,5.0,02 de enero - 2026,2026-01-02
El caso Miranda,https://www.palomitacas.com/pelicula/ficha/p980816,980816,6.0,6.0,01 de enero - 2026,2026-01-01
El aceite de la vida,https://www.palomitacas.com/pelicula/ficha/p2007,2007,7.0,7.0,31 de diciembre - 2025,2025-12-31
Durmiendo con su enemigo,https://www.palomitacas.com/pelicula/ficha/p7442,7442,6.0,6.0,31 de diciembre - 2025,2025-12-31
Destino de caballero,https://www.palomitacas.com/pelicula/ficha/p9476,9476,6.0,6.0,31 de diciembre - 2025,2025-12-31
Despertares,https://www.palomitacas.com/pelicula/ficha/p11005,11005,7.0,7.0,31 de diciembre - 2025,2025-12-31
"De repente, un extraño",https://www.palomitacas.com/pelicula/ficha/p2990,2990,6.0,6.0,31 de diciembre - 2025,2025-12-31
Road House (De profesión: duro),https://www.palomitacas.com/pelicula/ficha/p10135,10135,6.0,6.0,31 de diciembre - 2025,2025-12-31
Danko: Calor rojo,https://www.palomitacas.com/pelicula/ficha/p9604,9604,6.0,6.0,31 de diciembre - 2025,2025-12-31
Cumbres borrascosas,https://www.palomitacas.com/pelicula/ficha/p25095,25095,6.5,6.5,31 de diciembre - 2025,2025-12-31
Brimstone. La hija del predicador,https://www.palomitacas.com/pelicula/ficha/p324560,324560,6.0,6.0,31 de diciembre - 2025,2025-12-31
Crueldad intolerable,https://www.palomitacas.com/pelicula/ficha/p11775,11775,6.0,6.0,30 de diciembre - 2025,2025-12-30
Corrupción en Miami,https://www.palomitacas.com/pelicula/ficha/p82,82,6.0,6.0,30 de diciembre - 2025,2025-12-30
Conexión Tequila,https://www.palomitacas.com/pelicula/ficha/p10396,10396,6.0,6.0,30 de diciembre - 2025,2025-12-30
Como agua para chocolate,https://www.palomitacas.com/pelicula/ficha/p18183,18183,7.0,7.0,30 de diciembre - 2025,2025-12-30
Colgado de Sara,https://www.palomitacas.com/pelicula/ficha/p12771,12771,5.0,5.0,30 de diciembre - 2025,2025-12-30
Cocodrilo Dundee en Los Ángeles,https://www.palomitacas.com/pelicula/ficha/p9290,9290,4.0,4.0,30 de diciembre - 2025,2025-12-30
Cocodrilo Dundee II,https://www.palomitacas.com/pelicula/ficha/p9396,9396,5.0,5.0,30 de diciembre - 2025,2025-12-30
"Cobra, el brazo fuerte de la ley",https://www.palomitacas.com/pelicula/ficha/p9874,9874,5.0,5.0,30 de diciembre - 2025,2025-12-30
Cerdos salvajes,https://www.palomitacas.com/pelicula/ficha/p11199,11199,5.5,5.5,30 de diciembre - 2025,2025-12-30
