title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Juegos de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,6.5,6.5,03 de enero - 2026,2026-01-02
Código 3,https://www.palomitacas.com/pelicula/ficha/p1161617,1161617,,,,
Marty Supreme,https://www.palomitacas.com/pelicula/ficha/p1317288,1317288,,,,
How to Make a Killing,https://www.palomitacas.com/pelicula/ficha/p467905,467905,,,,
APEX,https://www.palomitacas.com/pelicula/ficha/p1318447,1318447,,,,
Peaky Blinders: The Immortal Man,https://www.palomitacas.com/pelicula/ficha/p875828,875828,,,,
La Odisea,https://www.palomitacas.com/pelicula/ficha/p1368337,1368337,,,,
Vengadores: Doomsday,https://www.palomitacas.com/pelicula/ficha/p1003596,1003596,,,,
The Drama,https://www.palomitacas.com/pelicula/ficha/p1325734,1325734,,,,
Street Fighter,https://www.palomitacas.com/pelicula/ficha/p1153576,1153576,,,,
Supergirl,https://www.palomitacas.com/pelicula/ficha/p1081003,1081003,,,,
Kidnapped: Elizabeth Smart,https://www.palomitacas.com/pelicula/ficha/p1595481,1595481,,,,
Amor a la italiana,https://www.palomitacas.com/pelicula/ficha/p1278983,1278983,,,,
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,,,,
La educación de Polly McClusky,https://www.palomitacas.com/pelicula/ficha/p1196573,1196573,,,,
Los Juegos del Hambre: Amanecer en la cosecha,https://www.palomitacas.com/pelicula/ficha/p1300968,1300968,,,,
You & Me & Tuscany,https://www.palomitacas.com/pelicula/ficha/p1455079,1455079,,,,
Merv,https://www.palomitacas.com/pelicula/ficha/p1255775,1255775,,,,
Vaiana,https://www.palomitacas.com/pelicula/ficha/p1108427,1108427,,,,
Me has robado el corazón,https://www.palomitacas.com/pelicula/ficha/p1544991,1544991,,,,
High Ground: En la tierra de los justos,https://www.palomitacas.com/pelicula/ficha/p1433719,1433719,,,,
"With Love, Meghan: Holiday Celebration",https://www.palomitacas.com/pelicula/ficha/p1578631,1578631,7.0,7.0,05 de diciembre - 2025,2025-12-05
Un cowboy por Navidad,https://www.palomitacas.com/pelicula/ficha/p1383280,1383280,4.0,4.0,05 de diciembre - 2025,2025-12-04
Dulce amor de invierno,https://www.palomitacas.com/pelicula/ficha/p1027330,1027330,4.5,4.5,04 de diciembre - 2025,2025-12-03
Una Navidad con estilo,https://www.palomitacas.com/pelicula/ficha/p1132358,1132358,5.0,5.0,04 de diciembre - 2025,2025-12-03
Beethoven 4: Enredo en la familia,https://www.palomitacas.com/pelicula/ficha/p24478,24478,4.5,4.5,03 de diciembre - 2025,2025-12-03
Beethoven 3: De excursión con la familia,https://www.palomitacas.com/pelicula/ficha/p24476,24476,4.5,4.5,03 de diciembre - 2025,2025-12-03
Beethoven 2: La familia crece,https://www.palomitacas.com/pelicula/ficha/p10438,10438,4.5,4.5,03 de diciembre - 2025,2025-12-03
Beethoven: Uno más de la familia,https://www.palomitacas.com/pelicula/ficha/p11806,11806,5.5,5.5,03 de diciembre - 2025,2025-12-03
