title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,7.0,7.0,28 de diciembre - 2025,2025-12-28
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,9.0,9.0,28 de diciembre - 2025,2025-12-28
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.0,8.0,22 de diciembre - 2025,2025-12-22
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,,,,
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,5.0,5.0,15 de diciembre - 2025,2025-12-15
Valor sentimental,https://www.palomitacas.com/pelicula/ficha/p1124566,1124566,7.0,7.0,09 de diciembre - 2025,2025-12-09
Buffalo Kids,https://www.palomitacas.com/pelicula/ficha/p1154304,1154304,6.0,6.0,08 de diciembre - 2025,2025-12-08
Tiempo,https://www.palomitacas.com/pelicula/ficha/p631843,631843,5.0,5.0,05 de diciembre - 2025,2025-12-05
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,8.0,8.0,05 de diciembre - 2025,2025-12-05
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,6.0,6.0,24 de noviembre - 2025,2025-11-24
Un padre en apuros,https://www.palomitacas.com/pelicula/ficha/p9279,9279,6.0,6.0,24 de noviembre - 2025,2025-11-24
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,24 de noviembre - 2025,2025-11-24
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,6.0,6.0,21 de septiembre - 2025,2025-09-21
No habrá paz para los malvados,https://www.palomitacas.com/pelicula/ficha/p76013,76013,7.0,7.0,21 de septiembre - 2025,2025-09-21
Showgirls,https://www.palomitacas.com/pelicula/ficha/p10802,10802,7.0,7.0,15 de septiembre - 2025,2025-09-15
Romería,https://www.palomitacas.com/pelicula/ficha/p1182861,1182861,7.0,7.0,14 de septiembre - 2025,2025-09-14
Somos los Miller,https://www.palomitacas.com/pelicula/ficha/p138832,138832,6.0,6.0,14 de septiembre - 2025,2025-09-14
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,6.0,6.0,14 de septiembre - 2025,2025-09-14
The Equalizer 2,https://www.palomitacas.com/pelicula/ficha/p345887,345887,6.0,6.0,11 de septiembre - 2025,2025-09-11
Batman vuelve,https://www.palomitacas.com/pelicula/ficha/p364,364,6.0,6.0,26 de agosto - 2025,2025-08-26
Matador,https://www.palomitacas.com/pelicula/ficha/p8047,8047,5.0,5.0,26 de agosto - 2025,2025-08-26
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,8.0,8.0,22 de julio - 2025,2025-07-22
El último héroe,https://www.palomitacas.com/pelicula/ficha/p575075,575075,6.0,6.0,21 de julio - 2025,2025-07-21
Daredevil,https://www.palomitacas.com/pelicula/ficha/p9480,9480,5.0,5.0,21 de julio - 2025,2025-07-21
Alien: Resurrección,https://www.palomitacas.com/pelicula/ficha/p8078,8078,7.0,7.0,16 de julio - 2025,2025-07-16
Misión imposible: Protocolo fantasma,https://www.palomitacas.com/pelicula/ficha/p56292,56292,7.0,7.0,15 de julio - 2025,2025-07-15
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,15 de julio - 2025,2025-07-15
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,8.0,8.0,06 de julio - 2025,2025-07-06
Mientras dure la guerra,https://www.palomitacas.com/pelicula/ficha/p542921,542921,8.0,8.0,02 de julio - 2025,2025-07-02
Regresión,https://www.palomitacas.com/pelicula/ficha/p241257,241257,5.0,5.0,02 de julio - 2025,2025-07-02
Ágora,https://www.palomitacas.com/pelicula/ficha/p26428,26428,7.0,7.0,29 de junio - 2025,2025-06-29
Mar adentro,https://www.palomitacas.com/pelicula/ficha/p1913,1913,8.0,8.0,27 de junio - 2025,2025-06-27
Mortal Engines,https://www.palomitacas.com/pelicula/ficha/p428078,428078,5.0,5.0,23 de junio - 2025,2025-06-23
Abre los ojos,https://www.palomitacas.com/pelicula/ficha/p1902,1902,7.0,7.0,23 de junio - 2025,2025-06-23
Tesis,https://www.palomitacas.com/pelicula/ficha/p9299,9299,8.0,8.0,20 de junio - 2025,2025-06-20
Sirât,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,8.0,8.0,18 de junio - 2025,2025-06-18
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,18 de junio - 2025,2025-06-18
