title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,8.0,8.0,02 de diciembre - 2025,2025-12-02
Juego de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,4.0,4.0,12 de noviembre - 2025,2025-11-12
Las ratas: una historia de The Witcher,https://www.palomitacas.com/pelicula/ficha/p1571470,1571470,7.5,7.5,03 de noviembre - 2025,2025-11-03
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,8.0,8.0,22 de octubre - 2025,2025-10-22
Cazadores de tesoros,https://www.palomitacas.com/pelicula/ficha/p732684,732684,7.0,7.0,20 de octubre - 2025,2025-10-20
"Star Crash, choque de galaxias",https://www.palomitacas.com/pelicula/ficha/p22049,22049,4.0,4.0,19 de octubre - 2025,2025-10-19
TRON: Legacy,https://www.palomitacas.com/pelicula/ficha/p20526,20526,8.0,8.0,11 de octubre - 2025,2025-10-11
TRON,https://www.palomitacas.com/pelicula/ficha/p97,97,7.0,7.0,10 de octubre - 2025,2025-10-10
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.5,6.5,28 de septiembre - 2025,2025-09-28
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,7.5,7.5,23 de septiembre - 2025,2025-09-22
Nadie,https://www.palomitacas.com/pelicula/ficha/p615457,615457,7.5,7.5,21 de septiembre - 2025,2025-09-21
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,7.0,7.0,20 de septiembre - 2025,2025-09-20
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,7.5,7.5,12 de septiembre - 2025,2025-09-12
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.5,7.5,02 de septiembre - 2025,2025-09-02
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,6.5,6.5,27 de agosto - 2025,2025-08-27
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.5,8.5,17 de agosto - 2025,2025-08-17
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,15 de agosto - 2025,2025-08-15
Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,https://www.palomitacas.com/pelicula/ficha/p876792,876792,8.5,8.5,11 de agosto - 2025,2025-08-11
El último encargo,https://www.palomitacas.com/pelicula/ficha/p1106289,1106289,6.5,6.5,07 de agosto - 2025,2025-08-07
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,8.5,8.5,29 de julio - 2025,2025-07-29
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,7.5,7.5,22 de julio - 2025,2025-07-22
この素晴らしい世界に祝福を！３ーBONUS STAGEー,https://www.palomitacas.com/pelicula/ficha/p1445721,1445721,,,,
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,7.5,7.5,06 de julio - 2025,2025-07-06
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,8.0,8.0,02 de julio - 2025,2025-07-02
Pixels,https://www.palomitacas.com/pelicula/ficha/p257344,257344,8.0,8.0,22 de junio - 2025,2025-06-22
Transporter 3,https://www.palomitacas.com/pelicula/ficha/p13387,13387,7.0,7.0,21 de junio - 2025,2025-06-21
Transporter 2,https://www.palomitacas.com/pelicula/ficha/p9335,9335,7.0,7.0,20 de junio - 2025,2025-06-20
Deep Cover,https://www.palomitacas.com/pelicula/ficha/p1239193,1239193,7.5,7.5,13 de junio - 2025,2025-06-13
Fuerza bruta: Castigo,https://www.palomitacas.com/pelicula/ficha/p1017163,1017163,7.0,7.0,12 de junio - 2025,2025-06-12
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,7.0,7.0,08 de junio - 2025,2025-06-08
El contable,https://www.palomitacas.com/pelicula/ficha/p302946,302946,8.0,8.0,07 de junio - 2025,2025-06-07
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,8.0,8.0,06 de junio - 2025,2025-06-06
Overlord: El reino sagrado,https://www.palomitacas.com/pelicula/ficha/p1014505,1014505,8.0,8.0,29 de mayo - 2025,2025-05-29
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,8.0,8.0,28 de mayo - 2025,2025-05-28
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,8.0,8.0,16 de mayo - 2025,2025-05-16
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,7.0,7.0,16 de mayo - 2025,2025-05-16
Vampire Hunter D: Bloodlust,https://www.palomitacas.com/pelicula/ficha/p15999,15999,8.5,8.5,14 de mayo - 2025,2025-05-14
Vampire Hunter D,https://www.palomitacas.com/pelicula/ficha/p9463,9463,7.5,7.5,13 de mayo - 2025,2025-05-13
Estragos,https://www.palomitacas.com/pelicula/ficha/p668489,668489,7.5,7.5,02 de mayo - 2025,2025-05-02
Cosmoball,https://www.palomitacas.com/pelicula/ficha/p517096,517096,6.0,6.0,30 de abril - 2025,2025-04-30
"Goblin Slayer, la corona del Goblin",https://www.palomitacas.com/pelicula/ficha/p631132,631132,8.0,8.0,29 de abril - 2025,2025-04-29
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,8.0,8.0,13 de abril - 2025,2025-04-13
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,7.5,7.5,13 de abril - 2025,2025-04-12
Superman viaja al sol,https://www.palomitacas.com/pelicula/ficha/p56590,56590,7.5,7.5,03 de abril - 2025,2025-04-03
Batman Unlimited: Máquinas vs. Monstruos,https://www.palomitacas.com/pelicula/ficha/p411802,411802,7.5,7.5,30 de marzo - 2025,2025-03-29
Batman Unlimited: Monstermania,https://www.palomitacas.com/pelicula/ficha/p342917,342917,7.5,7.5,26 de marzo - 2025,2025-03-26
Batman Unlimited: Instinto animal,https://www.palomitacas.com/pelicula/ficha/p327418,327418,7.0,7.0,25 de marzo - 2025,2025-03-25
Superman/Batman: Apocalipsis,https://www.palomitacas.com/pelicula/ficha/p45162,45162,7.5,7.5,24 de marzo - 2025,2025-03-24
Superman/Batman: Enemigos públicos,https://www.palomitacas.com/pelicula/ficha/p22855,22855,7.5,7.5,23 de marzo - 2025,2025-03-23
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,8.0,8.0,22 de marzo - 2025,2025-03-22
ニンジャバットマン対ヤクザリーグ,https://www.palomitacas.com/pelicula/ficha/p1297763,1297763,8.5,8.5,20 de marzo - 2025,2025-03-20
Batman Ninja,https://www.palomitacas.com/pelicula/ficha/p485942,485942,7.5,7.5,18 de marzo - 2025,2025-03-18
Un espía y medio,https://www.palomitacas.com/pelicula/ficha/p302699,302699,7.0,7.0,14 de marzo - 2025,2025-03-14
Hellboy Animado: Dioses y vampiros,https://www.palomitacas.com/pelicula/ficha/p13204,13204,7.0,7.0,12 de marzo - 2025,2025-03-12
Hellboy Animado: La espada de las tormentas,https://www.palomitacas.com/pelicula/ficha/p16774,16774,6.5,6.5,12 de marzo - 2025,2025-03-12
Los Vengadores: Justicia y venganza,https://www.palomitacas.com/pelicula/ficha/p257346,257346,7.5,7.5,12 de febrero - 2025,2025-02-12
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,7.0,7.0,11 de febrero - 2025,2025-02-11
Ultimate Avengers 2: Rise of the Panther,https://www.palomitacas.com/pelicula/ficha/p14611,14611,7.0,7.0,10 de febrero - 2025,2025-02-10
