title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El patriota,https://www.palomitacas.com/pelicula/ficha/p2024,2024,7.0,7.0,30 de diciembre - 2025,2025-12-30
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,5.5,5.5,27 de diciembre - 2025,2025-12-27
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,6.0,6.0,27 de diciembre - 2025,2025-12-27
Van Helsing,https://www.palomitacas.com/pelicula/ficha/p7131,7131,5.0,5.0,25 de diciembre - 2025,2025-12-25
Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,8.0,8.0,25 de diciembre - 2025,2025-12-25
El otro guardaespaldas 2,https://www.palomitacas.com/pelicula/ficha/p522931,522931,6.5,6.5,22 de diciembre - 2025,2025-12-22
El otro guardaespaldas,https://www.palomitacas.com/pelicula/ficha/p390043,390043,7.0,7.0,22 de diciembre - 2025,2025-12-22
Navidad en familia,https://www.palomitacas.com/pelicula/ficha/p1147114,1147114,5.0,5.0,21 de diciembre - 2025,2025-12-21
Solo en casa 2: Perdido en Nueva York,https://www.palomitacas.com/pelicula/ficha/p772,772,6.5,6.5,21 de diciembre - 2025,2025-12-21
Solo en casa,https://www.palomitacas.com/pelicula/ficha/p771,771,6.5,6.5,21 de diciembre - 2025,2025-12-21
xxxHOLiC: El sueño de una noche de verano,https://www.palomitacas.com/pelicula/ficha/p38567,38567,6.5,6.5,21 de diciembre - 2025,2025-12-21
Valor sentimental,https://www.palomitacas.com/pelicula/ficha/p1124566,1124566,,,,
Políticamente incorrectos,https://www.palomitacas.com/pelicula/ficha/p1151591,1151591,5.0,5.0,19 de diciembre - 2025,2025-12-19
El chip prodigioso,https://www.palomitacas.com/pelicula/ficha/p2614,2614,7.5,7.5,18 de diciembre - 2025,2025-12-18
Traffic,https://www.palomitacas.com/pelicula/ficha/p1900,1900,7.5,7.5,18 de diciembre - 2025,2025-12-18
"Cariño, nos hemos encogido a nosotros mismos",https://www.palomitacas.com/pelicula/ficha/p11425,11425,4.0,4.0,18 de diciembre - 2025,2025-12-18
"Cariño, he agrandado al niño",https://www.palomitacas.com/pelicula/ficha/p11158,11158,6.0,6.0,18 de diciembre - 2025,2025-12-18
"Cariño, he encogido a los niños",https://www.palomitacas.com/pelicula/ficha/p9354,9354,7.5,7.5,18 de diciembre - 2025,2025-12-18
El hobbit: La desolación de Smaug,https://www.palomitacas.com/pelicula/ficha/p57158,57158,7.0,7.0,15 de diciembre - 2025,2025-12-15
El hobbit: Un viaje inesperado,https://www.palomitacas.com/pelicula/ficha/p49051,49051,7.5,7.5,15 de diciembre - 2025,2025-12-15
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,15 de diciembre - 2025,2025-12-15
El libro de la selva,https://www.palomitacas.com/pelicula/ficha/p278927,278927,7.0,7.0,14 de diciembre - 2025,2025-12-14
La oveja Shaun: La película,https://www.palomitacas.com/pelicula/ficha/p263109,263109,6.5,6.5,14 de diciembre - 2025,2025-12-14
Lluvia de albóndigas,https://www.palomitacas.com/pelicula/ficha/p22794,22794,7.0,7.0,14 de diciembre - 2025,2025-12-14
Madagascar,https://www.palomitacas.com/pelicula/ficha/p953,953,7.0,7.0,14 de diciembre - 2025,2025-12-14
Chicken Run: Evasión en la granja,https://www.palomitacas.com/pelicula/ficha/p7443,7443,7.0,7.0,14 de diciembre - 2025,2025-12-14
La ruta hacia El Dorado,https://www.palomitacas.com/pelicula/ficha/p10501,10501,7.5,7.5,14 de diciembre - 2025,2025-12-14
La máscara del Zorro,https://www.palomitacas.com/pelicula/ficha/p9342,9342,6.5,6.5,14 de diciembre - 2025,2025-12-14
"Bichos, una aventura en miniatura",https://www.palomitacas.com/pelicula/ficha/p9487,9487,8.5,8.5,14 de diciembre - 2025,2025-12-14
Antz (Hormigaz),https://www.palomitacas.com/pelicula/ficha/p8916,8916,7.5,7.5,14 de diciembre - 2025,2025-12-14
Tiana y el sapo,https://www.palomitacas.com/pelicula/ficha/p10198,10198,7.0,7.0,14 de diciembre - 2025,2025-12-14
Hércules,https://www.palomitacas.com/pelicula/ficha/p11970,11970,9.0,9.0,14 de diciembre - 2025,2025-12-14
Aladdin,https://www.palomitacas.com/pelicula/ficha/p812,812,9.0,9.0,14 de diciembre - 2025,2025-12-14
La sirenita,https://www.palomitacas.com/pelicula/ficha/p10144,10144,7.0,7.0,14 de diciembre - 2025,2025-12-14
La bella y la bestia,https://www.palomitacas.com/pelicula/ficha/p10020,10020,7.0,7.0,14 de diciembre - 2025,2025-12-14
La bruja novata,https://www.palomitacas.com/pelicula/ficha/p12335,12335,8.0,8.0,14 de diciembre - 2025,2025-12-14
Chitty Chitty Bang Bang,https://www.palomitacas.com/pelicula/ficha/p11708,11708,7.0,7.0,14 de diciembre - 2025,2025-12-14
Mary Poppins,https://www.palomitacas.com/pelicula/ficha/p433,433,8.0,8.0,14 de diciembre - 2025,2025-12-14
Tortugas Ninja,https://www.palomitacas.com/pelicula/ficha/p1498,1498,6.0,6.0,09 de diciembre - 2025,2025-12-09
Don Jon,https://www.palomitacas.com/pelicula/ficha/p138697,138697,6.0,6.0,08 de diciembre - 2025,2025-12-08
Las irresponsables,https://www.palomitacas.com/pelicula/ficha/p1396371,1396371,5.0,5.0,07 de diciembre - 2025,2025-12-07
Algo para recordar,https://www.palomitacas.com/pelicula/ficha/p858,858,7.0,7.0,06 de diciembre - 2025,2025-12-06
El pianista,https://www.palomitacas.com/pelicula/ficha/p423,423,8.0,8.0,06 de diciembre - 2025,2025-12-06
Número 9,https://www.palomitacas.com/pelicula/ficha/p12244,12244,9.0,9.0,04 de diciembre - 2025,2025-12-04
"Nader y Simin, una separación",https://www.palomitacas.com/pelicula/ficha/p60243,60243,8.0,8.0,04 de diciembre - 2025,2025-12-04
Spider-Man: Lejos de casa,https://www.palomitacas.com/pelicula/ficha/p429617,429617,7.5,7.5,02 de diciembre - 2025,2025-12-02
Proyecto X,https://www.palomitacas.com/pelicula/ficha/p57214,57214,6.0,6.0,01 de diciembre - 2025,2025-12-01
Cuatro bodas y un funeral,https://www.palomitacas.com/pelicula/ficha/p712,712,6.0,6.0,30 de noviembre - 2025,2025-11-30
Family Man,https://www.palomitacas.com/pelicula/ficha/p5994,5994,5.5,5.5,30 de noviembre - 2025,2025-11-30
"Thi Mai, rumbo a Vietnam",https://www.palomitacas.com/pelicula/ficha/p437294,437294,5.0,5.0,30 de noviembre - 2025,2025-11-30
Prácticamente magia,https://www.palomitacas.com/pelicula/ficha/p6435,6435,6.0,6.0,26 de noviembre - 2025,2025-11-26
El Grinch,https://www.palomitacas.com/pelicula/ficha/p360920,360920,6.0,6.0,25 de noviembre - 2025,2025-11-25
El Grinch,https://www.palomitacas.com/pelicula/ficha/p8871,8871,6.5,6.5,25 de noviembre - 2025,2025-11-25
Love Actually,https://www.palomitacas.com/pelicula/ficha/p508,508,7.5,7.5,25 de noviembre - 2025,2025-11-25
Litus,https://www.palomitacas.com/pelicula/ficha/p587990,587990,7.0,7.0,25 de noviembre - 2025,2025-11-25
La fuente de la vida,https://www.palomitacas.com/pelicula/ficha/p1381,1381,8.0,8.0,23 de noviembre - 2025,2025-11-23
Réquiem por un sueño,https://www.palomitacas.com/pelicula/ficha/p641,641,8.5,8.5,23 de noviembre - 2025,2025-11-23
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,7.5,7.5,23 de noviembre - 2025,2025-11-23
Longlegs,https://www.palomitacas.com/pelicula/ficha/p1226578,1226578,6.0,6.0,23 de noviembre - 2025,2025-11-23
La mujer de negro,https://www.palomitacas.com/pelicula/ficha/p65086,65086,7.0,7.0,23 de noviembre - 2025,2025-11-23
Saw X,https://www.palomitacas.com/pelicula/ficha/p951491,951491,5.0,5.0,22 de noviembre - 2025,2025-11-22
La vida es bella,https://www.palomitacas.com/pelicula/ficha/p637,637,10.0,10.0,21 de noviembre - 2025,2025-11-21
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,,,,
Las cuatro fantásticas,https://www.palomitacas.com/pelicula/ficha/p974613,974613,4.0,4.0,16 de noviembre - 2025,2025-11-16
Un funeral de locos,https://www.palomitacas.com/pelicula/ficha/p1358013,1358013,4.0,4.0,16 de noviembre - 2025,2025-11-16
Los instigadores,https://www.palomitacas.com/pelicula/ficha/p1059064,1059064,6.0,6.0,16 de noviembre - 2025,2025-11-16
El efecto mariposa,https://www.palomitacas.com/pelicula/ficha/p1954,1954,7.0,7.0,10 de noviembre - 2025,2025-11-10
Spy Kids 2: La isla de los sueños perdidos,https://www.palomitacas.com/pelicula/ficha/p9488,9488,5.5,5.5,10 de noviembre - 2025,2025-11-10
Spy Kids,https://www.palomitacas.com/pelicula/ficha/p10054,10054,6.0,6.0,10 de noviembre - 2025,2025-11-10
Cold War,https://www.palomitacas.com/pelicula/ficha/p440298,440298,8.5,8.5,10 de noviembre - 2025,2025-11-10
La buena suerte,https://www.palomitacas.com/pelicula/ficha/p1432635,1432635,6.0,6.0,10 de noviembre - 2025,2025-11-10
Ocho apellidos vascos,https://www.palomitacas.com/pelicula/ficha/p236737,236737,6.5,6.5,07 de noviembre - 2025,2025-11-07
Las aventuras de Tadeo Jones,https://www.palomitacas.com/pelicula/ficha/p121734,121734,6.0,6.0,07 de noviembre - 2025,2025-11-07
27 vestidos,https://www.palomitacas.com/pelicula/ficha/p6557,6557,6.5,6.5,06 de noviembre - 2025,2025-11-06
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,,,,
La semilla de la higuera sagrada,https://www.palomitacas.com/pelicula/ficha/p1278263,1278263,,,,
Annabelle: Vuelve a casa,https://www.palomitacas.com/pelicula/ficha/p521029,521029,6.0,6.0,04 de noviembre - 2025,2025-11-04
