title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,9.0,9.0,30 de diciembre - 2025,2025-12-30
Lisa Frankenstein,https://www.palomitacas.com/pelicula/ficha/p993784,993784,6.0,6.0,28 de diciembre - 2025,2025-12-28
Entrevista con el vampiro,https://www.palomitacas.com/pelicula/ficha/p628,628,8.0,8.0,28 de diciembre - 2025,2025-12-28
Enredados,https://www.palomitacas.com/pelicula/ficha/p38757,38757,9.0,9.0,28 de diciembre - 2025,2025-12-28
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,8.0,8.0,14 de diciembre - 2025,2025-12-14
Tokyo Godfathers,https://www.palomitacas.com/pelicula/ficha/p13398,13398,7.5,7.5,03 de diciembre - 2025,2025-12-03
Canta con una chispa de armonía,https://www.palomitacas.com/pelicula/ficha/p741335,741335,7.0,7.0,20 de noviembre - 2025,2025-11-20
Summer Ghost,https://www.palomitacas.com/pelicula/ficha/p798544,798544,7.0,7.0,20 de noviembre - 2025,2025-11-20
La novia cadáver,https://www.palomitacas.com/pelicula/ficha/p3933,3933,9.0,9.0,09 de noviembre - 2025,2025-11-09
Los mundos de Coraline,https://www.palomitacas.com/pelicula/ficha/p14836,14836,8.5,8.5,06 de noviembre - 2025,2025-11-06
Wolfwalkers,https://www.palomitacas.com/pelicula/ficha/p441130,441130,7.5,7.5,29 de octubre - 2025,2025-10-29
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.0,6.0,08 de octubre - 2025,2025-10-08
La canción del mar,https://www.palomitacas.com/pelicula/ficha/p110416,110416,8.0,8.0,08 de octubre - 2025,2025-10-08
Escenas en el mar,https://www.palomitacas.com/pelicula/ficha/p23606,23606,7.0,7.0,29 de septiembre - 2025,2025-09-29
Aquiles y la Tortuga,https://www.palomitacas.com/pelicula/ficha/p12166,12166,6.0,6.0,29 de septiembre - 2025,2025-09-29
Hana-Bi: Flores de fuego,https://www.palomitacas.com/pelicula/ficha/p5910,5910,7.5,7.5,29 de septiembre - 2025,2025-09-29
Nada que perder,https://www.palomitacas.com/pelicula/ficha/p966488,966488,6.0,6.0,25 de septiembre - 2025,2025-09-25
La fragilidad del hielo,https://www.palomitacas.com/pelicula/ficha/p923150,923150,6.0,6.0,25 de septiembre - 2025,2025-09-25
La reina de los condenados,https://www.palomitacas.com/pelicula/ficha/p11979,11979,5.5,5.5,22 de septiembre - 2025,2025-09-22
Leyendas de pasión,https://www.palomitacas.com/pelicula/ficha/p4476,4476,7.0,7.0,22 de septiembre - 2025,2025-09-22
Una joven prometedora,https://www.palomitacas.com/pelicula/ficha/p582014,582014,7.5,7.5,22 de septiembre - 2025,2025-09-22
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,5.0,5.0,22 de septiembre - 2025,2025-09-07
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,5.5,5.5,21 de septiembre - 2025,2025-09-21
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.0,6.0,21 de septiembre - 2025,2025-09-21
La noche siempre llega,https://www.palomitacas.com/pelicula/ficha/p1254624,1254624,5.0,5.0,25 de agosto - 2025,2025-08-25
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.5,7.5,25 de agosto - 2025,2025-08-25
Mi año en Oxford,https://www.palomitacas.com/pelicula/ficha/p1307078,1307078,5.0,5.0,25 de agosto - 2025,2025-08-25
Zoey's Extraordinary Christmas,https://www.palomitacas.com/pelicula/ficha/p872130,872130,6.5,6.5,09 de agosto - 2025,2025-08-09
