title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,9.5,9.5,21 de diciembre - 2025,2025-12-21
Apocalypto,https://www.palomitacas.com/pelicula/ficha/p1579,1579,8.0,8.0,13 de noviembre - 2025,2025-11-13
La vida de Chuck,https://www.palomitacas.com/pelicula/ficha/p842924,842924,7.5,7.5,11 de noviembre - 2025,2025-11-11
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,9.0,9.0,09 de noviembre - 2025,2025-11-09
Downton Abbey: El gran final,https://www.palomitacas.com/pelicula/ficha/p1289936,1289936,8.5,8.5,19 de octubre - 2025,2025-10-19
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,8.5,8.5,14 de octubre - 2025,2025-10-14
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.5,8.5,05 de octubre - 2025,2025-10-05
Together: Juntos hasta la muerte,https://www.palomitacas.com/pelicula/ficha/p1242011,1242011,9.0,9.0,13 de septiembre - 2025,2025-09-13
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,9.0,9.0,06 de septiembre - 2025,2025-09-06
Rompenieves,https://www.palomitacas.com/pelicula/ficha/p110415,110415,7.5,7.5,03 de septiembre - 2025,2025-09-03
La juventud,https://www.palomitacas.com/pelicula/ficha/p310593,310593,8.0,8.0,02 de septiembre - 2025,2025-09-02
Suspiria,https://www.palomitacas.com/pelicula/ficha/p361292,361292,7.0,7.0,02 de septiembre - 2025,2025-09-02
Déjame entrar,https://www.palomitacas.com/pelicula/ficha/p13310,13310,8.0,8.0,02 de septiembre - 2025,2025-09-02
Presence,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,8.5,8.5,02 de septiembre - 2025,2025-09-02
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,9.0,9.0,22 de agosto - 2025,2025-08-22
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,9.0,9.0,29 de julio - 2025,2025-07-29
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,9.0,9.0,16 de julio - 2025,2025-07-16
Warfare: Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,7.5,7.5,15 de julio - 2025,2025-07-15
La gran belleza,https://www.palomitacas.com/pelicula/ficha/p179144,179144,7.5,7.5,08 de julio - 2025,2025-07-08
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,8.0,8.0,03 de julio - 2025,2025-07-03
Emilia Pérez,https://www.palomitacas.com/pelicula/ficha/p974950,974950,5.0,5.0,01 de julio - 2025,2025-07-01
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,8.5,8.5,27 de junio - 2025,2025-06-27
Sonic 3: La película,https://www.palomitacas.com/pelicula/ficha/p939243,939243,8.0,8.0,27 de junio - 2025,2025-06-27
Joker: Folie à Deux,https://www.palomitacas.com/pelicula/ficha/p889737,889737,8.0,8.0,21 de junio - 2025,2025-06-21
Bitelchús Bitelchús,https://www.palomitacas.com/pelicula/ficha/p917496,917496,7.0,7.0,08 de junio - 2025,2025-06-08
El Brutalista,https://www.palomitacas.com/pelicula/ficha/p549509,549509,8.0,8.0,08 de abril - 2025,2025-04-08
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,7.0,7.0,21 de marzo - 2025,2025-03-21
A Complete Unknown,https://www.palomitacas.com/pelicula/ficha/p661539,661539,8.0,8.0,09 de marzo - 2025,2025-03-09
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,8.5,8.5,08 de marzo - 2025,2025-03-08
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,5.0,5.0,15 de febrero - 2025,2025-02-15
El misterio de Salem's Lot,https://www.palomitacas.com/pelicula/ficha/p748230,748230,8.5,8.5,20 de octubre - 2024,2024-10-20
