title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Lo que la verdad esconde,https://www.palomitacas.com/pelicula/ficha/p2655,2655,,,,
Playtime,https://www.palomitacas.com/pelicula/ficha/p10227,10227,,,,
Layer Cake (Crimen organizado),https://www.palomitacas.com/pelicula/ficha/p4836,4836,,,,
Pleasantville,https://www.palomitacas.com/pelicula/ficha/p2657,2657,,,,
Días del cielo,https://www.palomitacas.com/pelicula/ficha/p16642,16642,,,,
Wicked City: La ciudad maldita,https://www.palomitacas.com/pelicula/ficha/p21453,21453,,,,
Los ojos de Tammy Faye,https://www.palomitacas.com/pelicula/ficha/p601470,601470,6.5,6.5,13 de abril - 2022,2022-04-12
Una buena receta,https://www.palomitacas.com/pelicula/ficha/p295964,295964,6.0,6.0,13 de abril - 2022,2022-04-13
Kimi,https://www.palomitacas.com/pelicula/ficha/p800510,800510,5.5,5.5,13 de abril - 2022,2022-04-13
Ambulance: Plan de Huida,https://www.palomitacas.com/pelicula/ficha/p763285,763285,,,,
The Lovely Bones,https://www.palomitacas.com/pelicula/ficha/p7980,7980,,,,
Un monstruo en mi puerta,https://www.palomitacas.com/pelicula/ficha/p266058,266058,,,,
Compliance,https://www.palomitacas.com/pelicula/ficha/p84188,84188,,,,
Aflicción,https://www.palomitacas.com/pelicula/ficha/p31662,31662,,,,
El canto del cisne,https://www.palomitacas.com/pelicula/ficha/p765245,765245,7.0,7.0,31 de marzo - 2022,2022-03-30
Midnight in Paris,https://www.palomitacas.com/pelicula/ficha/p59436,59436,8.0,8.0,24 de marzo - 2022,2022-03-24
The Cursed,https://www.palomitacas.com/pelicula/ficha/p630392,630392,,,,
El apartamento,https://www.palomitacas.com/pelicula/ficha/p284,284,8.5,8.5,15 de marzo - 2022,2022-03-15
The Batman,https://www.palomitacas.com/pelicula/ficha/p414906,414906,7.5,7.5,10 de marzo - 2022,2022-03-04
Doce hombres sin piedad,https://www.palomitacas.com/pelicula/ficha/p389,389,9.0,9.0,10 de marzo - 2022,2022-03-10
Arsénico por compasión,https://www.palomitacas.com/pelicula/ficha/p212,212,,999.0,09 de marzo - 2022,2022-03-09
La soga,https://www.palomitacas.com/pelicula/ficha/p1580,1580,7.0,7.0,09 de marzo - 2022,2022-03-09
Cuestión de sangre,https://www.palomitacas.com/pelicula/ficha/p616651,616651,6.5,6.5,24 de febrero - 2022,2022-02-24
Día de patriotas,https://www.palomitacas.com/pelicula/ficha/p388399,388399,,,,
El espía inglés,https://www.palomitacas.com/pelicula/ficha/p522241,522241,7.0,7.0,17 de febrero - 2022,2022-02-17
The Game,https://www.palomitacas.com/pelicula/ficha/p2649,2649,6.5,6.5,16 de febrero - 2022,2022-02-15
Encanto,https://www.palomitacas.com/pelicula/ficha/p568124,568124,6.0,6.0,14 de febrero - 2022,2022-02-14
The King's Man: La Primera Misión,https://www.palomitacas.com/pelicula/ficha/p476669,476669,7.0,7.0,14 de febrero - 2022,2022-02-12
La Casa Gucci,https://www.palomitacas.com/pelicula/ficha/p644495,644495,6.5,6.5,09 de febrero - 2022,2022-02-09
Maligno,https://www.palomitacas.com/pelicula/ficha/p619778,619778,5.5,5.5,08 de febrero - 2022,2022-02-08
