title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,8.5,8.5,04 de diciembre - 2025,2025-12-04
Renfield,https://www.palomitacas.com/pelicula/ficha/p649609,649609,6.5,6.5,28 de noviembre - 2025,2025-11-28
Spy x Family Código: Blanco,https://www.palomitacas.com/pelicula/ficha/p1062807,1062807,8.5,8.5,15 de noviembre - 2025,2025-11-15
17 otra vez,https://www.palomitacas.com/pelicula/ficha/p16996,16996,,,,
Hotel Transilvania: Transformanía,https://www.palomitacas.com/pelicula/ficha/p585083,585083,,,,
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,,,,
Condenados a fugarse,https://www.palomitacas.com/pelicula/ficha/p6522,6522,,,,
Good Burger,https://www.palomitacas.com/pelicula/ficha/p14817,14817,,,,
The Machine,https://www.palomitacas.com/pelicula/ficha/p647250,647250,,,,
Guardianes de la noche: Kimetsu no Yaiba - Rumbo al Entrenamiento de los Pilares,https://www.palomitacas.com/pelicula/ficha/p1216221,1216221,9.0,9.0,08 de septiembre - 2025,2025-09-08
Demon Slayer: Kimetsu no Yaiba: Bonds of Siblings,https://www.palomitacas.com/pelicula/ficha/p820232,820232,,,,
Demon Slayer: Kimetsu no Yaiba: The Hashira Meeting Arc,https://www.palomitacas.com/pelicula/ficha/p811948,811948,,,,
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,,,,
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,,,,
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,,,,
The Unholy Trinity,https://www.palomitacas.com/pelicula/ficha/p1195518,1195518,,,,
"Ballerina, del universo de John Wick",https://www.palomitacas.com/pelicula/ficha/p541671,541671,,,,
Mountainhead,https://www.palomitacas.com/pelicula/ficha/p1417059,1417059,,,,
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,,,,
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,,,,
Blancanieves,https://www.palomitacas.com/pelicula/ficha/p447273,447273,,,,
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,,,,
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,,,,
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,,,,
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,,,,
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,,,,
Vampire Hunter D: Bloodlust,https://www.palomitacas.com/pelicula/ficha/p15999,15999,,,,
거룩한 밤: 데몬 헌터스,https://www.palomitacas.com/pelicula/ficha/p793387,793387,,,,
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,,,,
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,,,,
Guillermo Tell,https://www.palomitacas.com/pelicula/ficha/p1195631,1195631,,,,
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,6.0,6.0,03 de abril - 2025,2025-04-16
Eurotrip,https://www.palomitacas.com/pelicula/ficha/p9352,9352,,,,
Boo! El Halloween de Madea,https://www.palomitacas.com/pelicula/ficha/p380124,380124,,,,
Boo 2! A Madea Halloween,https://www.palomitacas.com/pelicula/ficha/p459202,459202,,,,
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,,,,
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,3.0,3.0,12 de marzo - 2025,2025-03-12
封神第二部：战火西岐,https://www.palomitacas.com/pelicula/ficha/p1155281,1155281,,,,
Mientras dure la guerra,https://www.palomitacas.com/pelicula/ficha/p542921,542921,,,,
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,,,,
Daybreakers,https://www.palomitacas.com/pelicula/ficha/p19901,19901,,,,
My Hero Academia: You're Next,https://www.palomitacas.com/pelicula/ficha/p1159311,1159311,8.5,8.5,08 de enero - 2025,2025-05-14
Sonic the Hedgehog 4,https://www.palomitacas.com/pelicula/ficha/p1401586,1401586,,,,
Fuga de Prisión,https://www.palomitacas.com/pelicula/ficha/p872177,872177,,,,
Sonic 3: La película,https://www.palomitacas.com/pelicula/ficha/p939243,939243,7.5,7.5,25 de diciembre - 2024,2025-03-27
Heavy Metal 2000,https://www.palomitacas.com/pelicula/ficha/p16225,16225,,,,
Wild Wild West,https://www.palomitacas.com/pelicula/ficha/p8487,8487,,,,
Tom Segura: Sledgehammer,https://www.palomitacas.com/pelicula/ficha/p1139984,1139984,,,,
Chevalier,https://www.palomitacas.com/pelicula/ficha/p812635,812635,,,,
Veneno,https://www.palomitacas.com/pelicula/ficha/p1172676,1172676,,,,
John Mulaney: Baby J,https://www.palomitacas.com/pelicula/ficha/p1093247,1093247,,,,
Tetris,https://www.palomitacas.com/pelicula/ficha/p726759,726759,,,,
Nimona,https://www.palomitacas.com/pelicula/ficha/p961323,961323,,,,
American Fiction,https://www.palomitacas.com/pelicula/ficha/p1056360,1056360,,,,
Oso vicioso,https://www.palomitacas.com/pelicula/ficha/p804150,804150,,,,
Código 8 (Parte 2),https://www.palomitacas.com/pelicula/ficha/p932420,932420,,,,
Flamin'Hot: La historia de los Cheetos picantes,https://www.palomitacas.com/pelicula/ficha/p626332,626332,,,,
Superdetective en Hollywood: Axel F.,https://www.palomitacas.com/pelicula/ficha/p280180,280180,,,,
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,7.0,7.0,09 de diciembre - 2024,2024-12-14
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,,,,
Solo Leveling -ReAwakening-,https://www.palomitacas.com/pelicula/ficha/p1357633,1357633,,,,
