title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,8.0,8.0,31 de diciembre - 2025,2025-12-31
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,5.5,5.5,22 de diciembre - 2025,2025-12-22
Dímelo bajito,https://www.palomitacas.com/pelicula/ficha/p1379963,1379963,6.0,6.0,15 de diciembre - 2025,2025-12-15
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,7.0,7.0,29 de noviembre - 2025,2025-11-29
Culpa nuestra,https://www.palomitacas.com/pelicula/ficha/p1156594,1156594,0.5,0.5,24 de octubre - 2025,2025-10-24
Downton Abbey: El gran final,https://www.palomitacas.com/pelicula/ficha/p1289936,1289936,8.0,8.0,24 de octubre - 2025,2025-10-24
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,8.0,8.0,04 de septiembre - 2025,2025-09-04
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,8.0,8.0,24 de agosto - 2025,2025-08-24
Todo a la vez en todas partes,https://www.palomitacas.com/pelicula/ficha/p545611,545611,7.0,7.0,18 de agosto - 2025,2025-08-18
10 razones para odiarte,https://www.palomitacas.com/pelicula/ficha/p4951,4951,8.0,8.0,14 de mayo - 2025,2025-05-14
Aristóteles y Dante descubren los secretos del universo,https://www.palomitacas.com/pelicula/ficha/p500104,500104,,,,
Queer,https://www.palomitacas.com/pelicula/ficha/p1059128,1059128,1.0,1.0,29 de marzo - 2025,2025-03-29
Culpa mía: Londres,https://www.palomitacas.com/pelicula/ficha/p1294203,1294203,7.0,7.0,23 de marzo - 2025,2025-03-23
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,8.0,8.0,13 de marzo - 2025,2025-03-13
Legend,https://www.palomitacas.com/pelicula/ficha/p11976,11976,,,,
Lady Halcón,https://www.palomitacas.com/pelicula/ficha/p526,526,,,,
The Marvels,https://www.palomitacas.com/pelicula/ficha/p609681,609681,8.5,8.5,27 de enero - 2025,2025-01-27
Culpa tuya,https://www.palomitacas.com/pelicula/ficha/p1156593,1156593,1.0,1.0,03 de enero - 2025,2025-01-03
Dear Santa,https://www.palomitacas.com/pelicula/ficha/p1097870,1097870,,,,
Romper el círculo,https://www.palomitacas.com/pelicula/ficha/p1079091,1079091,7.0,7.0,03 de septiembre - 2024,2024-11-25
Atlantis: El imperio perdido,https://www.palomitacas.com/pelicula/ficha/p10865,10865,7.0,7.0,01 de septiembre - 2024,2024-09-01
La ruta hacia El Dorado,https://www.palomitacas.com/pelicula/ficha/p10501,10501,8.0,8.0,01 de septiembre - 2024,2024-09-01
Sin reservas,https://www.palomitacas.com/pelicula/ficha/p3638,3638,8.0,8.0,01 de septiembre - 2024,2024-09-01
Lo que la verdad oculta,https://www.palomitacas.com/pelicula/ficha/p526007,526007,6.0,6.0,01 de septiembre - 2024,2024-09-01
Rivales,https://www.palomitacas.com/pelicula/ficha/p937287,937287,8.0,8.0,01 de septiembre - 2024,2024-09-01
El último baile de Magic Mike,https://www.palomitacas.com/pelicula/ficha/p906221,906221,6.0,6.0,01 de septiembre - 2024,2024-09-01
Cualquiera menos tú,https://www.palomitacas.com/pelicula/ficha/p1072790,1072790,8.0,8.0,22 de julio - 2024,2024-07-22
Revancha ya,https://www.palomitacas.com/pelicula/ficha/p762968,762968,7.5,7.5,25 de junio - 2024,2024-06-25
Fabricante de lágrimas,https://www.palomitacas.com/pelicula/ficha/p1127166,1127166,0.5,0.5,20 de mayo - 2024,2024-05-20
Guardianes de la Galaxia: Volumen 3,https://www.palomitacas.com/pelicula/ficha/p447365,447365,7.0,7.0,20 de mayo - 2024,2024-05-20
La idea de tenerte,https://www.palomitacas.com/pelicula/ficha/p843527,843527,7.5,7.5,05 de mayo - 2024,2024-05-05
Un deseo irlandés,https://www.palomitacas.com/pelicula/ficha/p1019420,1019420,7.0,7.0,03 de abril - 2024,2024-04-13
Tu casa o la mía,https://www.palomitacas.com/pelicula/ficha/p703451,703451,,,,
La boda de Jenny,https://www.palomitacas.com/pelicula/ficha/p342474,342474,,,,
Dos chicas a la fuga,https://www.palomitacas.com/pelicula/ficha/p957304,957304,,,,
