title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Terminator: Salvation,https://www.palomitacas.com/pelicula/ficha/p534,534,4.0,4.0,04 de enero - 2026,2026-01-04
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,7.5,7.5,03 de enero - 2026,2026-01-03
Enredados,https://www.palomitacas.com/pelicula/ficha/p38757,38757,7.0,7.0,02 de enero - 2026,2026-01-02
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,21 de diciembre - 2025,2025-12-21
TRON: Legacy,https://www.palomitacas.com/pelicula/ficha/p20526,20526,4.0,4.0,20 de diciembre - 2025,2025-12-20
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,5.5,5.5,19 de diciembre - 2025,2025-12-19
TRON,https://www.palomitacas.com/pelicula/ficha/p97,97,6.5,6.5,14 de diciembre - 2025,2025-12-14
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,6.0,6.0,12 de diciembre - 2025,2025-12-12
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,5.5,5.5,07 de diciembre - 2025,2025-12-07
Perseguido,https://www.palomitacas.com/pelicula/ficha/p865,865,5.5,5.5,06 de diciembre - 2025,2025-12-06
RoboCop,https://www.palomitacas.com/pelicula/ficha/p5548,5548,6.5,6.5,05 de diciembre - 2025,2025-12-05
El oro de Moscú,https://www.palomitacas.com/pelicula/ficha/p71792,71792,3.0,3.0,30 de noviembre - 2025,2025-11-30
Master and commander: Al otro lado del mundo,https://www.palomitacas.com/pelicula/ficha/p8619,8619,7.0,7.0,29 de noviembre - 2025,2025-11-29
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,3.5,3.5,23 de noviembre - 2025,2025-11-23
Los caballeros de la mesa cuadrada y sus locos seguidores,https://www.palomitacas.com/pelicula/ficha/p762,762,7.5,7.5,22 de noviembre - 2025,2025-11-22
La mesita del comedor,https://www.palomitacas.com/pelicula/ficha/p1056380,1056380,4.5,4.5,21 de noviembre - 2025,2025-11-21
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,4.5,4.5,15 de noviembre - 2025,2025-11-15
La vida de Chuck,https://www.palomitacas.com/pelicula/ficha/p842924,842924,7.0,7.0,14 de noviembre - 2025,2025-11-14
Descubriendo el amor,https://www.palomitacas.com/pelicula/ficha/p242042,242042,4.0,4.0,08 de noviembre - 2025,2025-11-08
Desafío total,https://www.palomitacas.com/pelicula/ficha/p64635,64635,3.5,3.5,07 de noviembre - 2025,2025-11-07
Margin Call,https://www.palomitacas.com/pelicula/ficha/p50839,50839,7.0,7.0,01 de noviembre - 2025,2025-11-01
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,6.5,6.5,26 de octubre - 2025,2025-10-26
El experimento Belko,https://www.palomitacas.com/pelicula/ficha/p341006,341006,4.5,4.5,25 de octubre - 2025,2025-10-25
Aeon Flux,https://www.palomitacas.com/pelicula/ficha/p8202,8202,3.0,3.0,24 de octubre - 2025,2025-10-24
The Italian Job,https://www.palomitacas.com/pelicula/ficha/p9654,9654,6.5,6.5,18 de octubre - 2025,2025-10-18
Lee Miller,https://www.palomitacas.com/pelicula/ficha/p832964,832964,6.0,6.0,17 de octubre - 2025,2025-10-17
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,6.0,6.0,12 de octubre - 2025,2025-10-12
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,7.0,7.0,11 de octubre - 2025,2025-10-11
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,5.0,5.0,10 de octubre - 2025,2025-10-10
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,3.5,3.5,05 de octubre - 2025,2025-10-05
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,5.5,5.5,04 de octubre - 2025,2025-10-04
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,03 de octubre - 2025,2025-10-03
Una terapia peligrosa,https://www.palomitacas.com/pelicula/ficha/p9535,9535,6.0,6.0,28 de septiembre - 2025,2025-09-28
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.0,7.0,27 de septiembre - 2025,2025-09-27
Rivales,https://www.palomitacas.com/pelicula/ficha/p937287,937287,5.5,5.5,21 de septiembre - 2025,2025-09-21
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,3.0,3.0,20 de septiembre - 2025,2025-09-20
Speed Racer,https://www.palomitacas.com/pelicula/ficha/p7459,7459,2.0,2.0,19 de septiembre - 2025,2025-09-19
Guerra Mundial Z,https://www.palomitacas.com/pelicula/ficha/p72190,72190,6.0,6.0,14 de septiembre - 2025,2025-09-14
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,4.0,4.0,13 de septiembre - 2025,2025-09-13
Tamako Love Story,https://www.palomitacas.com/pelicula/ficha/p257475,257475,4.5,4.5,12 de septiembre - 2025,2025-09-12
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,5.0,5.0,07 de septiembre - 2025,2025-09-07
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,5.5,5.5,06 de septiembre - 2025,2025-09-06
Red Sonja,https://www.palomitacas.com/pelicula/ficha/p13494,13494,3.0,3.0,05 de septiembre - 2025,2025-09-05
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p1083433,1083433,3.5,3.5,31 de agosto - 2025,2025-08-31
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,30 de agosto - 2025,2025-08-30
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,5.5,5.5,24 de agosto - 2025,2025-08-24
Las tortugas ninja II: El secreto de los mocos verdes,https://www.palomitacas.com/pelicula/ficha/p1497,1497,5.0,5.0,23 de agosto - 2025,2025-08-23
Tortugas Ninja,https://www.palomitacas.com/pelicula/ficha/p1498,1498,7.0,7.0,23 de agosto - 2025,2025-08-23
3 pequeños ninjas,https://www.palomitacas.com/pelicula/ficha/p16314,16314,4.0,4.0,16 de agosto - 2025,2025-08-16
Ahí os quedáis,https://www.palomitacas.com/pelicula/ficha/p239678,239678,5.0,5.0,10 de agosto - 2025,2025-08-10
El contable,https://www.palomitacas.com/pelicula/ficha/p302946,302946,5.5,5.5,08 de agosto - 2025,2025-08-08
Atrapados en un bucle infinito,https://www.palomitacas.com/pelicula/ficha/p1138476,1138476,6.5,6.5,03 de agosto - 2025,2025-08-03
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,6.5,6.5,02 de agosto - 2025,2025-08-02
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,6.0,6.0,01 de agosto - 2025,2025-08-01
Loca academia de policía 3: De vuelta a la escuela,https://www.palomitacas.com/pelicula/ficha/p12118,12118,4.5,4.5,27 de julio - 2025,2025-07-27
Loca academia de policía 2: Su primera misión,https://www.palomitacas.com/pelicula/ficha/p10157,10157,5.0,5.0,26 de julio - 2025,2025-07-26
Loca academia de policía,https://www.palomitacas.com/pelicula/ficha/p9336,9336,6.0,6.0,25 de julio - 2025,2025-07-25
El Doble,https://www.palomitacas.com/pelicula/ficha/p146015,146015,4.5,4.5,20 de julio - 2025,2025-07-20
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,19 de julio - 2025,2025-07-19
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,6.0,6.0,18 de julio - 2025,2025-07-18
Oddity,https://www.palomitacas.com/pelicula/ficha/p1216191,1216191,5.0,5.0,13 de julio - 2025,2025-07-13
Megamind,https://www.palomitacas.com/pelicula/ficha/p38055,38055,6.5,6.5,12 de julio - 2025,2025-07-12
Max Payne,https://www.palomitacas.com/pelicula/ficha/p13051,13051,1.5,1.5,11 de julio - 2025,2025-07-11
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,6.0,6.0,06 de julio - 2025,2025-07-06
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.5,6.5,05 de julio - 2025,2025-07-05
Bailarina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.5,6.5,04 de julio - 2025,2025-07-04
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,6.5,6.5,28 de junio - 2025,2025-06-28
Resident Evil: El capítulo final,https://www.palomitacas.com/pelicula/ficha/p173897,173897,2.0,2.0,22 de junio - 2025,2025-06-22
Resident Evil: Venganza,https://www.palomitacas.com/pelicula/ficha/p71679,71679,1.5,1.5,22 de junio - 2025,2025-06-22
Resident Evil 4: Ultratumba,https://www.palomitacas.com/pelicula/ficha/p35791,35791,4.0,4.0,21 de junio - 2025,2025-06-21
Resident Evil 3: Extinción,https://www.palomitacas.com/pelicula/ficha/p7737,7737,4.0,4.0,20 de junio - 2025,2025-06-20
Resident Evil 2: Apocalipsis,https://www.palomitacas.com/pelicula/ficha/p1577,1577,5.5,5.5,15 de junio - 2025,2025-06-15
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,6.0,6.0,13 de junio - 2025,2025-06-13
Agárralo como puedas 33 1/3: el insulto final,https://www.palomitacas.com/pelicula/ficha/p36593,36593,5.0,5.0,08 de junio - 2025,2025-06-08
Agárralo como puedas 2 1/2: el aroma del miedo,https://www.palomitacas.com/pelicula/ficha/p37137,37137,6.0,6.0,07 de junio - 2025,2025-06-07
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p37136,37136,6.5,6.5,06 de junio - 2025,2025-06-06
Déjà Vu,https://www.palomitacas.com/pelicula/ficha/p7551,7551,7.0,7.0,01 de junio - 2025,2025-06-01
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,5.0,5.0,31 de mayo - 2025,2025-05-31
Burn,https://www.palomitacas.com/pelicula/ficha/p508138,508138,3.0,3.0,24 de mayo - 2025,2025-05-24
La singular vida de Ibelin,https://www.palomitacas.com/pelicula/ficha/p1167027,1167027,8.0,8.0,23 de mayo - 2025,2025-05-23
Estragos,https://www.palomitacas.com/pelicula/ficha/p668489,668489,3.0,3.0,18 de mayo - 2025,2025-05-18
El teléfono,https://www.palomitacas.com/pelicula/ficha/p575604,575604,5.0,5.0,16 de mayo - 2025,2025-05-16
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,3.0,3.0,15 de mayo - 2025,2025-05-15
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,5.0,5.0,11 de mayo - 2025,2025-05-11
Ash,https://www.palomitacas.com/pelicula/ficha/p931349,931349,2.5,2.5,10 de mayo - 2025,2025-05-10
S.W.A.T.: Los hombres de Harrelson,https://www.palomitacas.com/pelicula/ficha/p9257,9257,5.5,5.5,09 de mayo - 2025,2025-05-09
Cuando acecha la maldad,https://www.palomitacas.com/pelicula/ficha/p744857,744857,5.0,5.0,04 de mayo - 2025,2025-05-04
Pánico nuclear,https://www.palomitacas.com/pelicula/ficha/p4614,4614,6.0,6.0,03 de mayo - 2025,2025-05-03
Ira de titanes,https://www.palomitacas.com/pelicula/ficha/p57165,57165,3.0,3.0,02 de mayo - 2025,2025-05-02
Furia de titanes,https://www.palomitacas.com/pelicula/ficha/p18823,18823,3.5,3.5,01 de mayo - 2025,2025-05-01
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,6.0,6.0,27 de abril - 2025,2025-04-27
Vuelve el padre de la novia (Ahora también abuelo),https://www.palomitacas.com/pelicula/ficha/p11862,11862,5.0,5.0,26 de abril - 2025,2025-04-26
El castillo a través del espejo,https://www.palomitacas.com/pelicula/ficha/p942881,942881,6.5,6.5,25 de abril - 2025,2025-04-25
El padre de la novia,https://www.palomitacas.com/pelicula/ficha/p11846,11846,5.0,5.0,20 de abril - 2025,2025-04-20
Corazones en Atlántida,https://www.palomitacas.com/pelicula/ficha/p11313,11313,7.0,7.0,19 de abril - 2025,2025-04-19
Alien vs. Predator,https://www.palomitacas.com/pelicula/ficha/p395,395,3.0,3.0,18 de abril - 2025,2025-04-18
El chip prodigioso,https://www.palomitacas.com/pelicula/ficha/p2614,2614,6.5,6.5,17 de abril - 2025,2025-04-17
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,6.0,6.0,11 de abril - 2025,2025-04-11
El color del dinero,https://www.palomitacas.com/pelicula/ficha/p11873,11873,7.5,7.5,06 de abril - 2025,2025-04-06
Danny the Dog,https://www.palomitacas.com/pelicula/ficha/p10027,10027,6.0,6.0,06 de abril - 2025,2025-04-06
Tetris,https://www.palomitacas.com/pelicula/ficha/p726759,726759,7.0,7.0,04 de abril - 2025,2025-04-04
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,3.5,3.5,30 de marzo - 2025,2025-03-30
Cleaner,https://www.palomitacas.com/pelicula/ficha/p1125899,1125899,3.0,3.0,29 de marzo - 2025,2025-03-29
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,6.0,6.0,28 de marzo - 2025,2025-03-28
