title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Rebel Moon (Parte uno): La niña del fuego,https://www.palomitacas.com/pelicula/ficha/p848326,848326,,,,
Avatar: El sentido del agua,https://www.palomitacas.com/pelicula/ficha/p76600,76600,,,,
Five Nights at Freddy's,https://www.palomitacas.com/pelicula/ficha/p507089,507089,,,,
The Creator,https://www.palomitacas.com/pelicula/ficha/p670292,670292,,,,
Los juegos del hambre: Balada de pájaros cantores y serpientes,https://www.palomitacas.com/pelicula/ficha/p695721,695721,,,,
Wonka,https://www.palomitacas.com/pelicula/ficha/p787699,787699,,,,
Los asesinos de la luna,https://www.palomitacas.com/pelicula/ficha/p466420,466420,,,,
Oppenheimer,https://www.palomitacas.com/pelicula/ficha/p872585,872585,,,,
Dejar el mundo atrás,https://www.palomitacas.com/pelicula/ficha/p726209,726209,,,,
Sin novedad en el frente,https://www.palomitacas.com/pelicula/ficha/p49046,49046,6.5,6.5,26 de noviembre - 2022,2022-11-27
Yo me encargo de la cerveza,https://www.palomitacas.com/pelicula/ficha/p597922,597922,7.5,7.5,01 de noviembre - 2022,2022-11-01
Black Panther: Wakanda Forever,https://www.palomitacas.com/pelicula/ficha/p505642,505642,,,,
Proyecto Gemini,https://www.palomitacas.com/pelicula/ficha/p575322,575322,,,,
Bullet Train,https://www.palomitacas.com/pelicula/ficha/p718930,718930,,,,
Black Adam,https://www.palomitacas.com/pelicula/ficha/p436270,436270,,,,
Fullmetal Alchemist: La alquimia final,https://www.palomitacas.com/pelicula/ficha/p960704,960704,,,,
Predator: La presa,https://www.palomitacas.com/pelicula/ficha/p766507,766507,,,,
Fullmetal Alchemist: La venganza de Cicatriz,https://www.palomitacas.com/pelicula/ficha/p960700,960700,,,,
Dragon Ball Super: Super Hero,https://www.palomitacas.com/pelicula/ficha/p610150,610150,,,,
Samaritan,https://www.palomitacas.com/pelicula/ficha/p629176,629176,,,,
Top Gun: Maverick,https://www.palomitacas.com/pelicula/ficha/p361743,361743,,,,
Thor: Love and Thunder,https://www.palomitacas.com/pelicula/ficha/p616037,616037,6.5,6.5,09 de julio - 2022,2022-10-15
Jurassic World: Dominion,https://www.palomitacas.com/pelicula/ficha/p507086,507086,,,,
Doctor Strange en el multiverso de la locura,https://www.palomitacas.com/pelicula/ficha/p453395,453395,,,,
Morbius,https://www.palomitacas.com/pelicula/ficha/p526896,526896,6.0,6.0,16 de abril - 2022,2022-06-14
Moonfall,https://www.palomitacas.com/pelicula/ficha/p406759,406759,,,,
El poder del perro,https://www.palomitacas.com/pelicula/ficha/p600583,600583,,,,
Malnazidos,https://www.palomitacas.com/pelicula/ficha/p613093,613093,,,,
El Proyecto Adam,https://www.palomitacas.com/pelicula/ficha/p696806,696806,,,,
Animales fantásticos: Los secretos de Dumbledore,https://www.palomitacas.com/pelicula/ficha/p338953,338953,,,,
The Batman,https://www.palomitacas.com/pelicula/ficha/p414906,414906,7.5,7.5,07 de marzo - 2022,2022-04-24
Scream,https://www.palomitacas.com/pelicula/ficha/p646385,646385,,,,
Uncharted,https://www.palomitacas.com/pelicula/ficha/p335787,335787,,,,
El callejón de las almas perdidas,https://www.palomitacas.com/pelicula/ficha/p597208,597208,,,,
Way Down,https://www.palomitacas.com/pelicula/ficha/p630004,630004,6.0,6.0,06 de febrero - 2022,2022-02-06
Un lugar tranquilo,https://www.palomitacas.com/pelicula/ficha/p447332,447332,,,,
The King's Man: La primera misión,https://www.palomitacas.com/pelicula/ficha/p476669,476669,,,,
Star Trek,https://www.palomitacas.com/pelicula/ficha/p13475,13475,8.0,8.0,09 de enero - 2022,2022-01-09
El Precio del Mañana,https://www.palomitacas.com/pelicula/ficha/p49530,49530,6.5,6.5,09 de enero - 2022,2022-01-09
Acero puro,https://www.palomitacas.com/pelicula/ficha/p39254,39254,6.5,6.5,09 de enero - 2022,2022-01-09
No mires arriba,https://www.palomitacas.com/pelicula/ficha/p646380,646380,7.0,7.0,26 de diciembre - 2021,2021-12-26
Atrapado en el Túnel,https://www.palomitacas.com/pelicula/ficha/p390497,390497,,,,
1917,https://www.palomitacas.com/pelicula/ficha/p530915,530915,,,,
El club de la lucha,https://www.palomitacas.com/pelicula/ficha/p550,550,,,,
El primer rey,https://www.palomitacas.com/pelicula/ficha/p565179,565179,,,,
Million Dollar Baby,https://www.palomitacas.com/pelicula/ficha/p70,70,,,,
Celda 211,https://www.palomitacas.com/pelicula/ficha/p33273,33273,,,,
El pianista,https://www.palomitacas.com/pelicula/ficha/p423,423,,,,
Django desencadenado,https://www.palomitacas.com/pelicula/ficha/p68718,68718,,,,
Shutter Island,https://www.palomitacas.com/pelicula/ficha/p11324,11324,,,,
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,,,,
American Pie presenta: El libro del amor,https://www.palomitacas.com/pelicula/ficha/p26123,26123,,,,
Los mercenarios,https://www.palomitacas.com/pelicula/ficha/p27578,27578,,,,
Península,https://www.palomitacas.com/pelicula/ficha/p581392,581392,,,,
Matrix Revolutions,https://www.palomitacas.com/pelicula/ficha/p605,605,,,,
Pixels,https://www.palomitacas.com/pelicula/ficha/p257344,257344,,,,
John Carter,https://www.palomitacas.com/pelicula/ficha/p49529,49529,,,,
Thor: el mundo oscuro,https://www.palomitacas.com/pelicula/ficha/p76338,76338,,,,
"Kenshin, el guerrero samurái: El final",https://www.palomitacas.com/pelicula/ficha/p602063,602063,,,,
Cazafantasmas,https://www.palomitacas.com/pelicula/ficha/p43074,43074,,,,
G.I. Joe,https://www.palomitacas.com/pelicula/ficha/p14869,14869,,,,
Transformers: La era de la extinción,https://www.palomitacas.com/pelicula/ficha/p91314,91314,,,,
Deadpool 2,https://www.palomitacas.com/pelicula/ficha/p383498,383498,,,,
Abraham Lincoln: cazador de vampiros,https://www.palomitacas.com/pelicula/ficha/p72331,72331,,,,
Iron Man,https://www.palomitacas.com/pelicula/ficha/p1726,1726,,,,
Corazones de acero,https://www.palomitacas.com/pelicula/ficha/p228150,228150,,,,
2012,https://www.palomitacas.com/pelicula/ficha/p14161,14161,,,,
Pacific Rim,https://www.palomitacas.com/pelicula/ficha/p68726,68726,,,,
El lobo de Wall Street,https://www.palomitacas.com/pelicula/ficha/p106646,106646,,,,
Piratas del Caribe: En mareas misteriosas,https://www.palomitacas.com/pelicula/ficha/p1865,1865,,,,
Thor,https://www.palomitacas.com/pelicula/ficha/p10195,10195,,,,
Origen,https://www.palomitacas.com/pelicula/ficha/p27205,27205,,,,
Spider-Man 2,https://www.palomitacas.com/pelicula/ficha/p558,558,,,,
El hobbit: La batalla de los cinco ejércitos,https://www.palomitacas.com/pelicula/ficha/p122917,122917,,,,
Fast & Furious: Hobbs & Shaw,https://www.palomitacas.com/pelicula/ficha/p384018,384018,,,,
Legión,https://www.palomitacas.com/pelicula/ficha/p22894,22894,,,,
Mulán,https://www.palomitacas.com/pelicula/ficha/p337401,337401,,,,
