title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La última noche de Boris Grushenko,https://www.palomitacas.com/pelicula/ficha/p11686,11686,7.0,7.0,31 de diciembre - 2025,2025-12-31
Manhattan,https://www.palomitacas.com/pelicula/ficha/p696,696,7.5,7.5,31 de diciembre - 2025,2025-12-31
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,6.0,6.0,26 de diciembre - 2025,2025-12-26
Destino final,https://www.palomitacas.com/pelicula/ficha/p9532,9532,7.0,7.0,26 de diciembre - 2025,2025-12-26
Bad Boys: Ride or Die,https://www.palomitacas.com/pelicula/ficha/p573435,573435,5.5,5.5,26 de diciembre - 2025,2025-12-26
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,26 de diciembre - 2025,2025-12-26
Sisu: Camino a la vengaza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.0,7.0,17 de diciembre - 2025,2025-12-17
Al interior,https://www.palomitacas.com/pelicula/ficha/p13312,13312,6.0,6.0,13 de diciembre - 2025,2025-12-13
En un barrio de Nueva York,https://www.palomitacas.com/pelicula/ficha/p467909,467909,6.0,6.0,13 de diciembre - 2025,2025-12-13
"¡Agáchate, maldito!",https://www.palomitacas.com/pelicula/ficha/p336,336,6.5,6.5,09 de diciembre - 2025,2025-12-09
Los siete magníficos,https://www.palomitacas.com/pelicula/ficha/p966,966,7.0,7.0,09 de diciembre - 2025,2025-12-09
Un ladrón en la alcoba,https://www.palomitacas.com/pelicula/ficha/p195,195,7.0,7.0,01 de diciembre - 2025,2025-12-01
Adaptation. El ladrón de orquídeas,https://www.palomitacas.com/pelicula/ficha/p2757,2757,7.0,7.0,01 de diciembre - 2025,2025-12-01
Confesiones de una mente peligrosa,https://www.palomitacas.com/pelicula/ficha/p4912,4912,6.5,6.5,01 de diciembre - 2025,2025-12-01
La princesa prometida,https://www.palomitacas.com/pelicula/ficha/p2493,2493,8.0,8.0,26 de noviembre - 2025,2025-11-26
Hamilton,https://www.palomitacas.com/pelicula/ficha/p556574,556574,7.5,7.5,22 de noviembre - 2025,2025-11-22
Adú,https://www.palomitacas.com/pelicula/ficha/p588009,588009,6.0,6.0,22 de noviembre - 2025,2025-11-22
Vivarium,https://www.palomitacas.com/pelicula/ficha/p458305,458305,5.0,5.0,22 de noviembre - 2025,2025-11-22
Scream 2,https://www.palomitacas.com/pelicula/ficha/p4233,4233,5.0,5.0,16 de noviembre - 2025,2025-11-16
El príncipe de las tinieblas,https://www.palomitacas.com/pelicula/ficha/p8852,8852,6.0,6.0,16 de noviembre - 2025,2025-11-16
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,6.0,6.0,16 de noviembre - 2025,2025-11-16
Golpe en la pequeña China,https://www.palomitacas.com/pelicula/ficha/p6978,6978,7.0,7.0,16 de noviembre - 2025,2025-11-16
Star Trek IV. Misión: salvar la Tierra,https://www.palomitacas.com/pelicula/ficha/p168,168,6.0,6.0,16 de noviembre - 2025,2025-11-16
