title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,,,,
Proyecto salvación,https://www.palomitacas.com/pelicula/ficha/p687163,687163,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,,,,
Tito Paleto,https://www.palomitacas.com/pelicula/ficha/p667154,667154,,,,
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,8.0,8.0,02 de agosto - 2025,2025-08-02
Vértigo,https://www.palomitacas.com/pelicula/ficha/p985939,985939,,,,
Aniara,https://www.palomitacas.com/pelicula/ficha/p496743,496743,,,,
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,,,,
El muro negro,https://www.palomitacas.com/pelicula/ficha/p1425045,1425045,,,,
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,5.5,5.5,15 de julio - 2025,2025-07-15
La mujer avispa,https://www.palomitacas.com/pelicula/ficha/p27545,27545,4.0,4.0,22 de junio - 2025,2025-06-22
Rubikon 2056,https://www.palomitacas.com/pelicula/ficha/p793961,793961,,,,
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,6.0,6.0,15 de junio - 2025,2025-06-15
Project Silence,https://www.palomitacas.com/pelicula/ficha/p726139,726139,,,,
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,,,,
Patema: Dos mundos inversos,https://www.palomitacas.com/pelicula/ficha/p212167,212167,,,,
Con la muerte en los talones,https://www.palomitacas.com/pelicula/ficha/p213,213,,,,
Casi 300,https://www.palomitacas.com/pelicula/ficha/p7278,7278,,,,
Fight or Flight,https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,,,,
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,,,,
