title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Cool World (Una rubia entre dos mundos),https://www.palomitacas.com/pelicula/ficha/p14239,14239,4.0,4.0,04 de enero - 2026,2026-01-04
El mejor,https://www.palomitacas.com/pelicula/ficha/p986097,986097,9.0,9.0,30 de diciembre - 2025,2025-12-30
Robot Dreams,https://www.palomitacas.com/pelicula/ficha/p838240,838240,8.0,8.0,28 de diciembre - 2025,2025-12-29
Adult Swim's The Elephant,https://www.palomitacas.com/pelicula/ficha/p1497017,1497017,7.0,7.0,28 de diciembre - 2025,2025-12-28
Here (Aquí),https://www.palomitacas.com/pelicula/ficha/p940139,940139,,,,
Salvar el planeta Tierra,https://www.palomitacas.com/pelicula/ficha/p11297,11297,9.0,9.0,07 de diciembre - 2025,2025-12-07
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,8.0,8.0,26 de noviembre - 2025,2025-11-26
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,5.0,5.0,26 de noviembre - 2025,2025-11-26
The Chronicles of Riddick: Into Pitch Black,https://www.palomitacas.com/pelicula/ficha/p244839,244839,6.0,6.0,13 de noviembre - 2025,2025-11-13
The Believer (El creyente),https://www.palomitacas.com/pelicula/ficha/p4012,4012,8.0,8.0,13 de noviembre - 2025,2025-11-13
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,1.0,1.0,06 de noviembre - 2025,2025-11-27
Ojos de serpiente,https://www.palomitacas.com/pelicula/ficha/p8688,8688,8.0,8.0,06 de noviembre - 2025,2025-11-06
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,3.0,3.0,24 de octubre - 2025,2025-12-09
Gantz: Perfect Answer (Gantz: Parte 2),https://www.palomitacas.com/pelicula/ficha/p74135,74135,2.0,2.0,21 de octubre - 2025,2025-10-21
Gantz: Génesis (Gantz: Parte 1),https://www.palomitacas.com/pelicula/ficha/p56832,56832,4.0,4.0,21 de octubre - 2025,2025-10-21
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,7.0,7.0,13 de octubre - 2025,2025-10-13
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.0,7.0,04 de octubre - 2025,2025-10-04
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.0,8.0,04 de octubre - 2025,2025-11-17
Dredd,https://www.palomitacas.com/pelicula/ficha/p49049,49049,7.0,7.0,17 de septiembre - 2025,2025-09-17
Appleseed: The Beginning,https://www.palomitacas.com/pelicula/ficha/p11633,11633,5.0,5.0,13 de agosto - 2025,2025-08-13
Ne Zha 2,https://www.palomitacas.com/pelicula/ficha/p980477,980477,,,,
Cells at Work!,https://www.palomitacas.com/pelicula/ficha/p1303162,1303162,10.0,10.0,06 de agosto - 2025,2025-08-06
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.0,7.0,04 de agosto - 2025,2025-09-25
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,7.0,7.0,03 de agosto - 2025,2025-09-02
La vida de Chuck,https://www.palomitacas.com/pelicula/ficha/p842924,842924,,,,
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,5.0,5.0,02 de agosto - 2025,2025-08-02
Séance,https://www.palomitacas.com/pelicula/ficha/p72490,72490,,,,
Cure,https://www.palomitacas.com/pelicula/ficha/p36095,36095,7.0,7.0,02 de agosto - 2025,2025-08-02
Chicken Run: Evasión en la granja,https://www.palomitacas.com/pelicula/ficha/p7443,7443,7.0,7.0,26 de julio - 2025,2025-07-26
Cuentos de Terramar,https://www.palomitacas.com/pelicula/ficha/p37933,37933,,,,
"Shrek, Felices para siempre",https://www.palomitacas.com/pelicula/ficha/p10192,10192,8.0,8.0,26 de julio - 2025,2025-07-26
Y2K,https://www.palomitacas.com/pelicula/ficha/p1094274,1094274,5.0,5.0,24 de julio - 2025,2025-07-24
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,24 de julio - 2025,2025-07-24
Prospect,https://www.palomitacas.com/pelicula/ficha/p506072,506072,,,,
Millennium Actress,https://www.palomitacas.com/pelicula/ficha/p33320,33320,6.0,6.0,18 de julio - 2025,2025-07-18
El puente de los espías,https://www.palomitacas.com/pelicula/ficha/p296098,296098,6.0,6.0,15 de julio - 2025,2025-07-15
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,3.0,3.0,11 de julio - 2025,2025-07-11
Presence,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,5.0,5.0,11 de julio - 2025,2025-07-11
Cómo sobrevivir en un mundo material (Kajillionaire),https://www.palomitacas.com/pelicula/ficha/p541305,541305,8.0,8.0,11 de julio - 2025,2025-07-11
Perdona que te moleste,https://www.palomitacas.com/pelicula/ficha/p424781,424781,10.0,10.0,04 de julio - 2025,2025-07-04
Desaparecida,https://www.palomitacas.com/pelicula/ficha/p8740,8740,6.0,6.0,04 de julio - 2025,2025-07-04
Midori-ko,https://www.palomitacas.com/pelicula/ficha/p116299,116299,5.0,5.0,20 de junio - 2025,2025-06-20
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,10.0,10.0,19 de junio - 2025,2025-06-19
Mountainhead,https://www.palomitacas.com/pelicula/ficha/p1417059,1417059,9.0,9.0,19 de junio - 2025,2025-06-19
Las chicas de la Tierra son fáciles,https://www.palomitacas.com/pelicula/ficha/p2210,2210,6.0,6.0,19 de junio - 2025,2025-06-19
Vampira humanista busca suicida,https://www.palomitacas.com/pelicula/ficha/p988402,988402,6.0,6.0,19 de junio - 2025,2025-06-19
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,7.0,7.0,16 de junio - 2025,2025-06-16
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,16 de junio - 2025,2025-07-12
"Ballerina, del universo de John Wick",https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.0,6.0,16 de junio - 2025,2025-07-11
A Different Man,https://www.palomitacas.com/pelicula/ficha/p989662,989662,9.0,9.0,11 de junio - 2025,2025-06-11
