title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El cuervo,https://www.palomitacas.com/pelicula/ficha/p9495,9495,7.5,7.5,01 de enero - 2026,2026-01-01
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,26 de diciembre - 2025,2025-12-26
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,6.0,6.0,25 de diciembre - 2025,2025-12-25
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,7.5,7.5,24 de diciembre - 2025,2025-12-24
Dímelo bajito,https://www.palomitacas.com/pelicula/ficha/p1379963,1379963,4.0,4.0,24 de diciembre - 2025,2025-12-24
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,6.0,6.0,17 de diciembre - 2025,2025-12-17
Paddington: Aventura en la selva,https://www.palomitacas.com/pelicula/ficha/p516729,516729,6.0,6.0,17 de diciembre - 2025,2025-12-17
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,8.0,8.0,11 de diciembre - 2025,2025-12-11
La montaña embrujada,https://www.palomitacas.com/pelicula/ficha/p13836,13836,6.0,6.0,11 de diciembre - 2025,2025-12-11
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,4.0,4.0,04 de diciembre - 2025,2025-12-04
Un puente hacia Terabithia,https://www.palomitacas.com/pelicula/ficha/p1265,1265,8.0,8.0,01 de diciembre - 2025,2025-12-01
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,5.5,5.5,26 de noviembre - 2025,2025-11-26
Rebel Moon (Parte uno): La niña del fuego,https://www.palomitacas.com/pelicula/ficha/p848326,848326,5.0,5.0,26 de noviembre - 2025,2025-11-26
Hotel Transilvania,https://www.palomitacas.com/pelicula/ficha/p76492,76492,6.5,6.5,08 de noviembre - 2025,2025-11-08
Vincent,https://www.palomitacas.com/pelicula/ficha/p32085,32085,8.0,8.0,08 de noviembre - 2025,2025-11-08
Ratatouille,https://www.palomitacas.com/pelicula/ficha/p2062,2062,7.5,7.5,28 de octubre - 2025,2025-10-28
Toy Story 3,https://www.palomitacas.com/pelicula/ficha/p10193,10193,10.0,10.0,28 de octubre - 2025,2025-10-28
Expediente Warren: El caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,7.0,7.0,28 de octubre - 2025,2025-10-28
Señales,https://www.palomitacas.com/pelicula/ficha/p2675,2675,6.5,6.5,24 de octubre - 2025,2025-10-24
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,24 de octubre - 2025,2025-10-24
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.0,5.0,24 de octubre - 2025,2025-10-24
Corpus Christi,https://www.palomitacas.com/pelicula/ficha/p471707,471707,7.0,7.0,08 de octubre - 2025,2025-10-08
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,6.5,6.5,04 de octubre - 2025,2025-10-04
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,7.0,7.0,04 de octubre - 2025,2025-10-04
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.0,6.0,24 de septiembre - 2025,2025-09-24
El laberinto del fauno,https://www.palomitacas.com/pelicula/ficha/p1417,1417,8.0,8.0,24 de septiembre - 2025,2025-09-24
鬼滅の刃 遊郭決戦編,https://www.palomitacas.com/pelicula/ficha/p1490213,1490213,6.5,6.5,24 de septiembre - 2025,2025-09-24
Guardianes de la noche: Kimetsu no Yaiba - Rumbo al Entrenamiento de los Pilares,https://www.palomitacas.com/pelicula/ficha/p1216221,1216221,6.0,6.0,24 de septiembre - 2025,2025-09-24
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,2.0,2.0,24 de septiembre - 2025,2025-09-24
The Faculty,https://www.palomitacas.com/pelicula/ficha/p9276,9276,6.0,6.0,15 de septiembre - 2025,2025-09-15
Paranormal Activity,https://www.palomitacas.com/pelicula/ficha/p23827,23827,5.0,5.0,15 de septiembre - 2025,2025-09-15
El efecto mariposa,https://www.palomitacas.com/pelicula/ficha/p1954,1954,7.0,7.0,15 de septiembre - 2025,2025-09-15
Lost in Translation,https://www.palomitacas.com/pelicula/ficha/p153,153,7.5,7.5,15 de septiembre - 2025,2025-09-15
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p1083433,1083433,3.0,3.0,04 de septiembre - 2025,2025-09-04
