title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Dr. Nassar: el caso del equipo de Gimnasia de EE. UU.,https://www.palomitacas.com/pelicula/ficha/p557800,557800,,,,
El buen patrón,https://www.palomitacas.com/pelicula/ficha/p820722,820722,7.0,7.0,18 de enero - 2022,2022-01-18
El infiltrado,https://www.palomitacas.com/pelicula/ficha/p751490,751490,,,,
Hierve,https://www.palomitacas.com/pelicula/ficha/p807196,807196,,,,
Bordertown: Murales de sangre,https://www.palomitacas.com/pelicula/ficha/p716810,716810,5.5,5.5,06 de enero - 2022,2022-01-06
Campo secreto: Nazis en EE. UU.,https://www.palomitacas.com/pelicula/ficha/p888910,888910,,,,
Eternals,https://www.palomitacas.com/pelicula/ficha/p524434,524434,5.5,5.5,04 de enero - 2022,2022-01-04
No mires arriba,https://www.palomitacas.com/pelicula/ficha/p646380,646380,7.5,7.5,04 de enero - 2022,2022-01-04
El Inmortal: una película de Gomorra,https://www.palomitacas.com/pelicula/ficha/p599845,599845,7.0,7.0,04 de enero - 2022,2022-01-04
The Killing Field,https://www.palomitacas.com/pelicula/ficha/p286722,286722,6.0,6.0,12 de diciembre - 2021,2021-12-12
Caballero sin espada,https://www.palomitacas.com/pelicula/ficha/p3083,3083,,,,
Última noche en el Soho,https://www.palomitacas.com/pelicula/ficha/p576845,576845,,,,
Le quattro strade,https://www.palomitacas.com/pelicula/ficha/p767452,767452,,,,
Matthias & Maxime,https://www.palomitacas.com/pelicula/ficha/p519141,519141,,,,
The Silencing,https://www.palomitacas.com/pelicula/ficha/p603119,603119,5.5,5.5,08 de noviembre - 2021,2021-11-08
Quien a hierro mata,https://www.palomitacas.com/pelicula/ficha/p574376,574376,,,,
Tenemos que hablar de Kevin,https://www.palomitacas.com/pelicula/ficha/p71859,71859,,,,
El último duelo,https://www.palomitacas.com/pelicula/ficha/p617653,617653,,,,
Fuga de Pretoria,https://www.palomitacas.com/pelicula/ficha/p502425,502425,7.0,7.0,02 de noviembre - 2021,2021-11-02
Maixabel,https://www.palomitacas.com/pelicula/ficha/p814312,814312,,,,
Fyre,https://www.palomitacas.com/pelicula/ficha/p567860,567860,6.5,6.5,17 de octubre - 2021,2021-10-17
El apóstol,https://www.palomitacas.com/pelicula/ficha/p424121,424121,6.0,6.0,17 de octubre - 2021,2021-10-17
Vigilados,https://www.palomitacas.com/pelicula/ficha/p587496,587496,6.5,6.5,15 de octubre - 2021,2021-10-15
The Guest,https://www.palomitacas.com/pelicula/ficha/p241848,241848,5.0,5.0,15 de octubre - 2021,2021-10-15
Trumbo: La lista negra de Hollywood,https://www.palomitacas.com/pelicula/ficha/p294016,294016,7.5,7.5,14 de octubre - 2021,2021-10-14
Educación siberiana,https://www.palomitacas.com/pelicula/ficha/p171337,171337,7.5,7.5,14 de octubre - 2021,2021-10-14
El rey del fin del mundo,https://www.palomitacas.com/pelicula/ficha/p806690,806690,6.5,6.5,13 de octubre - 2021,2021-10-13
Crai Nou,https://www.palomitacas.com/pelicula/ficha/p853123,853123,,,,
Winter on Fire,https://www.palomitacas.com/pelicula/ficha/p355020,355020,9.0,9.0,27 de septiembre - 2021,2021-09-27
Revolutionary Road,https://www.palomitacas.com/pelicula/ficha/p4148,4148,7.5,7.5,16 de septiembre - 2021,2021-09-16
La Biblioteca (The Public),https://www.palomitacas.com/pelicula/ficha/p331986,331986,,,,
Ice Road,https://www.palomitacas.com/pelicula/ficha/p646207,646207,6.0,6.0,01 de septiembre - 2021,2021-09-01
De padres a hijas,https://www.palomitacas.com/pelicula/ficha/p254172,254172,6.5,6.5,01 de septiembre - 2021,2021-09-01
Las hijas del Reich,https://www.palomitacas.com/pelicula/ficha/p670439,670439,5.5,5.5,01 de septiembre - 2021,2021-09-01
Viuda negra,https://www.palomitacas.com/pelicula/ficha/p497698,497698,7.0,7.0,27 de agosto - 2021,2021-08-27
Kingsman: Servicio secreto,https://www.palomitacas.com/pelicula/ficha/p207703,207703,7.0,7.0,24 de agosto - 2021,2021-08-24
"Adiós pequeña, adiós",https://www.palomitacas.com/pelicula/ficha/p4771,4771,7.5,7.5,23 de agosto - 2021,2021-08-23
The Gentlemen: Los señores de la mafia,https://www.palomitacas.com/pelicula/ficha/p522627,522627,8.0,8.0,23 de agosto - 2021,2021-08-23
El escándalo,https://www.palomitacas.com/pelicula/ficha/p525661,525661,6.0,6.0,23 de agosto - 2021,2021-08-23
¡Tú la llevas!,https://www.palomitacas.com/pelicula/ficha/p455980,455980,6.5,6.5,23 de agosto - 2021,2021-08-23
Otra ronda,https://www.palomitacas.com/pelicula/ficha/p580175,580175,7.0,7.0,23 de agosto - 2021,2021-08-23
The Town: Ciudad de ladrones,https://www.palomitacas.com/pelicula/ficha/p23168,23168,7.0,7.0,23 de agosto - 2021,2021-08-23
En tierra hostil,https://www.palomitacas.com/pelicula/ficha/p12162,12162,8.0,8.0,23 de agosto - 2021,2021-08-23
1917,https://www.palomitacas.com/pelicula/ficha/p530915,530915,7.5,7.5,23 de agosto - 2021,2021-08-23
Argo,https://www.palomitacas.com/pelicula/ficha/p68734,68734,7.0,7.0,23 de agosto - 2021,2021-08-23
Wind River,https://www.palomitacas.com/pelicula/ficha/p395834,395834,7.0,7.0,23 de agosto - 2021,2021-08-23
Nomadland,https://www.palomitacas.com/pelicula/ficha/p581734,581734,5.5,5.5,23 de agosto - 2021,2021-08-23
Melancolía,https://www.palomitacas.com/pelicula/ficha/p62215,62215,6.5,6.5,23 de agosto - 2021,2021-08-23
Contagio,https://www.palomitacas.com/pelicula/ficha/p39538,39538,7.0,7.0,23 de agosto - 2021,2021-08-23
Un lugar tranquilo 2,https://www.palomitacas.com/pelicula/ficha/p520763,520763,6.5,6.5,23 de agosto - 2021,2021-08-23
Un lugar tranquilo,https://www.palomitacas.com/pelicula/ficha/p447332,447332,7.0,7.0,23 de agosto - 2021,2021-08-23
Un hombre de familia,https://www.palomitacas.com/pelicula/ficha/p375183,375183,6.0,6.0,23 de agosto - 2021,2021-08-23
Escuadrón rojo,https://www.palomitacas.com/pelicula/ficha/p72431,72431,6.5,6.5,18 de agosto - 2021,2021-08-18
Plan oculto,https://www.palomitacas.com/pelicula/ficha/p388,388,7.0,7.0,18 de agosto - 2021,2021-08-18
The Loft,https://www.palomitacas.com/pelicula/ficha/p72784,72784,6.5,6.5,18 de agosto - 2021,2021-08-18
Nueve Reinas,https://www.palomitacas.com/pelicula/ficha/p18079,18079,7.5,7.5,18 de agosto - 2021,2021-08-18
El puente de los espías,https://www.palomitacas.com/pelicula/ficha/p296098,296098,8.0,8.0,18 de agosto - 2021,2021-08-18
Vidas de papel,https://www.palomitacas.com/pelicula/ficha/p785534,785534,7.0,7.0,18 de agosto - 2021,2021-08-18
El año en el que el mundo cambió,https://www.palomitacas.com/pelicula/ficha/p811703,811703,8.0,8.0,18 de agosto - 2021,2021-08-18
