title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Un niño grande,https://www.palomitacas.com/pelicula/ficha/p245,245,8.0,8.0,04 de enero - 2026,2026-01-04
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,6.5,6.5,29 de diciembre - 2025,2025-12-29
Viviendo sin límites,https://www.palomitacas.com/pelicula/ficha/p9430,9430,2.0,2.0,28 de diciembre - 2025,2025-12-28
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p30584,30584,3.0,3.0,28 de diciembre - 2025,2025-12-28
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,5.5,5.5,27 de diciembre - 2025,2025-12-27
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p559907,559907,4.5,4.5,25 de diciembre - 2025,2025-12-25
El ladrón de la Navidad,https://www.palomitacas.com/pelicula/ficha/p1191059,1191059,5.5,5.5,23 de diciembre - 2025,2025-12-23
Una Navidad ex cepcional,https://www.palomitacas.com/pelicula/ficha/p1401318,1401318,6.5,6.5,21 de diciembre - 2025,2025-12-21
Babe 2: El cerdito en la ciudad,https://www.palomitacas.com/pelicula/ficha/p9447,9447,3.0,3.0,14 de diciembre - 2025,2025-12-14
Caramelo,https://www.palomitacas.com/pelicula/ficha/p1277988,1277988,7.5,7.5,08 de noviembre - 2025,2025-11-08
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,19 de octubre - 2025,2025-10-19
Selena,https://www.palomitacas.com/pelicula/ficha/p16052,16052,6.5,6.5,12 de octubre - 2025,2025-10-12
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,6.0,6.0,11 de octubre - 2025,2025-10-11
"Disco, Ibiza, Locomía",https://www.palomitacas.com/pelicula/ficha/p1151262,1151262,6.5,6.5,06 de octubre - 2025,2025-10-05
Una cuestión de tiempo,https://www.palomitacas.com/pelicula/ficha/p122906,122906,8.5,8.5,28 de septiembre - 2025,2025-09-27
Vuelta al insti,https://www.palomitacas.com/pelicula/ficha/p800937,800937,6.0,6.0,27 de septiembre - 2025,2025-09-27
French Girl,https://www.palomitacas.com/pelicula/ficha/p1024452,1024452,5.0,5.0,25 de septiembre - 2025,2025-09-24
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,7.0,7.0,07 de septiembre - 2025,2025-09-07
Me encontrarás en lo profundo del abismo,https://www.palomitacas.com/pelicula/ficha/p917281,917281,4.5,4.5,01 de agosto - 2025,2025-08-01
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,6.5,6.5,31 de julio - 2025,2025-07-31
El hombre de acero,https://www.palomitacas.com/pelicula/ficha/p49521,49521,6.5,6.5,29 de julio - 2025,2025-07-29
Dallas Buyers Club,https://www.palomitacas.com/pelicula/ficha/p152532,152532,8.5,8.5,25 de julio - 2025,2025-07-24
Los horrores de Caddo Lake,https://www.palomitacas.com/pelicula/ficha/p863873,863873,9.0,9.0,25 de julio - 2025,2025-07-24
"Nimh, el mundo secreto de la Sra. Brisby",https://www.palomitacas.com/pelicula/ficha/p11704,11704,7.0,7.0,19 de julio - 2025,2025-07-19
