title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Critters ¡Al ataque!,https://www.palomitacas.com/pelicula/ficha/p597856,597856,4.5,4.5,02 de enero - 2026,2026-01-02
El patriota,https://www.palomitacas.com/pelicula/ficha/p2024,2024,6.5,6.5,02 de enero - 2026,2026-01-02
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,6.5,6.5,02 de enero - 2026,2026-01-02
Viviendo sin límites,https://www.palomitacas.com/pelicula/ficha/p9430,9430,4.5,4.5,30 de diciembre - 2025,2025-12-30
El caballero verde,https://www.palomitacas.com/pelicula/ficha/p559907,559907,4.5,4.5,28 de diciembre - 2025,2025-12-28
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Family Man,https://www.palomitacas.com/pelicula/ficha/p5994,5994,7.0,7.0,10 de diciembre - 2025,2025-12-10
La navidad mágica de los Jangle,https://www.palomitacas.com/pelicula/ficha/p622855,622855,6.0,6.0,09 de diciembre - 2025,2025-12-09
Cuentos de Terramar,https://www.palomitacas.com/pelicula/ficha/p37933,37933,6.5,6.5,08 de diciembre - 2025,2025-12-08
Elf,https://www.palomitacas.com/pelicula/ficha/p10719,10719,6.0,6.0,05 de diciembre - 2025,2025-12-05
Se armó el Belén,https://www.palomitacas.com/pelicula/ficha/p355547,355547,6.0,6.0,05 de diciembre - 2025,2025-12-05
Haru en el reino de los gatos,https://www.palomitacas.com/pelicula/ficha/p15370,15370,7.0,7.0,03 de diciembre - 2025,2025-12-03
Porco Rosso,https://www.palomitacas.com/pelicula/ficha/p11621,11621,6.0,6.0,03 de diciembre - 2025,2025-12-03
Puñales por la espalda 3,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,6.5,6.5,24 de noviembre - 2025,2025-11-24
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
MadS,https://www.palomitacas.com/pelicula/ficha/p1262983,1262983,4.0,4.0,13 de noviembre - 2025,2025-11-13
The Toxic Avenger Unrated,https://www.palomitacas.com/pelicula/ficha/p338969,338969,5.5,5.5,12 de noviembre - 2025,2025-11-12
Gaua,https://www.palomitacas.com/pelicula/ficha/p1367125,1367125,6.0,6.0,12 de noviembre - 2025,2025-11-12
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,5.5,5.5,01 de noviembre - 2025,2025-11-01
