title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,15 de diciembre - 2025,2025-12-15
Los Japón,https://www.palomitacas.com/pelicula/ficha/p529209,529209,1.0,1.0,07 de noviembre - 2025,2025-11-08
Pánico en el Tokio Express,https://www.palomitacas.com/pelicula/ficha/p47634,47634,,,,
Pánico en el tren bala,https://www.palomitacas.com/pelicula/ficha/p1276073,1276073,5.0,5.0,07 de noviembre - 2025,2025-11-07
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,3.0,3.0,25 de octubre - 2025,2025-10-25
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.0,8.0,25 de octubre - 2025,2025-10-25
Recuerdos del ayer,https://www.palomitacas.com/pelicula/ficha/p15080,15080,8.5,8.5,10 de octubre - 2025,2025-10-10
"Nicky, la aprendiz de bruja",https://www.palomitacas.com/pelicula/ficha/p16859,16859,9.0,9.0,09 de octubre - 2025,2025-10-09
Mi vecino Totoro,https://www.palomitacas.com/pelicula/ficha/p8392,8392,8.0,8.0,08 de octubre - 2025,2025-10-09
Taylor Swift | The Official Release Party of a Showgirl,https://www.palomitacas.com/pelicula/ficha/p1548738,1548738,9.0,9.0,08 de octubre - 2025,2025-10-08
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,6.0,6.0,08 de septiembre - 2025,2025-09-08
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,1.0,1.0,13 de agosto - 2025,2025-08-13
Terminagolf 2,https://www.palomitacas.com/pelicula/ficha/p1263256,1263256,6.0,6.0,01 de agosto - 2025,2025-08-01
Terminagolf,https://www.palomitacas.com/pelicula/ficha/p9614,9614,6.0,6.0,01 de agosto - 2025,2025-08-01
Otro pequeño favor,https://www.palomitacas.com/pelicula/ficha/p974573,974573,,,,
Un pequeño favor,https://www.palomitacas.com/pelicula/ficha/p484247,484247,7.0,7.0,25 de julio - 2025,2025-07-25
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,7.0,7.0,14 de julio - 2025,2025-07-14
Fiasco total: El crucero de la caca,https://www.palomitacas.com/pelicula/ficha/p1484253,1484253,5.0,5.0,28 de junio - 2025,2025-06-28
The Many Deaths of Nora Dalmasso,https://www.palomitacas.com/pelicula/ficha/p1501993,1501993,7.5,7.5,23 de junio - 2025,2025-06-23
La viuda negra,https://www.palomitacas.com/pelicula/ficha/p1397832,1397832,7.0,7.0,02 de junio - 2025,2025-06-02
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,9.0,9.0,17 de mayo - 2025,2025-05-17
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,7.5,7.5,04 de mayo - 2025,2025-05-04
La secta,https://www.palomitacas.com/pelicula/ficha/p931628,931628,2.5,2.5,02 de mayo - 2025,2025-05-02
Con quién viajas,https://www.palomitacas.com/pelicula/ficha/p797245,797245,5.0,5.0,31 de marzo - 2025,2025-03-31
