title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Noche y día,https://www.palomitacas.com/pelicula/ficha/p37834,37834,6.0,6.0,01 de enero - 2026,2026-01-01
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,6.0,6.0,28 de diciembre - 2025,2025-12-28
La Navidad en sus manos,https://www.palomitacas.com/pelicula/ficha/p1100763,1100763,5.5,5.5,28 de diciembre - 2025,2025-12-28
¿Qué te juegas?,https://www.palomitacas.com/pelicula/ficha/p533984,533984,6.0,6.0,23 de diciembre - 2025,2025-12-23
Stockholm,https://www.palomitacas.com/pelicula/ficha/p185738,185738,7.0,7.0,17 de diciembre - 2025,2025-12-17
Juegos salvajes,https://www.palomitacas.com/pelicula/ficha/p617,617,5.5,5.5,17 de diciembre - 2025,2025-12-17
Vacaciones,https://www.palomitacas.com/pelicula/ficha/p296099,296099,6.0,6.0,16 de diciembre - 2025,2025-12-16
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,13 de diciembre - 2025,2025-12-13
Infinite,https://www.palomitacas.com/pelicula/ficha/p581726,581726,6.0,6.0,12 de diciembre - 2025,2025-12-12
Chicas malas,https://www.palomitacas.com/pelicula/ficha/p673593,673593,6.0,6.0,11 de diciembre - 2025,2025-12-11
Última noche en el Soho,https://www.palomitacas.com/pelicula/ficha/p576845,576845,7.5,7.5,11 de diciembre - 2025,2025-12-11
Reminiscencia,https://www.palomitacas.com/pelicula/ficha/p579047,579047,6.0,6.0,09 de diciembre - 2025,2025-12-09
Si fuera fácil,https://www.palomitacas.com/pelicula/ficha/p89492,89492,6.0,6.0,08 de diciembre - 2025,2025-12-08
Black Adam,https://www.palomitacas.com/pelicula/ficha/p436270,436270,6.5,6.5,08 de diciembre - 2025,2025-12-08
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,5.5,5.5,07 de diciembre - 2025,2025-12-07
Atracción fatal,https://www.palomitacas.com/pelicula/ficha/p10998,10998,7.0,7.0,05 de diciembre - 2025,2025-12-05
"Tan fuerte, tan cerca",https://www.palomitacas.com/pelicula/ficha/p64685,64685,6.5,6.5,30 de noviembre - 2025,2025-12-01
Junior,https://www.palomitacas.com/pelicula/ficha/p6280,6280,6.0,6.0,29 de noviembre - 2025,2025-11-29
Prisioneros,https://www.palomitacas.com/pelicula/ficha/p146233,146233,7.5,7.5,27 de noviembre - 2025,2025-11-27
Los reyes magos,https://www.palomitacas.com/pelicula/ficha/p22503,22503,6.0,6.0,27 de noviembre - 2025,2025-11-27
Gangster Squad: Brigada de élite,https://www.palomitacas.com/pelicula/ficha/p82682,82682,6.5,6.5,18 de noviembre - 2025,2025-11-18
Disturbia,https://www.palomitacas.com/pelicula/ficha/p8271,8271,6.5,6.5,18 de noviembre - 2025,2025-11-18
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,5.0,5.0,12 de noviembre - 2025,2025-11-12
