id,id_imdb,titulo,estado,tipo,mi_valoracion,fecha_vista
335983,tt1270797,Venom,3,película,7,2021-11-24
331482,tt3281548,Mujercitas,3,película,9,2021-11-24
508442,tt2948372,Soul,3,película,9,2021-11-24
75656,tt1670345,Ahora me ves,3,película,9,2025-01-07
291805,tt3110958,Ahora me ves 2,3,película,9,2025-01-12
342470,tt3907584,Violet y Finch,3,película,6.5,2021-11-24
505600,tt1489887,Súper empollonas,3,película,7.5,2021-11-24
391713,tt4925292,Lady Bird,3,película,7.5,2021-11-24
694234,tt10941528,Bajo El Sol De Riccione,3,película,7,2021-11-24
778730,tt11698630,Loco por ella,3,película,8,2023-08-07
615665,tt9866072,Amor de calendario,3,película,7.5,2021-11-24
658760,tt9806322,,3,película,8.5,2024-12-29
543540,tt8201170,La cita perfecta,3,película,7,2022-01-23
228205,tt2726560,El viaje más largo,3,película,7,2022-01-23
50646,tt1570728,"Crazy, Stupid, Love.",3,película,5,2022-01-23
43949,tt0817177,Flipped,3,película,4,2022-01-23
465136,tt7026672,Cada día,3,película,6,2022-01-23
787298,tt13846542,Amor al cuadrado,3,película,5,2022-01-23
286565,tt3622592,Ciudades de papel,3,película,5,2022-01-23
502292,tt7957694,Nuestro último verano,3,película,6,2022-01-23
261470,tt3230668,Perdona si te llamo amor,3,película,8.5,2022-01-23
34016,tt0815236,Ni en sueños,3,película,5.5,2022-01-23
656563,tt10329566,Ricos de amor,3,película,7,2022-01-23
433310,tt5783956,La primera vez que nos vimos,3,película,5,2022-01-23
256591,tt2381941,Focus,3,película,7,2022-01-23
50544,tt1632708,Con derecho a roce,3,película,6,2022-01-23
621013,tt5843876,Efectos colaterales del amor,3,película,7,2022-01-23
222935,tt2582846,Bajo la misma estrella,3,película,7,2022-01-23
419478,tt4799066,Amor a medianoche,3,película,7,2022-01-23
434203,tt6408226,Newness,3,película,5,2022-01-23
417678,tt5001718,"El amor lo es todo, todo",3,película,5,2022-01-23
594634,tt9179974,Cerca del horizonte,3,película,7,2022-01-23
384677,tt5304992,Cómo deshacerte de tu jefe,3,película,6,2022-01-23
412209,tt4991512,Tramps,3,película,7,2022-01-23
381707,tt4631532,Nuestros amantes,3,película,6,2022-07-29
527774,tt5109280,Raya y el último dragón,3,película,6,2022-07-29
429617,tt6320628,Spider-Man: Lejos de casa,3,película,6,2022-07-29
315635,tt2250912,Spider-Man: Homecoming,3,película,6.5,2022-07-29
299534,tt4154796,Vengadores: Endgame,3,película,6.5,2022-07-29
284052,tt1211837,Doctor Strange,3,película,7,2022-07-29
57214,tt1636826,Project X,3,película,6.5,2022-07-29
214756,tt2637276,Ted 2,3,película,7,2022-07-29
