title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Zoolander (Un descerebrado de moda),https://www.palomitacas.com/pelicula/ficha/p9398,9398,6.5,6.5,15 de diciembre - 2025,2025-12-14
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,4.5,4.5,11 de diciembre - 2025,2025-12-08
Prácticamente magia,https://www.palomitacas.com/pelicula/ficha/p6435,6435,5.5,5.5,01 de diciembre - 2025,2025-11-28
El bazar de las sorpresas,https://www.palomitacas.com/pelicula/ficha/p20334,20334,7.5,7.5,01 de diciembre - 2025,2025-11-28
Ganándose el cielo,https://www.palomitacas.com/pelicula/ficha/p885243,885243,5.0,5.0,23 de noviembre - 2025,2025-11-21
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,10 de noviembre - 2025,2025-11-08
Darkness,https://www.palomitacas.com/pelicula/ficha/p11056,11056,4.5,4.5,30 de octubre - 2025,2025-10-30
El sexto sentido,https://www.palomitacas.com/pelicula/ficha/p745,745,9.5,9.5,28 de octubre - 2025,2025-10-28
El asesino del nudo,https://www.palomitacas.com/pelicula/ficha/p544431,544431,6.0,6.0,27 de octubre - 2025,2025-10-27
Los Cretinos,https://www.palomitacas.com/pelicula/ficha/p927254,927254,4.0,4.0,24 de octubre - 2025,2025-10-24
Terror en Amityville,https://www.palomitacas.com/pelicula/ficha/p11449,11449,5.0,5.0,21 de octubre - 2025,2025-10-21
El cautivo,https://www.palomitacas.com/pelicula/ficha/p1238188,1238188,7.0,7.0,23 de septiembre - 2025,2025-09-20
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,8.0,8.0,15 de septiembre - 2025,2025-09-14
El correo,https://www.palomitacas.com/pelicula/ficha/p1148713,1148713,6.0,6.0,05 de septiembre - 2025,2025-09-05
Saben aquell,https://www.palomitacas.com/pelicula/ficha/p1138248,1138248,8.0,8.0,05 de septiembre - 2025,2025-09-05
Alta costura,https://www.palomitacas.com/pelicula/ficha/p719463,719463,4.0,4.0,05 de septiembre - 2025,2025-09-05
Delicioso,https://www.palomitacas.com/pelicula/ficha/p745611,745611,8.0,8.0,05 de septiembre - 2025,2025-09-05
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,14 de agosto - 2025,2025-08-13
Terminagolf 2,https://www.palomitacas.com/pelicula/ficha/p1263256,1263256,5.5,5.5,10 de agosto - 2025,2025-08-09
Muy lejos,https://www.palomitacas.com/pelicula/ficha/p1409925,1409925,7.0,7.0,10 de agosto - 2025,2025-08-09
Ponte en mi lugar de nuevo,https://www.palomitacas.com/pelicula/ficha/p1125257,1125257,7.0,7.0,10 de agosto - 2025,2025-08-09
La huella del mal,https://www.palomitacas.com/pelicula/ficha/p1310871,1310871,3.5,3.5,08 de agosto - 2025,2025-08-07
Terminagolf,https://www.palomitacas.com/pelicula/ficha/p9614,9614,5.5,5.5,07 de agosto - 2025,2025-08-06
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,7.5,7.5,14 de julio - 2025,2025-07-13
El muro negro,https://www.palomitacas.com/pelicula/ficha/p1425045,1425045,4.5,4.5,14 de julio - 2025,2025-07-12
La puerta mágica,https://www.palomitacas.com/pelicula/ficha/p830896,830896,,999.0,23 de junio - 2025,2025-06-22
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,,999.0,23 de junio - 2025,2025-06-21
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,7.0,7.0,12 de mayo - 2025,2025-05-12
De vuelta a la acción,https://www.palomitacas.com/pelicula/ficha/p993710,993710,6.0,6.0,20 de enero - 2025,2025-01-18
La virgen roja,https://www.palomitacas.com/pelicula/ficha/p1118028,1118028,6.5,6.5,13 de enero - 2025,2025-01-12
La culpa no es mía,https://www.palomitacas.com/pelicula/ficha/p1397854,1397854,5.5,5.5,13 de enero - 2025,2025-01-11
Better Man,https://www.palomitacas.com/pelicula/ficha/p799766,799766,8.0,8.0,13 de enero - 2025,2025-01-11
Aquella Navidad,https://www.palomitacas.com/pelicula/ficha/p645757,645757,7.0,7.0,23 de diciembre - 2024,2024-12-20
Mala Persona,https://www.palomitacas.com/pelicula/ficha/p1187364,1187364,5.0,5.0,23 de diciembre - 2024,2024-12-22
Cuerpo escombro,https://www.palomitacas.com/pelicula/ficha/p1203724,1203724,6.0,6.0,23 de diciembre - 2024,2024-12-21
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,7.5,7.5,11 de diciembre - 2024,2024-12-06
Moana 2,https://www.palomitacas.com/pelicula/ficha/p1241982,1241982,7.0,7.0,30 de noviembre - 2024,2024-11-29
El hoyo 2,https://www.palomitacas.com/pelicula/ficha/p1125510,1125510,3.5,3.5,11 de octubre - 2024,2024-10-05
Tootsie,https://www.palomitacas.com/pelicula/ficha/p9576,9576,7.0,7.0,28 de agosto - 2024,2024-08-26
Ramona y su hermana,https://www.palomitacas.com/pelicula/ficha/p38843,38843,5.0,5.0,05 de agosto - 2024,2024-08-04
Theater Camp,https://www.palomitacas.com/pelicula/ficha/p986054,986054,5.0,5.0,05 de agosto - 2024,2024-08-04
Realmente felices para siempre,https://www.palomitacas.com/pelicula/ficha/p520409,520409,4.0,4.0,23 de julio - 2024,2024-07-21
Con canas y a lo loco,https://www.palomitacas.com/pelicula/ficha/p808087,808087,6.5,6.5,23 de julio - 2024,2024-07-21
Bajo el sol de la Toscana,https://www.palomitacas.com/pelicula/ficha/p10934,10934,5.5,5.5,23 de julio - 2024,2024-07-21
Los descendientes,https://www.palomitacas.com/pelicula/ficha/p65057,65057,6.5,6.5,22 de julio - 2024,2024-07-21
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,7.5,7.5,02 de julio - 2024,2024-07-02
"Conan, el bárbaro",https://www.palomitacas.com/pelicula/ficha/p9387,9387,5.0,5.0,25 de mayo - 2024,2024-05-25
Jugando Con Fuego,https://www.palomitacas.com/pelicula/ficha/p554241,554241,4.5,4.5,19 de mayo - 2024,2024-05-19
La mesita del comedor,https://www.palomitacas.com/pelicula/ficha/p1056380,1056380,6.0,6.0,19 de mayo - 2024,2024-05-19
Sin edulcorar,https://www.palomitacas.com/pelicula/ficha/p844185,844185,6.0,6.0,14 de mayo - 2024,2024-05-14
El maestro que prometió el mar,https://www.palomitacas.com/pelicula/ficha/p1024541,1024541,7.0,7.0,14 de mayo - 2024,2024-05-14
Rebel Moon (Parte uno): La niña del fuego,https://www.palomitacas.com/pelicula/ficha/p848326,848326,6.5,6.5,29 de abril - 2024,2024-04-29
La ermita,https://www.palomitacas.com/pelicula/ficha/p1078928,1078928,4.5,4.5,15 de abril - 2024,2024-04-15
¿Dónde Estás Mamá?,https://www.palomitacas.com/pelicula/ficha/p443398,443398,7.0,7.0,15 de abril - 2024,2024-04-15
La contadora de películas,https://www.palomitacas.com/pelicula/ficha/p928118,928118,7.5,7.5,07 de abril - 2024,2024-04-07
Damsel,https://www.palomitacas.com/pelicula/ficha/p763215,763215,7.5,7.5,23 de marzo - 2024,2024-03-23
Pobres criaturas,https://www.palomitacas.com/pelicula/ficha/p792307,792307,7.5,7.5,18 de marzo - 2024,2024-03-18
Air,https://www.palomitacas.com/pelicula/ficha/p964980,964980,7.0,7.0,25 de febrero - 2024,2024-02-25
Orión y la oscuridad,https://www.palomitacas.com/pelicula/ficha/p1139829,1139829,4.0,4.0,14 de febrero - 2024,2024-02-14
Campeonex,https://www.palomitacas.com/pelicula/ficha/p1074080,1074080,7.5,7.5,11 de febrero - 2024,2024-02-11
La llegada,https://www.palomitacas.com/pelicula/ficha/p1051547,1051547,5.5,5.5,11 de febrero - 2024,2024-02-11
Tres son multitud,https://www.palomitacas.com/pelicula/ficha/p870098,870098,7.0,7.0,28 de enero - 2024,2024-01-28
La desconocida,https://www.palomitacas.com/pelicula/ficha/p886544,886544,6.5,6.5,28 de enero - 2024,2024-01-28
El cabo del miedo,https://www.palomitacas.com/pelicula/ficha/p1598,1598,7.0,7.0,14 de enero - 2024,2024-01-14
El cuco,https://www.palomitacas.com/pelicula/ficha/p1064801,1064801,6.0,6.0,13 de enero - 2024,2024-01-13
Múltiple,https://www.palomitacas.com/pelicula/ficha/p381288,381288,,,,
Wonder,https://www.palomitacas.com/pelicula/ficha/p406997,406997,,,,
Bajo la misma estrella,https://www.palomitacas.com/pelicula/ficha/p222935,222935,,,,
Oldboy,https://www.palomitacas.com/pelicula/ficha/p670,670,,,,
"Clifford, el gran perro rojo",https://www.palomitacas.com/pelicula/ficha/p585245,585245,,,,
Tom y Jerry,https://www.palomitacas.com/pelicula/ficha/p587807,587807,,,,
The King's Man: La primera misión,https://www.palomitacas.com/pelicula/ficha/p476669,476669,,,,
Aves de presa (y la fantabulosa emancipación de Harley Quinn),https://www.palomitacas.com/pelicula/ficha/p495764,495764,,,,
Wish: El poder de los deseos,https://www.palomitacas.com/pelicula/ficha/p1022796,1022796,6.5,6.5,10 de enero - 2024,2024-01-10
Todos los nombres de Dios,https://www.palomitacas.com/pelicula/ficha/p1053592,1053592,,,,
Migración. Un viaje patas arriba,https://www.palomitacas.com/pelicula/ficha/p940551,940551,7.0,7.0,10 de enero - 2024,2024-01-10
Wonka,https://www.palomitacas.com/pelicula/ficha/p787699,787699,7.0,7.0,10 de enero - 2024,2024-01-10
La sociedad de la nieve,https://www.palomitacas.com/pelicula/ficha/p906126,906126,8.0,8.0,10 de enero - 2024,2024-01-10
Chicken Run: Amanecer de los nuggets,https://www.palomitacas.com/pelicula/ficha/p520758,520758,,,,
Familia Revuelta,https://www.palomitacas.com/pelicula/ficha/p798021,798021,,,,
La reina de los concursos,https://www.palomitacas.com/pelicula/ficha/p787781,787781,,,,
Sevillanas de Brooklyn,https://www.palomitacas.com/pelicula/ficha/p793158,793158,,,,
Lobo Feroz,https://www.palomitacas.com/pelicula/ficha/p800085,800085,,,,
No respires 2,https://www.palomitacas.com/pelicula/ficha/p482373,482373,,,,
Mansión encantada (Haunted Mansion),https://www.palomitacas.com/pelicula/ficha/p616747,616747,,,,
El Cisne,https://www.palomitacas.com/pelicula/ficha/p1172675,1172675,,,,
La maravillosa historia de Henry Sugar,https://www.palomitacas.com/pelicula/ficha/p923939,923939,,,,
La cita de Carl,https://www.palomitacas.com/pelicula/ficha/p1076364,1076364,,,,
Nowhere,https://www.palomitacas.com/pelicula/ficha/p1151534,1151534,,,,
Las cintas de Rosa Peral,https://www.palomitacas.com/pelicula/ficha/p1167520,1167520,,,,
Elemental,https://www.palomitacas.com/pelicula/ficha/p976573,976573,,,,
Ni de coña estás invitada a mi bat mitsvá,https://www.palomitacas.com/pelicula/ficha/p999644,999644,,,,
Barbie,https://www.palomitacas.com/pelicula/ficha/p346698,346698,,,,
Nimona,https://www.palomitacas.com/pelicula/ficha/p961323,961323,,,,
El Critico,https://www.palomitacas.com/pelicula/ficha/p1018931,1018931,,,,
Flash,https://www.palomitacas.com/pelicula/ficha/p298618,298618,,,,
Flamin'Hot: La historia de los Cheetos picantes,https://www.palomitacas.com/pelicula/ficha/p626332,626332,,,,
Indiana Jones y el dial del destino,https://www.palomitacas.com/pelicula/ficha/p335977,335977,,,,
Culpa mía,https://www.palomitacas.com/pelicula/ficha/p1010581,1010581,,,,
Spider-Man: Cruzando el Multiverso,https://www.palomitacas.com/pelicula/ficha/p569094,569094,,,,
La madre,https://www.palomitacas.com/pelicula/ficha/p552688,552688,,,,
La gata sobre el tejado de zinc,https://www.palomitacas.com/pelicula/ficha/p261,261,,,,
Eres tú,https://www.palomitacas.com/pelicula/ficha/p818648,818648,,,,
Criminales en el mar,https://www.palomitacas.com/pelicula/ficha/p514999,514999,,,,
Animales fantásticos: Los secretos de Dumbledore,https://www.palomitacas.com/pelicula/ficha/p338953,338953,6.0,6.0,15 de abril - 2023,2023-05-09
¡Shazam!,https://www.palomitacas.com/pelicula/ficha/p287947,287947,,,,
Los Simpson conocen a los Bocelli en Feliz Navidad,https://www.palomitacas.com/pelicula/ficha/p1058732,1058732,,,,
La elefanta del mago,https://www.palomitacas.com/pelicula/ficha/p776835,776835,,,,
Criminales a la vista,https://www.palomitacas.com/pelicula/ficha/p638974,638974,,,,
Súper Mario Bros. La película,https://www.palomitacas.com/pelicula/ficha/p502356,502356,,,,
Aftersun,https://www.palomitacas.com/pelicula/ficha/p965150,965150,6.0,6.0,12 de marzo - 2023,2023-03-12
Nuestro bebé elefante,https://www.palomitacas.com/pelicula/ficha/p1041580,1041580,5.5,5.5,12 de marzo - 2023,2023-03-12
Avatar: El sentido del agua,https://www.palomitacas.com/pelicula/ficha/p76600,76600,5.5,5.5,12 de marzo - 2023,2023-03-12
El Gato con Botas: El último deseo,https://www.palomitacas.com/pelicula/ficha/p315162,315162,8.5,8.5,12 de marzo - 2023,2023-03-12
"El niño, el topo, el zorro y el caballo",https://www.palomitacas.com/pelicula/ficha/p995133,995133,7.5,7.5,12 de marzo - 2023,2023-03-12
Tell It Like a Woman,https://www.palomitacas.com/pelicula/ficha/p822124,822124,5.5,5.5,12 de marzo - 2023,2023-03-12
Black Panther: Wakanda Forever,https://www.palomitacas.com/pelicula/ficha/p505642,505642,5.0,5.0,12 de marzo - 2023,2023-03-12
Pinocho de Guillermo del Toro,https://www.palomitacas.com/pelicula/ficha/p555604,555604,9.0,9.0,12 de marzo - 2023,2023-03-12
Sin novedad en el frente,https://www.palomitacas.com/pelicula/ficha/p49046,49046,6.5,6.5,12 de marzo - 2023,2023-03-12
Causeway,https://www.palomitacas.com/pelicula/ficha/p595586,595586,6.5,6.5,12 de marzo - 2023,2023-03-12
La ballena,https://www.palomitacas.com/pelicula/ficha/p785084,785084,8.5,8.5,12 de marzo - 2023,2023-03-12
El imperio de la luz,https://www.palomitacas.com/pelicula/ficha/p814757,814757,4.5,4.5,12 de marzo - 2023,2023-03-12
La Belleza y el Dolor,https://www.palomitacas.com/pelicula/ficha/p1004663,1004663,2.5,2.5,12 de marzo - 2023,2023-03-12
Ellas hablan,https://www.palomitacas.com/pelicula/ficha/p777245,777245,8.0,8.0,12 de marzo - 2023,2023-03-12
"Bardo, falsa crónica de unas cuantas verdades",https://www.palomitacas.com/pelicula/ficha/p685691,685691,3.5,3.5,12 de marzo - 2023,2023-03-12
TÁR,https://www.palomitacas.com/pelicula/ficha/p817758,817758,8.0,8.0,12 de marzo - 2023,2023-03-12
El viaje a París de la señora Harris,https://www.palomitacas.com/pelicula/ficha/p754609,754609,7.0,7.0,12 de marzo - 2023,2023-03-12
My Year of Dicks,https://www.palomitacas.com/pelicula/ficha/p971188,971188,3.5,3.5,12 de marzo - 2023,2023-03-12
El marinero volador,https://www.palomitacas.com/pelicula/ficha/p742872,742872,2.0,2.0,12 de marzo - 2023,2023-03-12
An Ostrich Told Me the World Is Fake and I Think I Believe It,https://www.palomitacas.com/pelicula/ficha/p943776,943776,7.0,7.0,12 de marzo - 2023,2023-03-12
