title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
London Calling,https://www.palomitacas.com/pelicula/ficha/p1217602,1217602,6.5,6.5,03 de enero - 2026,2026-01-03
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,6.5,6.5,03 de enero - 2026,2026-01-03
Critters,https://www.palomitacas.com/pelicula/ficha/p3980,3980,6.0,6.0,02 de enero - 2026,2026-01-02
Maldita trinidad,https://www.palomitacas.com/pelicula/ficha/p1195518,1195518,6.5,6.5,02 de enero - 2026,2026-01-02
El talento,https://www.palomitacas.com/pelicula/ficha/p1351046,1351046,6.5,6.5,02 de enero - 2026,2026-01-02
Todas las criaturas grandes y pequeñas: Especial de Navidad,https://www.palomitacas.com/pelicula/ficha/p1607046,1607046,6.5,6.5,02 de enero - 2026,2026-01-02
La mujer que sabía demasiado,https://www.palomitacas.com/pelicula/ficha/p1320414,1320414,6.5,6.5,01 de enero - 2026,2026-01-01
El negociador,https://www.palomitacas.com/pelicula/ficha/p1192174,1192174,6.5,6.5,01 de enero - 2026,2026-01-01
Relay,https://www.palomitacas.com/pelicula/ficha/p1088166,1088166,6.5,6.5,31 de diciembre - 2025,2025-12-31
El mejor,https://www.palomitacas.com/pelicula/ficha/p986097,986097,6.0,6.0,30 de diciembre - 2025,2025-12-30
Memoria letal,https://www.palomitacas.com/pelicula/ficha/p11412,11412,6.5,6.5,30 de diciembre - 2025,2025-12-30
Solitaria es la noche: Los crímenes de la familia Bansal,https://www.palomitacas.com/pelicula/ficha/p1415974,1415974,6.0,6.0,28 de diciembre - 2025,2025-12-28
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,7.0,7.0,28 de diciembre - 2025,2025-12-28
"Psiconautas, los niños olvidados",https://www.palomitacas.com/pelicula/ficha/p361705,361705,6.5,6.5,27 de diciembre - 2025,2025-12-27
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,5.5,5.5,27 de diciembre - 2025,2025-12-27
रात अकेली है,https://www.palomitacas.com/pelicula/ficha/p589615,589615,6.5,6.5,27 de diciembre - 2025,2025-12-27
Los Muértimer,https://www.palomitacas.com/pelicula/ficha/p1318691,1318691,6.0,6.0,26 de diciembre - 2025,2025-12-26
Ladrones con clase,https://www.palomitacas.com/pelicula/ficha/p1116490,1116490,6.5,6.5,26 de diciembre - 2025,2025-12-26
Match: La reina de las apps de citas,https://www.palomitacas.com/pelicula/ficha/p1265344,1265344,6.5,6.5,26 de diciembre - 2025,2025-12-26
Indomables,https://www.palomitacas.com/pelicula/ficha/p1092506,1092506,6.5,6.5,25 de diciembre - 2025,2025-12-25
Buenos vecinos,https://www.palomitacas.com/pelicula/ficha/p64320,64320,6.5,6.5,24 de diciembre - 2025,2025-12-24
La sospecha de Sofía,https://www.palomitacas.com/pelicula/ficha/p1520850,1520850,6.5,6.5,23 de diciembre - 2025,2025-12-23
Rescate al amanecer,https://www.palomitacas.com/pelicula/ficha/p9952,9952,7.0,7.0,23 de diciembre - 2025,2025-12-23
El imperio del fuego,https://www.palomitacas.com/pelicula/ficha/p6278,6278,6.5,6.5,23 de diciembre - 2025,2025-12-23
Una Navidad diferente,https://www.palomitacas.com/pelicula/ficha/p1430593,1430593,6.5,6.5,23 de diciembre - 2025,2025-12-23
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,5.0,5.0,21 de diciembre - 2025,2025-12-21
La hora de los valientes,https://www.palomitacas.com/pelicula/ficha/p1589891,1589891,6.5,6.5,21 de diciembre - 2025,2025-12-21
