title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,7.0,7.0,29 de diciembre - 2025,2025-12-29
Daniela Forever,https://www.palomitacas.com/pelicula/ficha/p1084440,1084440,5.0,5.0,29 de diciembre - 2025,2025-12-29
Tienes un e-mail,https://www.palomitacas.com/pelicula/ficha/p9489,9489,4.0,4.0,29 de diciembre - 2025,2025-12-29
Springsteen: Deliver Me from Nowhere,https://www.palomitacas.com/pelicula/ficha/p1230368,1230368,5.0,5.0,26 de diciembre - 2025,2025-12-26
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,9.0,9.0,21 de diciembre - 2025,2025-12-21
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,8.5,8.5,16 de diciembre - 2025,2025-12-16
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,7.5,7.5,16 de diciembre - 2025,2025-12-16
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,13 de diciembre - 2025,2025-12-13
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,01 de diciembre - 2025,2025-12-01
No tenéis ni **** idea,https://www.palomitacas.com/pelicula/ficha/p1393586,1393586,7.5,7.5,23 de noviembre - 2025,2025-11-23
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,7.0,7.0,20 de noviembre - 2025,2025-11-20
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,7.5,7.5,30 de octubre - 2025,2025-10-30
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,7.0,7.0,19 de octubre - 2025,2025-10-19
Los Tigres,https://www.palomitacas.com/pelicula/ficha/p1464374,1464374,,,,
Mamá es boba,https://www.palomitacas.com/pelicula/ficha/p113807,113807,8.0,8.0,14 de octubre - 2025,2025-10-14
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,3.0,3.0,14 de octubre - 2025,2025-10-14
This Is Spinal Tap,https://www.palomitacas.com/pelicula/ficha/p11031,11031,6.0,6.0,03 de octubre - 2025,2025-10-03
Nirvana: Live at the Paramount,https://www.palomitacas.com/pelicula/ficha/p75107,75107,8.5,8.5,28 de septiembre - 2025,2025-09-28
Teniente corrupto,https://www.palomitacas.com/pelicula/ficha/p11699,11699,7.5,7.5,27 de septiembre - 2025,2025-09-27
The Apprentice (La historia de Trump),https://www.palomitacas.com/pelicula/ficha/p1182047,1182047,6.5,6.5,23 de septiembre - 2025,2025-09-23
