title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Los cazafantasmas,https://www.palomitacas.com/pelicula/ficha/p620,620,8.0,8.0,30 de agosto - 2020,2020-08-30
Enganchados a la muerte,https://www.palomitacas.com/pelicula/ficha/p400710,400710,4.0,4.0,29 de agosto - 2020,2020-08-29
Perros de paja,https://www.palomitacas.com/pelicula/ficha/p994,994,7.5,7.5,02 de julio - 2020,2020-07-02
Aeropuerto 77,https://www.palomitacas.com/pelicula/ficha/p7227,7227,5.0,5.0,01 de julio - 2020,2020-07-01
It Follows,https://www.palomitacas.com/pelicula/ficha/p270303,270303,1.0,1.0,29 de junio - 2020,2020-06-29
Cerca del horizonte,https://www.palomitacas.com/pelicula/ficha/p594634,594634,2.5,2.5,31 de mayo - 2020,2020-05-31
Idiocracia,https://www.palomitacas.com/pelicula/ficha/p7512,7512,5.5,5.5,30 de mayo - 2020,2020-05-30
El buen maestro,https://www.palomitacas.com/pelicula/ficha/p462503,462503,7.5,7.5,24 de mayo - 2020,2020-05-24
Muerte bajo el sol,https://www.palomitacas.com/pelicula/ficha/p4193,4193,7.0,7.0,18 de mayo - 2020,2020-05-18
Encuéntrame,https://www.palomitacas.com/pelicula/ficha/p345918,345918,5.0,5.0,16 de mayo - 2020,2020-05-16
Lo que arde con el fuego,https://www.palomitacas.com/pelicula/ficha/p417812,417812,6.5,6.5,15 de mayo - 2020,2020-05-15
Cuando llegue septiembre,https://www.palomitacas.com/pelicula/ficha/p22386,22386,6.5,6.5,14 de mayo - 2020,2020-05-14
La quinta ola,https://www.palomitacas.com/pelicula/ficha/p299687,299687,3.0,3.0,13 de mayo - 2020,2020-05-13
Soy el número cuatro,https://www.palomitacas.com/pelicula/ficha/p46529,46529,4.0,4.0,13 de mayo - 2020,2020-05-13
Elysium,https://www.palomitacas.com/pelicula/ficha/p68724,68724,6.0,6.0,10 de mayo - 2020,2020-05-10
Jojo Rabbit,https://www.palomitacas.com/pelicula/ficha/p515001,515001,7.5,7.5,09 de mayo - 2020,2020-05-09
Lo mejor de mí,https://www.palomitacas.com/pelicula/ficha/p239571,239571,6.5,6.5,03 de mayo - 2020,2020-05-03
"Sonic, la película",https://www.palomitacas.com/pelicula/ficha/p454626,454626,6.5,6.5,03 de mayo - 2020,2020-05-03
Aladdín,https://www.palomitacas.com/pelicula/ficha/p420817,420817,5.5,5.5,25 de abril - 2020,2020-04-25
El Rey León,https://www.palomitacas.com/pelicula/ficha/p420818,420818,6.0,6.0,21 de abril - 2020,2020-04-21
Downton Abbey,https://www.palomitacas.com/pelicula/ficha/p535544,535544,7.5,7.5,19 de abril - 2020,2020-04-19
El hoyo,https://www.palomitacas.com/pelicula/ficha/p619264,619264,,,,
Historia de un matrimonio,https://www.palomitacas.com/pelicula/ficha/p492188,492188,8.0,8.0,28 de marzo - 2020,2020-04-21
Retrato de una mujer en llamas,https://www.palomitacas.com/pelicula/ficha/p531428,531428,,,,
Copying Beethoven,https://www.palomitacas.com/pelicula/ficha/p1590,1590,,,,
Frozen II,https://www.palomitacas.com/pelicula/ficha/p330457,330457,,,,
Joker,https://www.palomitacas.com/pelicula/ficha/p475557,475557,8.0,8.0,22 de marzo - 2020,2020-04-21
Parásitos,https://www.palomitacas.com/pelicula/ficha/p496243,496243,9.0,9.0,22 de marzo - 2020,2020-04-21
Con faldas y a lo loco,https://www.palomitacas.com/pelicula/ficha/p239,239,,,,
Réplicas,https://www.palomitacas.com/pelicula/ficha/p300681,300681,,,,
"Amanece, que no es poco",https://www.palomitacas.com/pelicula/ficha/p20607,20607,,,,
El tercer hombre,https://www.palomitacas.com/pelicula/ficha/p1092,1092,,,,
Training Day (Día de entrenamiento),https://www.palomitacas.com/pelicula/ficha/p2034,2034,,,,
La caja de música,https://www.palomitacas.com/pelicula/ficha/p2263,2263,,,,
Trance,https://www.palomitacas.com/pelicula/ficha/p68727,68727,,,,
Redención (Tyrannosaur),https://www.palomitacas.com/pelicula/ficha/p76543,76543,,,,
Beethoven: Uno más de la familia,https://www.palomitacas.com/pelicula/ficha/p11806,11806,,,,
A las nueve cada noche,https://www.palomitacas.com/pelicula/ficha/p2516,2516,,,,
Hard Candy,https://www.palomitacas.com/pelicula/ficha/p2652,2652,,,,
Call Me by Your Name,https://www.palomitacas.com/pelicula/ficha/p398818,398818,,,,
El nuevo nuevo testamento,https://www.palomitacas.com/pelicula/ficha/p330764,330764,,,,
Jackie,https://www.palomitacas.com/pelicula/ficha/p376866,376866,,,,
Anatomía de un asesinato,https://www.palomitacas.com/pelicula/ficha/p93,93,,,,
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,,,,
El violín rojo,https://www.palomitacas.com/pelicula/ficha/p14283,14283,,,,
Premonición,https://www.palomitacas.com/pelicula/ficha/p2046,2046,,,,
El quinto elemento,https://www.palomitacas.com/pelicula/ficha/p18,18,,,,
Sospecha,https://www.palomitacas.com/pelicula/ficha/p11462,11462,,,,
Sonrisas y lágrimas,https://www.palomitacas.com/pelicula/ficha/p15121,15121,,,,
Sombrero de copa,https://www.palomitacas.com/pelicula/ficha/p3080,3080,,,,
El camino: una película de Breaking Bad,https://www.palomitacas.com/pelicula/ficha/p559969,559969,,,,
El celo,https://www.palomitacas.com/pelicula/ficha/p79080,79080,,,,
La sombra de la noche,https://www.palomitacas.com/pelicula/ficha/p2212,2212,,,,
Atrapados,https://www.palomitacas.com/pelicula/ficha/p329981,329981,,,,
Un pequeño favor,https://www.palomitacas.com/pelicula/ficha/p484247,484247,,,,
Historias de Filadelfia,https://www.palomitacas.com/pelicula/ficha/p981,981,,,,
Sombra enamorada,https://www.palomitacas.com/pelicula/ficha/p134774,134774,,,,
Enemigos públicos,https://www.palomitacas.com/pelicula/ficha/p11322,11322,,,,
Stoker,https://www.palomitacas.com/pelicula/ficha/p86825,86825,,,,
Laura,https://www.palomitacas.com/pelicula/ficha/p1939,1939,,,,
Jerry Maguire,https://www.palomitacas.com/pelicula/ficha/p9390,9390,,,,
West Side Story,https://www.palomitacas.com/pelicula/ficha/p1725,1725,,,,
Peter y el dragón,https://www.palomitacas.com/pelicula/ficha/p294272,294272,,,,
50 hombres muertos,https://www.palomitacas.com/pelicula/ficha/p17622,17622,,,,
Doctor Strange,https://www.palomitacas.com/pelicula/ficha/p284052,284052,,,,
Los caballeros las prefieren rubias,https://www.palomitacas.com/pelicula/ficha/p759,759,,,,
La fiera de mi niña,https://www.palomitacas.com/pelicula/ficha/p900,900,,,,
La tentación vive arriba,https://www.palomitacas.com/pelicula/ficha/p10653,10653,,,,
La luz entre los océanos,https://www.palomitacas.com/pelicula/ficha/p283552,283552,,,,
El crisol,https://www.palomitacas.com/pelicula/ficha/p20539,20539,,,,
El velo pintado,https://www.palomitacas.com/pelicula/ficha/p14202,14202,,,,
Siete hermanas,https://www.palomitacas.com/pelicula/ficha/p406990,406990,,,,
"Yo, Daniel Blake",https://www.palomitacas.com/pelicula/ficha/p374473,374473,,,,
Eyes Wide Shut,https://www.palomitacas.com/pelicula/ficha/p345,345,,,,
John Wick: Pacto de sangre,https://www.palomitacas.com/pelicula/ficha/p324552,324552,,,,
John Wick (Otro día para matar),https://www.palomitacas.com/pelicula/ficha/p245891,245891,,,,
Pesadillas,https://www.palomitacas.com/pelicula/ficha/p257445,257445,,,,
Cría cuervos…,https://www.palomitacas.com/pelicula/ficha/p51857,51857,,,,
Cómo entrenar a tu dragón 3,https://www.palomitacas.com/pelicula/ficha/p166428,166428,,,,
Sobran las palabras,https://www.palomitacas.com/pelicula/ficha/p209263,209263,,,,
Caprichos del destino,https://www.palomitacas.com/pelicula/ficha/p12618,12618,,,,
El cuervo,https://www.palomitacas.com/pelicula/ficha/p9495,9495,,,,
Cómo casarse con un millonario,https://www.palomitacas.com/pelicula/ficha/p10297,10297,,,,
Gilda,https://www.palomitacas.com/pelicula/ficha/p3767,3767,,,,
The Amazing Spider-Man 2: El poder de Electro,https://www.palomitacas.com/pelicula/ficha/p102382,102382,,,,
The Amazing Spider-Man,https://www.palomitacas.com/pelicula/ficha/p1930,1930,,,,
La loba,https://www.palomitacas.com/pelicula/ficha/p43802,43802,,,,
Ahora o nunca,https://www.palomitacas.com/pelicula/ficha/p300601,300601,,,,
Iron Man,https://www.palomitacas.com/pelicula/ficha/p1726,1726,,,,
Mi casa en París,https://www.palomitacas.com/pelicula/ficha/p282296,282296,,,,
Luna nueva,https://www.palomitacas.com/pelicula/ficha/p3085,3085,,,,
Comanchería,https://www.palomitacas.com/pelicula/ficha/p338766,338766,,,,
Bola de fuego,https://www.palomitacas.com/pelicula/ficha/p29884,29884,,,,
Ha nacido una estrella,https://www.palomitacas.com/pelicula/ficha/p332562,332562,,,,
El gran showman,https://www.palomitacas.com/pelicula/ficha/p316029,316029,,,,
Viaje a Darjeeling,https://www.palomitacas.com/pelicula/ficha/p4538,4538,,,,
Hasta que te encontré,https://www.palomitacas.com/pelicula/ficha/p417261,417261,,,,
Chicago,https://www.palomitacas.com/pelicula/ficha/p1574,1574,,,,
Aquí y ahora,https://www.palomitacas.com/pelicula/ficha/p157386,157386,,,,
