title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Sucedió en Manhattan,https://www.palomitacas.com/pelicula/ficha/p7303,7303,6.5,6.5,19 de agosto - 2025,2025-08-19
Érase una vez...,https://www.palomitacas.com/pelicula/ficha/p527400,527400,4.5,4.5,10 de julio - 2025,2025-07-10
Misterio en Venecia,https://www.palomitacas.com/pelicula/ficha/p945729,945729,7.0,7.0,18 de abril - 2025,2025-04-18
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,6.5,6.5,01 de febrero - 2025,2025-02-17
Kung Fu Panda,https://www.palomitacas.com/pelicula/ficha/p9502,9502,7.0,7.0,04 de enero - 2025,2025-01-04
Nativity!,https://www.palomitacas.com/pelicula/ficha/p49522,49522,6.5,6.5,22 de diciembre - 2024,2024-12-22
Aquella Navidad,https://www.palomitacas.com/pelicula/ficha/p645757,645757,7.5,7.5,21 de diciembre - 2024,2024-12-21
La roca,https://www.palomitacas.com/pelicula/ficha/p9802,9802,7.5,7.5,30 de noviembre - 2024,2024-11-30
La casa de los susurros,https://www.palomitacas.com/pelicula/ficha/p1014661,1014661,6.0,6.0,27 de octubre - 2024,2024-10-27
Bullet Train,https://www.palomitacas.com/pelicula/ficha/p718930,718930,7.5,7.5,07 de octubre - 2024,2024-10-07
El juez,https://www.palomitacas.com/pelicula/ficha/p205587,205587,7.5,7.5,06 de octubre - 2024,2024-10-06
Wind River,https://www.palomitacas.com/pelicula/ficha/p395834,395834,7.0,7.0,05 de octubre - 2024,2024-10-05
Aún sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p3600,3600,3.5,3.5,06 de septiembre - 2024,2024-09-06
El exótico Hotel Marigold,https://www.palomitacas.com/pelicula/ficha/p74534,74534,7.0,7.0,26 de agosto - 2024,2024-08-26
Falcon Lake,https://www.palomitacas.com/pelicula/ficha/p946127,946127,7.0,7.0,21 de agosto - 2024,2024-08-21
My First Summer,https://www.palomitacas.com/pelicula/ficha/p741011,741011,7.5,7.5,20 de agosto - 2024,2024-08-20
Vacaciones de verano,https://www.palomitacas.com/pelicula/ficha/p1061634,1061634,4.0,4.0,19 de agosto - 2024,2024-08-19
Phineas y Ferb: A través de la 2ª dimensión,https://www.palomitacas.com/pelicula/ficha/p71689,71689,7.0,7.0,17 de agosto - 2024,2024-08-17
Gru 4. Mi villano favorito,https://www.palomitacas.com/pelicula/ficha/p519182,519182,7.0,7.0,10 de agosto - 2024,2024-08-10
Este muerto está muy vivo,https://www.palomitacas.com/pelicula/ficha/p8491,8491,6.5,6.5,08 de agosto - 2024,2024-08-08
Teen Beach 2,https://www.palomitacas.com/pelicula/ficha/p325189,325189,3.0,3.0,07 de agosto - 2024,2024-08-07
Teen Beach Movie,https://www.palomitacas.com/pelicula/ficha/p177888,177888,1.0,1.0,06 de agosto - 2024,2024-08-06
High School Musical 2,https://www.palomitacas.com/pelicula/ficha/p13649,13649,5.5,5.5,02 de agosto - 2024,2024-08-02
Megalodón 2: La fosa,https://www.palomitacas.com/pelicula/ficha/p615656,615656,5.0,5.0,24 de julio - 2024,2024-07-24
Megalodón,https://www.palomitacas.com/pelicula/ficha/p345940,345940,6.5,6.5,23 de julio - 2024,2024-07-23
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,7.0,7.0,24 de junio - 2024,2025-03-16
Aquaman y el reino perdido,https://www.palomitacas.com/pelicula/ficha/p572802,572802,6.0,6.0,16 de junio - 2024,2024-06-16
