title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La deuda,https://www.palomitacas.com/pelicula/ficha/p513691,513691,4.0,4.0,18 de septiembre - 2019,2019-09-18
Barry Seal: El traficante,https://www.palomitacas.com/pelicula/ficha/p337170,337170,6.0,6.0,18 de septiembre - 2019,2019-09-18
Máquina de guerra,https://www.palomitacas.com/pelicula/ficha/p354287,354287,5.0,5.0,15 de septiembre - 2019,2019-09-15
O Matador,https://www.palomitacas.com/pelicula/ficha/p466190,466190,5.0,5.0,11 de septiembre - 2019,2019-09-11
Tarde para la ira,https://www.palomitacas.com/pelicula/ficha/p411638,411638,6.0,6.0,08 de septiembre - 2019,2019-09-08
Amor en obras,https://www.palomitacas.com/pelicula/ficha/p623195,623195,5.0,5.0,04 de septiembre - 2019,2019-09-04
Lago Shimmer,https://www.palomitacas.com/pelicula/ficha/p457962,457962,6.0,6.0,03 de septiembre - 2019,2019-09-03
Wheelman,https://www.palomitacas.com/pelicula/ficha/p471014,471014,5.0,5.0,25 de agosto - 2019,2019-08-25
La noche del jabalí,https://www.palomitacas.com/pelicula/ficha/p455599,455599,4.0,4.0,25 de agosto - 2019,2019-08-25
Mudo (Mute),https://www.palomitacas.com/pelicula/ficha/p401371,401371,5.0,5.0,25 de agosto - 2019,2019-08-25
City of Tiny Lights,https://www.palomitacas.com/pelicula/ficha/p408626,408626,6.0,6.0,25 de agosto - 2019,2019-08-25
Perdida,https://www.palomitacas.com/pelicula/ficha/p513223,513223,5.0,5.0,24 de agosto - 2019,2019-08-24
Pequeños delitos,https://www.palomitacas.com/pelicula/ficha/p411405,411405,5.0,5.0,22 de agosto - 2019,2019-08-22
Las apariencias engañan,https://www.palomitacas.com/pelicula/ficha/p331313,331313,6.0,6.0,21 de agosto - 2019,2019-08-21
De-mentes criminales,https://www.palomitacas.com/pelicula/ficha/p213681,213681,6.0,6.0,21 de agosto - 2019,2019-08-21
Revenge,https://www.palomitacas.com/pelicula/ficha/p467938,467938,5.0,5.0,05 de agosto - 2019,2019-08-05
Chicas Con Pelotas,https://www.palomitacas.com/pelicula/ficha/p449684,449684,1.0,1.0,01 de agosto - 2019,2019-08-01
The Do-Over,https://www.palomitacas.com/pelicula/ficha/p389053,389053,4.0,4.0,31 de julio - 2019,2019-07-31
Plan de fuga,https://www.palomitacas.com/pelicula/ficha/p436827,436827,6.0,6.0,30 de julio - 2019,2019-07-30
Darc,https://www.palomitacas.com/pelicula/ficha/p521647,521647,5.0,5.0,29 de julio - 2019,2019-07-29
Memorias de un asesino internacional,https://www.palomitacas.com/pelicula/ficha/p339396,339396,5.0,5.0,29 de julio - 2019,2019-07-29
El Santo,https://www.palomitacas.com/pelicula/ficha/p463906,463906,5.0,5.0,28 de julio - 2019,2019-07-28
Small Town Crime,https://www.palomitacas.com/pelicula/ficha/p412000,412000,6.0,6.0,25 de julio - 2019,2019-07-25
Noche de venganza,https://www.palomitacas.com/pelicula/ficha/p324542,324542,5.0,5.0,24 de julio - 2019,2019-07-24
Gridlocked,https://www.palomitacas.com/pelicula/ficha/p356334,356334,4.0,4.0,23 de julio - 2019,2019-07-23
Kill Ratio,https://www.palomitacas.com/pelicula/ficha/p422972,422972,4.0,4.0,14 de julio - 2019,2019-07-14
Leal,https://www.palomitacas.com/pelicula/ficha/p540871,540871,6.0,6.0,11 de julio - 2019,2019-07-11
Los archivos del Pentágono,https://www.palomitacas.com/pelicula/ficha/p446354,446354,7.0,7.0,03 de julio - 2019,2019-07-03
The Cell,https://www.palomitacas.com/pelicula/ficha/p471513,471513,4.0,4.0,02 de julio - 2019,2019-07-02
Shaft,https://www.palomitacas.com/pelicula/ficha/p486131,486131,5.0,5.0,02 de julio - 2019,2019-07-02
Noche de lobos,https://www.palomitacas.com/pelicula/ficha/p395841,395841,5.0,5.0,28 de junio - 2019,2019-06-28
Falcon Rising,https://www.palomitacas.com/pelicula/ficha/p270938,270938,5.0,5.0,26 de junio - 2019,2019-06-26
Paskal,https://www.palomitacas.com/pelicula/ficha/p546230,546230,5.0,5.0,26 de junio - 2019,2019-06-26
Message from the King,https://www.palomitacas.com/pelicula/ficha/p301355,301355,6.0,6.0,25 de junio - 2019,2019-06-25
El Camino Largo,https://www.palomitacas.com/pelicula/ficha/p586347,586347,4.0,4.0,25 de junio - 2019,2019-06-25
El canto del lobo,https://www.palomitacas.com/pelicula/ficha/p484468,484468,6.0,6.0,20 de junio - 2019,2019-06-20
Polar,https://www.palomitacas.com/pelicula/ficha/p483906,483906,6.0,6.0,19 de junio - 2019,2019-06-19
Emboscada final,https://www.palomitacas.com/pelicula/ficha/p500682,500682,6.0,6.0,19 de junio - 2019,2019-06-19
Tu hijo,https://www.palomitacas.com/pelicula/ficha/p534939,534939,5.0,5.0,18 de junio - 2019,2019-06-18
Criminales en el mar,https://www.palomitacas.com/pelicula/ficha/p514999,514999,6.0,6.0,17 de junio - 2019,2019-06-17
El guardián invisible,https://www.palomitacas.com/pelicula/ficha/p392207,392207,6.0,6.0,15 de junio - 2019,2019-06-15
Baby driver,https://www.palomitacas.com/pelicula/ficha/p339403,339403,4.0,4.0,13 de junio - 2019,2019-06-13
I Am Mother,https://www.palomitacas.com/pelicula/ficha/p505948,505948,5.0,5.0,12 de junio - 2019,2019-06-12
El muñeco de nieve,https://www.palomitacas.com/pelicula/ficha/p372343,372343,6.0,6.0,12 de junio - 2019,2019-06-12
Contratiempo,https://www.palomitacas.com/pelicula/ficha/p411088,411088,7.0,7.0,11 de junio - 2019,2019-06-11
