title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Star Wars: El despertar de la fuerza,https://www.palomitacas.com/pelicula/ficha/p140607,140607,5.0,5.0,03 de enero - 2026,2026-01-03
Lo imposible,https://www.palomitacas.com/pelicula/ficha/p80278,80278,6.5,6.5,03 de enero - 2026,2026-01-03
Buried (Enterrado),https://www.palomitacas.com/pelicula/ficha/p26388,26388,7.5,7.5,03 de enero - 2026,2026-01-03
El gran Gatsby,https://www.palomitacas.com/pelicula/ficha/p64682,64682,5.0,5.0,03 de enero - 2026,2026-01-03
Infiltrados,https://www.palomitacas.com/pelicula/ficha/p1422,1422,7.5,7.5,03 de enero - 2026,2026-01-03
El truco final (El prestigio),https://www.palomitacas.com/pelicula/ficha/p1124,1124,7.5,7.5,03 de enero - 2026,2026-01-03
El hundimiento,https://www.palomitacas.com/pelicula/ficha/p613,613,7.5,7.5,03 de enero - 2026,2026-01-03
El gran hotel Budapest,https://www.palomitacas.com/pelicula/ficha/p120467,120467,6.0,6.0,03 de enero - 2026,2026-01-03
Perdida,https://www.palomitacas.com/pelicula/ficha/p210577,210577,7.0,7.0,03 de enero - 2026,2026-01-03
Birdman o (la inesperada virtud de la ignorancia),https://www.palomitacas.com/pelicula/ficha/p194662,194662,6.0,6.0,03 de enero - 2026,2026-01-03
El profesional (Léon),https://www.palomitacas.com/pelicula/ficha/p101,101,7.0,7.0,03 de enero - 2026,2026-01-03
El pianista,https://www.palomitacas.com/pelicula/ficha/p423,423,8.0,8.0,03 de enero - 2026,2026-01-03
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,5.0,5.0,30 de diciembre - 2025,2025-12-30
Love Actually,https://www.palomitacas.com/pelicula/ficha/p508,508,6.5,6.5,29 de diciembre - 2025,2025-12-29
Gremlins,https://www.palomitacas.com/pelicula/ficha/p927,927,7.0,7.0,29 de diciembre - 2025,2025-12-29
Plácido,https://www.palomitacas.com/pelicula/ficha/p51317,51317,7.0,7.0,27 de diciembre - 2025,2025-12-27
Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,8.0,8.0,25 de diciembre - 2025,2025-12-25
