title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
"Islandia, La Isla Recién Nacida",https://www.palomitacas.com/pelicula/ficha/p727327,727327,10.0,10.0,02 de enero - 2026,2026-01-02
"Neandertal, el primer artista de la humanidad",https://www.palomitacas.com/pelicula/ficha/p1206530,1206530,7.5,7.5,01 de enero - 2026,2026-01-01
Three Brothers,https://www.palomitacas.com/pelicula/ficha/p101582,101582,10.0,10.0,01 de enero - 2026,2026-01-01
Outpost,https://www.palomitacas.com/pelicula/ficha/p101543,101543,10.0,10.0,01 de enero - 2026,2026-01-01
Buckaroo Bugs,https://www.palomitacas.com/pelicula/ficha/p173747,173747,10.0,10.0,01 de enero - 2026,2026-01-01
Birdy and the Beast,https://www.palomitacas.com/pelicula/ficha/p188676,188676,10.0,10.0,01 de enero - 2026,2026-01-01
From Hand to Mouse,https://www.palomitacas.com/pelicula/ficha/p236945,236945,10.0,10.0,01 de enero - 2026,2026-01-01
Hare Force,https://www.palomitacas.com/pelicula/ficha/p100303,100303,10.0,10.0,01 de enero - 2026,2026-01-01
Censored,https://www.palomitacas.com/pelicula/ficha/p101393,101393,10.0,10.0,17 de diciembre - 2025,2025-12-17
La colada,https://www.palomitacas.com/pelicula/ficha/p1313315,1313315,7.0,7.0,07 de diciembre - 2025,2025-12-07
Jueves de Marzo,https://www.palomitacas.com/pelicula/ficha/p1368895,1368895,8.0,8.0,07 de diciembre - 2025,2025-12-07
The Flapper,https://www.palomitacas.com/pelicula/ficha/p32683,32683,6.0,6.0,07 de diciembre - 2025,2025-12-07
Pájaros,https://www.palomitacas.com/pelicula/ficha/p1130428,1130428,7.0,7.0,07 de diciembre - 2025,2025-12-07
Carta blanca,https://www.palomitacas.com/pelicula/ficha/p48988,48988,5.0,5.0,07 de diciembre - 2025,2025-12-07
Polar Pest,https://www.palomitacas.com/pelicula/ficha/p236919,236919,10.0,10.0,04 de diciembre - 2025,2025-12-04
Bear Raid Warden,https://www.palomitacas.com/pelicula/ficha/p236911,236911,10.0,10.0,04 de diciembre - 2025,2025-12-04
The Tree Surgeon,https://www.palomitacas.com/pelicula/ficha/p236922,236922,10.0,10.0,04 de diciembre - 2025,2025-12-04
Brother Brat,https://www.palomitacas.com/pelicula/ficha/p236938,236938,10.0,10.0,04 de diciembre - 2025,2025-12-04
El cosquilleo de la liebre,https://www.palomitacas.com/pelicula/ficha/p199045,199045,10.0,10.0,04 de diciembre - 2025,2025-12-04
Slightly Daffy,https://www.palomitacas.com/pelicula/ficha/p236907,236907,10.0,10.0,04 de diciembre - 2025,2025-12-04
El reloj,https://www.palomitacas.com/pelicula/ficha/p53491,53491,10.0,10.0,04 de diciembre - 2025,2025-12-04
Tiger Trouble,https://www.palomitacas.com/pelicula/ficha/p67694,67694,10.0,10.0,04 de diciembre - 2025,2025-12-04
El día libre de Donald,https://www.palomitacas.com/pelicula/ficha/p55407,55407,10.0,10.0,04 de diciembre - 2025,2025-12-04
First Aiders,https://www.palomitacas.com/pelicula/ficha/p68495,68495,10.0,10.0,04 de diciembre - 2025,2025-12-04
Goofy: Cómo jugar al fútbol americano,https://www.palomitacas.com/pelicula/ficha/p66984,66984,10.0,10.0,04 de diciembre - 2025,2025-12-04
El inventor del plástico,https://www.palomitacas.com/pelicula/ficha/p67598,67598,10.0,10.0,04 de diciembre - 2025,2025-12-04
Getting Mary Married,https://www.palomitacas.com/pelicula/ficha/p325954,325954,6.0,6.0,03 de diciembre - 2025,2025-12-03
Reaching for the Moon,https://www.palomitacas.com/pelicula/ficha/p226597,226597,6.0,6.0,03 de diciembre - 2025,2025-12-03
Down to Earth,https://www.palomitacas.com/pelicula/ficha/p335689,335689,6.0,6.0,03 de diciembre - 2025,2025-12-03
Wild and Woolly,https://www.palomitacas.com/pelicula/ficha/p135275,135275,6.0,6.0,03 de diciembre - 2025,2025-12-03
The Americano,https://www.palomitacas.com/pelicula/ficha/p298208,298208,6.0,6.0,02 de diciembre - 2025,2025-12-02
The Matrimaniac,https://www.palomitacas.com/pelicula/ficha/p172445,172445,6.0,6.0,02 de diciembre - 2025,2025-12-02
American Aristocracy,https://www.palomitacas.com/pelicula/ficha/p174590,174590,6.0,6.0,02 de diciembre - 2025,2025-12-02
The Social Secretary,https://www.palomitacas.com/pelicula/ficha/p221371,221371,6.0,6.0,01 de diciembre - 2025,2025-12-01
The Half-Breed,https://www.palomitacas.com/pelicula/ficha/p200324,200324,6.5,6.5,01 de diciembre - 2025,2025-12-01
The Mystery of the Leaping Fish,https://www.palomitacas.com/pelicula/ficha/p52035,52035,6.0,6.0,01 de diciembre - 2025,2025-12-01
The Habit of Happiness,https://www.palomitacas.com/pelicula/ficha/p334994,334994,5.5,5.5,01 de diciembre - 2025,2025-12-01
His Picture in the Papers,https://www.palomitacas.com/pelicula/ficha/p172443,172443,6.0,6.0,01 de diciembre - 2025,2025-12-01
The Telephone Girl and the Lady,https://www.palomitacas.com/pelicula/ficha/p192032,192032,6.0,6.0,01 de diciembre - 2025,2025-12-01
The New York Hat,https://www.palomitacas.com/pelicula/ficha/p128671,128671,6.0,6.0,01 de diciembre - 2025,2025-12-01
My Baby,https://www.palomitacas.com/pelicula/ficha/p491024,491024,6.0,6.0,01 de diciembre - 2025,2025-12-01
The Musketeers of Pig Alley,https://www.palomitacas.com/pelicula/ficha/p42553,42553,6.0,6.0,01 de diciembre - 2025,2025-12-01
The Love Expert,https://www.palomitacas.com/pelicula/ficha/p362483,362483,6.0,6.0,01 de diciembre - 2025,2025-12-01
Sherlock Holmes,https://www.palomitacas.com/pelicula/ficha/p342831,342831,6.0,6.0,30 de noviembre - 2025,2025-11-30
Young Mother Hubbard,https://www.palomitacas.com/pelicula/ficha/p471214,471214,6.0,6.0,30 de noviembre - 2025,2025-11-30
Camille,https://www.palomitacas.com/pelicula/ficha/p53431,53431,6.0,6.0,25 de noviembre - 2025,2025-11-25
Unseen Forces,https://www.palomitacas.com/pelicula/ficha/p316242,316242,7.0,7.0,25 de noviembre - 2025,2025-11-25
The Hoodlum,https://www.palomitacas.com/pelicula/ficha/p143277,143277,7.0,7.0,25 de noviembre - 2025,2025-11-25
A Romance of Happy Valley,https://www.palomitacas.com/pelicula/ficha/p165281,165281,6.0,6.0,25 de noviembre - 2025,2025-11-25
Mañana empieza todo,https://www.palomitacas.com/pelicula/ficha/p382591,382591,8.0,8.0,24 de noviembre - 2025,2025-11-24
Aguas oscuras,https://www.palomitacas.com/pelicula/ficha/p552178,552178,7.0,7.0,24 de noviembre - 2025,2025-11-24
El escándalo (Bombshell),https://www.palomitacas.com/pelicula/ficha/p525661,525661,6.5,6.5,23 de noviembre - 2025,2025-11-23
Hotel Transilvania,https://www.palomitacas.com/pelicula/ficha/p76492,76492,8.0,8.0,23 de noviembre - 2025,2025-11-23
El Pequeño Vampiro,https://www.palomitacas.com/pelicula/ficha/p442056,442056,8.0,8.0,23 de noviembre - 2025,2025-11-23
Mientras dure la guerra,https://www.palomitacas.com/pelicula/ficha/p542921,542921,8.0,8.0,23 de noviembre - 2025,2025-11-23
Hell-Bent for Election,https://www.palomitacas.com/pelicula/ficha/p83796,83796,10.0,10.0,20 de noviembre - 2025,2025-11-20
Take Heed Mr. Tojo,https://www.palomitacas.com/pelicula/ficha/p236693,236693,10.0,10.0,20 de noviembre - 2025,2025-11-20
Pass the Biscuits Mirandy!,https://www.palomitacas.com/pelicula/ficha/p220657,220657,10.0,10.0,20 de noviembre - 2025,2025-11-20
Tito's Guitar,https://www.palomitacas.com/pelicula/ficha/p1013747,1013747,10.0,10.0,20 de noviembre - 2025,2025-11-20
