title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Hit Man. Asesino por casualidad,https://www.palomitacas.com/pelicula/ficha/p974635,974635,5.5,5.5,28 de abril - 2025,2025-04-28
El Conde de Montecristo,https://www.palomitacas.com/pelicula/ficha/p1084736,1084736,5.5,5.5,28 de abril - 2025,2025-04-28
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,,,,
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,,,,
The Alto Knights,https://www.palomitacas.com/pelicula/ficha/p1013601,1013601,,,,
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,,,,
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,,,,
No te muevas,https://www.palomitacas.com/pelicula/ficha/p1063877,1063877,4.5,4.5,22 de abril - 2025,2025-04-22
Los Caballeros del Zodíaco,https://www.palomitacas.com/pelicula/ficha/p455476,455476,3.0,3.0,22 de abril - 2025,2025-04-22
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,4.5,4.5,22 de abril - 2025,2025-04-22
Mr. Wain,https://www.palomitacas.com/pelicula/ficha/p617762,617762,6.0,6.0,22 de abril - 2025,2025-04-22
Wolfs,https://www.palomitacas.com/pelicula/ficha/p877817,877817,7.0,7.0,22 de abril - 2025,2025-04-22
Aliados,https://www.palomitacas.com/pelicula/ficha/p369885,369885,6.0,6.0,22 de abril - 2025,2025-04-22
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,5.5,5.5,22 de abril - 2025,2025-04-22
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,6.5,6.5,22 de abril - 2025,2025-04-22
Barbarian,https://www.palomitacas.com/pelicula/ficha/p913290,913290,5.0,5.0,22 de abril - 2025,2025-04-22
El cuervo,https://www.palomitacas.com/pelicula/ficha/p957452,957452,4.0,4.0,22 de abril - 2025,2025-04-22
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,6.5,6.5,22 de abril - 2025,2025-04-22
La acompañante,https://www.palomitacas.com/pelicula/ficha/p1084199,1084199,6.0,6.0,22 de abril - 2025,2025-04-22
Peligro inminente,https://www.palomitacas.com/pelicula/ficha/p9331,9331,6.0,6.0,22 de abril - 2025,2025-04-22
Longlegs,https://www.palomitacas.com/pelicula/ficha/p1226578,1226578,6.0,6.0,22 de abril - 2025,2025-04-22
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,5.5,5.5,22 de abril - 2025,2025-04-22
Equipaje de mano,https://www.palomitacas.com/pelicula/ficha/p1005331,1005331,5.5,5.5,22 de abril - 2025,2025-04-22
Este amor sí que duele,https://www.palomitacas.com/pelicula/ficha/p1226406,1226406,4.5,4.5,22 de abril - 2025,2025-04-22
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,4.0,4.0,22 de abril - 2025,2025-04-22
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,4.5,4.5,22 de abril - 2025,2025-04-22
Heretic (Hereje),https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,6.0,6.0,22 de abril - 2025,2025-04-22
A Real Pain,https://www.palomitacas.com/pelicula/ficha/p1013850,1013850,,,,
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,7.0,7.0,10 de enero - 2025,2025-04-22
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,6.0,6.0,10 de enero - 2025,2025-04-22
Lo que hay dentro,https://www.palomitacas.com/pelicula/ficha/p1052280,1052280,6.0,6.0,08 de enero - 2025,2025-01-08
Jackpot!,https://www.palomitacas.com/pelicula/ficha/p1094138,1094138,4.0,4.0,08 de enero - 2025,2025-01-08
El hoyo 2,https://www.palomitacas.com/pelicula/ficha/p1125510,1125510,4.0,4.0,08 de enero - 2025,2025-01-08
Los últimos caballeros,https://www.palomitacas.com/pelicula/ficha/p308504,308504,5.0,5.0,08 de enero - 2025,2025-01-08
Elevation,https://www.palomitacas.com/pelicula/ficha/p1035048,1035048,5.5,5.5,08 de enero - 2025,2025-01-08
La tierra prometida,https://www.palomitacas.com/pelicula/ficha/p980026,980026,7.0,7.0,08 de enero - 2025,2025-01-08
Anatomía de una caída,https://www.palomitacas.com/pelicula/ficha/p915935,915935,5.5,5.5,08 de enero - 2025,2025-01-08
Muerte en el Nilo,https://www.palomitacas.com/pelicula/ficha/p4192,4192,7.0,7.0,08 de enero - 2025,2025-01-08
Incendies,https://www.palomitacas.com/pelicula/ficha/p46738,46738,8.0,8.0,08 de enero - 2025,2025-01-08
El maestro que prometió el mar,https://www.palomitacas.com/pelicula/ficha/p1024541,1024541,8.0,8.0,08 de enero - 2025,2025-01-08
El cazador de recompensas,https://www.palomitacas.com/pelicula/ficha/p843380,843380,4.0,4.0,08 de enero - 2025,2025-01-08
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,6.0,6.0,13 de noviembre - 2024,2024-11-13
El reino del planeta de los simios,https://www.palomitacas.com/pelicula/ficha/p653346,653346,,,,
Smile 2,https://www.palomitacas.com/pelicula/ficha/p1100782,1100782,5.0,5.0,13 de noviembre - 2024,2025-01-08
Project Silence,https://www.palomitacas.com/pelicula/ficha/p726139,726139,,,,
Arcadian,https://www.palomitacas.com/pelicula/ficha/p1051896,1051896,,,,
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,4.0,4.0,13 de noviembre - 2024,2025-04-22
Transformers One,https://www.palomitacas.com/pelicula/ficha/p698687,698687,,,,
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,,,,
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,6.0,6.0,13 de noviembre - 2024,2025-04-22
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,6.0,6.0,13 de noviembre - 2024,2025-01-08
Borderlands,https://www.palomitacas.com/pelicula/ficha/p365177,365177,4.0,4.0,13 de noviembre - 2024,2025-01-08
Joker: Folie à Deux,https://www.palomitacas.com/pelicula/ficha/p889737,889737,,,,
Gru 4. Mi villano favorito,https://www.palomitacas.com/pelicula/ficha/p519182,519182,,,,
Jurado Nº 2,https://www.palomitacas.com/pelicula/ficha/p1106739,1106739,7.0,7.0,13 de noviembre - 2024,2025-04-22
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,6.5,6.5,07 de noviembre - 2024,2024-11-07
Apocalipsis Z: El principio del fin,https://www.palomitacas.com/pelicula/ficha/p1118031,1118031,6.0,6.0,07 de noviembre - 2024,2024-11-07
Bitelchús Bitelchús,https://www.palomitacas.com/pelicula/ficha/p917496,917496,6.5,6.5,07 de noviembre - 2024,2024-11-07
Speak No Evil,https://www.palomitacas.com/pelicula/ficha/p833339,833339,7.0,7.0,07 de noviembre - 2024,2024-11-07
No hables con extraños,https://www.palomitacas.com/pelicula/ficha/p1114513,1114513,6.0,6.0,07 de noviembre - 2024,2024-11-07
La trampa,https://www.palomitacas.com/pelicula/ficha/p1032823,1032823,5.5,5.5,07 de noviembre - 2024,2024-11-07
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,7.0,7.0,07 de noviembre - 2024,2024-11-07
Parpadea dos veces,https://www.palomitacas.com/pelicula/ficha/p840705,840705,5.5,5.5,07 de noviembre - 2024,2024-11-07
Deadpool y Lobezno,https://www.palomitacas.com/pelicula/ficha/p533535,533535,7.5,7.5,07 de noviembre - 2024,2024-11-07
Sala de profesores,https://www.palomitacas.com/pelicula/ficha/p998022,998022,5.5,5.5,07 de noviembre - 2024,2024-11-07
Godzilla y Kong: El nuevo imperio,https://www.palomitacas.com/pelicula/ficha/p823464,823464,4.5,4.5,07 de noviembre - 2024,2024-11-07
Los que se quedan,https://www.palomitacas.com/pelicula/ficha/p840430,840430,7.5,7.5,07 de noviembre - 2024,2024-11-07
Los tres mosqueteros: D'Artagnan,https://www.palomitacas.com/pelicula/ficha/p796185,796185,6.5,6.5,07 de noviembre - 2024,2024-11-07
Downton Abbey: Una nueva era,https://www.palomitacas.com/pelicula/ficha/p820446,820446,5.0,5.0,07 de noviembre - 2024,2024-11-07
Arthur,https://www.palomitacas.com/pelicula/ficha/p618588,618588,3.0,3.0,07 de noviembre - 2024,2024-11-07
Secretos de un escándalo,https://www.palomitacas.com/pelicula/ficha/p839369,839369,4.5,4.5,07 de noviembre - 2024,2024-11-07
Mula,https://www.palomitacas.com/pelicula/ficha/p504172,504172,7.0,7.0,07 de noviembre - 2024,2024-11-07
La chica salvaje,https://www.palomitacas.com/pelicula/ficha/p682507,682507,5.0,5.0,07 de noviembre - 2024,2024-11-07
Promesas en París,https://www.palomitacas.com/pelicula/ficha/p786918,786918,6.0,6.0,07 de noviembre - 2024,2024-11-07
El ministerio de la Guerra Sucia,https://www.palomitacas.com/pelicula/ficha/p799583,799583,7.0,7.0,07 de noviembre - 2024,2024-11-07
Desaparecido,https://www.palomitacas.com/pelicula/ficha/p15600,15600,7.5,7.5,07 de noviembre - 2024,2024-11-07
The Nest,https://www.palomitacas.com/pelicula/ficha/p545237,545237,5.0,5.0,07 de noviembre - 2024,2024-11-07
El arma del engaño,https://www.palomitacas.com/pelicula/ficha/p661231,661231,7.5,7.5,07 de noviembre - 2024,2024-11-07
Operation Mincemeat,https://www.palomitacas.com/pelicula/ficha/p447693,447693,,,,
Shine. El resplandor de un genio,https://www.palomitacas.com/pelicula/ficha/p7863,7863,7.0,7.0,07 de noviembre - 2024,2024-11-07
Dicen por ahí...,https://www.palomitacas.com/pelicula/ficha/p2800,2800,4.5,4.5,07 de noviembre - 2024,2024-11-07
Asteroid City,https://www.palomitacas.com/pelicula/ficha/p747188,747188,5.5,5.5,07 de noviembre - 2024,2024-11-07
Dreamland,https://www.palomitacas.com/pelicula/ficha/p480434,480434,5.0,5.0,07 de noviembre - 2024,2024-11-07
Código 8 (Parte 2),https://www.palomitacas.com/pelicula/ficha/p932420,932420,4.5,4.5,30 de julio - 2024,2024-07-30
En las profundidades del Sena,https://www.palomitacas.com/pelicula/ficha/p1001311,1001311,4.0,4.0,30 de julio - 2024,2024-07-30
Argylle,https://www.palomitacas.com/pelicula/ficha/p848538,848538,5.0,5.0,30 de julio - 2024,2024-07-30
Madame Web,https://www.palomitacas.com/pelicula/ficha/p634492,634492,5.0,5.0,30 de julio - 2024,2024-07-30
Gran Turismo,https://www.palomitacas.com/pelicula/ficha/p980489,980489,4.5,4.5,30 de julio - 2024,2024-07-30
Conspiración Wander,https://www.palomitacas.com/pelicula/ficha/p646593,646593,4.0,4.0,30 de julio - 2024,2024-07-30
Los Fabelman,https://www.palomitacas.com/pelicula/ficha/p804095,804095,7.0,7.0,30 de julio - 2024,2024-07-30
Muere otra vez,https://www.palomitacas.com/pelicula/ficha/p513310,513310,6.0,6.0,30 de julio - 2024,2024-07-30
Un espíritu burlón,https://www.palomitacas.com/pelicula/ficha/p644831,644831,5.0,5.0,30 de julio - 2024,2024-07-30
Siete reyes deben morir,https://www.palomitacas.com/pelicula/ficha/p948713,948713,,,,
Los asesinos de la luna,https://www.palomitacas.com/pelicula/ficha/p466420,466420,,,,
Beekeeper: El protector,https://www.palomitacas.com/pelicula/ficha/p866398,866398,,,,
Abigail,https://www.palomitacas.com/pelicula/ficha/p1111873,1111873,6.0,6.0,25 de abril - 2024,2025-04-22
La primera profecía,https://www.palomitacas.com/pelicula/ficha/p437342,437342,,,,
Rebel Moon (Parte uno): La niña del fuego,https://www.palomitacas.com/pelicula/ficha/p848326,848326,5.0,5.0,25 de abril - 2024,2024-07-30
Civil War,https://www.palomitacas.com/pelicula/ficha/p929590,929590,6.0,6.0,25 de abril - 2024,2024-11-07
Rebel Moon (Parte dos): La guerrera que deja marcas,https://www.palomitacas.com/pelicula/ficha/p934632,934632,4.5,4.5,25 de abril - 2024,2024-07-30
Cazafantasmas: Imperio helado,https://www.palomitacas.com/pelicula/ficha/p967847,967847,,,,
