title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,04 de enero - 2026,2026-01-04
"Good bye, Lenin!",https://www.palomitacas.com/pelicula/ficha/p338,338,7.0,7.0,31 de diciembre - 2025,2025-12-31
Posesión infernal (Evil Dead),https://www.palomitacas.com/pelicula/ficha/p109428,109428,6.5,6.5,30 de diciembre - 2025,2025-12-30
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,5.0,5.0,22 de diciembre - 2025,2025-12-22
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,6.0,6.0,18 de diciembre - 2025,2025-12-18
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,7.0,7.0,17 de diciembre - 2025,2025-12-17
Sisu: Camino a la vengaza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.0,7.0,14 de diciembre - 2025,2025-12-14
Five Nights at Freddy's,https://www.palomitacas.com/pelicula/ficha/p507089,507089,3.0,3.0,10 de diciembre - 2025,2025-12-10
Billy Elliot (Quiero bailar),https://www.palomitacas.com/pelicula/ficha/p71,71,7.5,7.5,06 de diciembre - 2025,2025-12-06
Full Monty,https://www.palomitacas.com/pelicula/ficha/p9427,9427,7.0,7.0,06 de diciembre - 2025,2025-12-06
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,30 de noviembre - 2025,2025-11-30
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,5.0,5.0,29 de noviembre - 2025,2025-11-29
Annie Hall,https://www.palomitacas.com/pelicula/ficha/p703,703,8.0,8.0,26 de noviembre - 2025,2025-11-26
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.0,7.0,20 de noviembre - 2025,2025-11-20
Blade,https://www.palomitacas.com/pelicula/ficha/p36647,36647,8.0,8.0,20 de noviembre - 2025,2025-11-20
Azumi,https://www.palomitacas.com/pelicula/ficha/p5889,5889,6.5,6.5,16 de noviembre - 2025,2025-11-16
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,3.0,3.0,10 de noviembre - 2025,2025-11-10
Primitive War,https://www.palomitacas.com/pelicula/ficha/p1257009,1257009,5.0,5.0,27 de octubre - 2025,2025-10-27
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,5.0,5.0,26 de octubre - 2025,2025-10-26
Insidious,https://www.palomitacas.com/pelicula/ficha/p49018,49018,6.0,6.0,26 de octubre - 2025,2025-10-26
Annabelle,https://www.palomitacas.com/pelicula/ficha/p250546,250546,5.0,5.0,26 de octubre - 2025,2025-10-26
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,6.5,6.5,04 de octubre - 2025,2025-10-04
Magical Girl,https://www.palomitacas.com/pelicula/ficha/p282983,282983,7.0,7.0,24 de septiembre - 2025,2025-09-24
Anomalisa,https://www.palomitacas.com/pelicula/ficha/p291270,291270,7.5,7.5,24 de septiembre - 2025,2025-09-24
Human Nature,https://www.palomitacas.com/pelicula/ficha/p441,441,5.5,5.5,21 de septiembre - 2025,2025-09-21
Peligro en Bangkok,https://www.palomitacas.com/pelicula/ficha/p13184,13184,5.0,5.0,21 de septiembre - 2025,2025-09-21
Contacto sangriento,https://www.palomitacas.com/pelicula/ficha/p11690,11690,6.0,6.0,17 de septiembre - 2025,2025-09-17
Confesiones de una mente peligrosa,https://www.palomitacas.com/pelicula/ficha/p4912,4912,6.0,6.0,15 de septiembre - 2025,2025-09-15
Adaptation. El ladrón de orquídeas,https://www.palomitacas.com/pelicula/ficha/p2757,2757,7.5,7.5,15 de septiembre - 2025,2025-09-15
El congreso,https://www.palomitacas.com/pelicula/ficha/p152795,152795,7.5,7.5,07 de septiembre - 2025,2025-09-07
El gran silencio,https://www.palomitacas.com/pelicula/ficha/p9028,9028,7.5,7.5,27 de agosto - 2025,2025-08-27
Django,https://www.palomitacas.com/pelicula/ficha/p10772,10772,7.5,7.5,27 de agosto - 2025,2025-08-27
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.5,6.5,27 de agosto - 2025,2025-08-27
Sirāt,https://www.palomitacas.com/pelicula/ficha/p1151272,1151272,7.0,7.0,27 de agosto - 2025,2025-08-27
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,7.0,7.0,27 de agosto - 2025,2025-08-27
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.5,7.5,17 de agosto - 2025,2025-08-17
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.0,7.0,08 de agosto - 2025,2025-08-08
Street Fighter: La última batalla,https://www.palomitacas.com/pelicula/ficha/p11667,11667,2.0,2.0,05 de agosto - 2025,2025-08-05
City of Angels,https://www.palomitacas.com/pelicula/ficha/p795,795,6.0,6.0,01 de agosto - 2025,2025-08-01
Más allá de los sueños,https://www.palomitacas.com/pelicula/ficha/p12159,12159,6.5,6.5,01 de agosto - 2025,2025-08-01
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,7.5,7.5,29 de julio - 2025,2025-07-29
La tapadera,https://www.palomitacas.com/pelicula/ficha/p37233,37233,6.0,6.0,29 de julio - 2025,2025-07-29
Entrevista con el vampiro,https://www.palomitacas.com/pelicula/ficha/p628,628,7.5,7.5,29 de julio - 2025,2025-07-29
Las aventuras de Tintín: El secreto del unicornio,https://www.palomitacas.com/pelicula/ficha/p17578,17578,7.5,7.5,27 de julio - 2025,2025-07-27
El hombre que mató a Don Quijote,https://www.palomitacas.com/pelicula/ficha/p297725,297725,4.0,4.0,25 de julio - 2025,2025-07-25
El luchador,https://www.palomitacas.com/pelicula/ficha/p12163,12163,8.0,8.0,20 de julio - 2025,2025-07-20
Venus,https://www.palomitacas.com/pelicula/ficha/p931954,931954,5.0,5.0,20 de julio - 2025,2025-07-20
Big Bad Wolves,https://www.palomitacas.com/pelicula/ficha/p171540,171540,7.0,7.0,16 de julio - 2025,2025-07-16
Martyrs,https://www.palomitacas.com/pelicula/ficha/p9539,9539,6.5,6.5,16 de julio - 2025,2025-07-16
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,5.0,5.0,16 de julio - 2025,2025-07-16
La habitación de al lado,https://www.palomitacas.com/pelicula/ficha/p1088514,1088514,3.0,3.0,10 de julio - 2025,2025-07-10
Tarde para la ira,https://www.palomitacas.com/pelicula/ficha/p411638,411638,6.5,6.5,05 de julio - 2025,2025-07-05
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,6.0,6.0,03 de julio - 2025,2025-07-03
Ojos de serpiente,https://www.palomitacas.com/pelicula/ficha/p8688,8688,6.0,6.0,24 de junio - 2025,2025-06-24
xXx,https://www.palomitacas.com/pelicula/ficha/p7451,7451,5.0,5.0,24 de junio - 2025,2025-06-24
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,4.0,4.0,20 de junio - 2025,2025-06-20
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.5,6.5,15 de junio - 2025,2025-06-15
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,7.0,7.0,15 de junio - 2025,2025-06-15
Superman,https://www.palomitacas.com/pelicula/ficha/p1924,1924,6.5,6.5,28 de mayo - 2025,2025-05-28
Warfare. Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,7.0,7.0,25 de mayo - 2025,2025-05-25
Una tarde en el circo,https://www.palomitacas.com/pelicula/ficha/p22553,22553,6.0,6.0,25 de mayo - 2025,2025-05-25
Los impostores,https://www.palomitacas.com/pelicula/ficha/p7270,7270,7.0,7.0,20 de mayo - 2025,2025-05-20
Alejandro Magno,https://www.palomitacas.com/pelicula/ficha/p1966,1966,4.0,4.0,20 de mayo - 2025,2025-05-20
Cara a cara,https://www.palomitacas.com/pelicula/ficha/p754,754,7.0,7.0,20 de mayo - 2025,2025-05-20
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,7.5,7.5,15 de mayo - 2025,2025-05-15
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,7.0,7.0,09 de mayo - 2025,2025-05-09
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.5,8.5,09 de mayo - 2025,2025-05-09
Juego de Ladrones 2: Pantera,https://www.palomitacas.com/pelicula/ficha/p604685,604685,6.0,6.0,06 de mayo - 2025,2025-05-06
2012,https://www.palomitacas.com/pelicula/ficha/p14161,14161,4.0,4.0,29 de abril - 2025,2025-04-29
El show de Truman,https://www.palomitacas.com/pelicula/ficha/p37165,37165,9.0,9.0,29 de abril - 2025,2025-04-29
Por un puñado de dólares,https://www.palomitacas.com/pelicula/ficha/p391,391,8.0,8.0,26 de abril - 2025,2025-04-26
O Brother!,https://www.palomitacas.com/pelicula/ficha/p134,134,7.0,7.0,26 de abril - 2025,2025-04-26
Jackie Brown,https://www.palomitacas.com/pelicula/ficha/p184,184,7.5,7.5,20 de abril - 2025,2025-04-20
El club de los poetas muertos,https://www.palomitacas.com/pelicula/ficha/p207,207,9.0,9.0,20 de abril - 2025,2025-04-20
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,6.5,6.5,18 de abril - 2025,2025-04-18
Robin Hood,https://www.palomitacas.com/pelicula/ficha/p20662,20662,5.5,5.5,15 de abril - 2025,2025-04-15
Troya,https://www.palomitacas.com/pelicula/ficha/p652,652,8.0,8.0,15 de abril - 2025,2025-04-15
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,6.0,6.0,06 de abril - 2025,2025-04-06
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,5.0,5.0,06 de abril - 2025,2025-04-06
La estrella azul,https://www.palomitacas.com/pelicula/ficha/p1160878,1160878,7.0,7.0,06 de abril - 2025,2025-04-06
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,6.0,6.0,02 de abril - 2025,2025-04-02
