title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Jason Bourne,https://www.palomitacas.com/pelicula/ficha/p324668,324668,6.5,6.5,09 de enero - 2023,2023-01-09
Wonder,https://www.palomitacas.com/pelicula/ficha/p406997,406997,8.0,8.0,09 de enero - 2023,2023-01-09
Ricos y mimados,https://www.palomitacas.com/pelicula/ficha/p671043,671043,5.0,5.0,09 de enero - 2023,2023-01-09
Turno de día,https://www.palomitacas.com/pelicula/ficha/p755566,755566,5.5,5.5,09 de enero - 2023,2023-01-09
El agente invisible,https://www.palomitacas.com/pelicula/ficha/p725201,725201,5.5,5.5,09 de enero - 2023,2023-01-09
La familia perfecta,https://www.palomitacas.com/pelicula/ficha/p826241,826241,5.0,5.0,30 de junio - 2022,2022-06-30
Garra,https://www.palomitacas.com/pelicula/ficha/p705861,705861,6.5,6.5,30 de junio - 2022,2022-06-30
Friends: El Reencuentro,https://www.palomitacas.com/pelicula/ficha/p691179,691179,9.0,9.0,30 de junio - 2022,2022-06-30
Incompatibles 2,https://www.palomitacas.com/pelicula/ficha/p785985,785985,6.0,6.0,30 de junio - 2022,2022-06-30
El lado siniestro de la Luna,https://www.palomitacas.com/pelicula/ficha/p530382,530382,6.0,6.0,30 de junio - 2022,2022-06-30
La batalla olvidada,https://www.palomitacas.com/pelicula/ficha/p633515,633515,6.0,6.0,30 de junio - 2022,2022-06-30
El paquete,https://www.palomitacas.com/pelicula/ficha/p503619,503619,5.0,5.0,30 de junio - 2022,2022-06-30
El Halloween de Hubie,https://www.palomitacas.com/pelicula/ficha/p617505,617505,5.0,5.0,30 de junio - 2022,2022-06-30
El final de todo,https://www.palomitacas.com/pelicula/ficha/p475210,475210,5.0,5.0,30 de junio - 2022,2022-06-30
El mundo de los perdidos,https://www.palomitacas.com/pelicula/ficha/p18162,18162,5.5,5.5,30 de junio - 2022,2022-06-30
El Proyecto Adam,https://www.palomitacas.com/pelicula/ficha/p696806,696806,6.5,6.5,30 de junio - 2022,2022-06-30
Ejército de los ladrones,https://www.palomitacas.com/pelicula/ficha/p796499,796499,6.0,6.0,30 de junio - 2022,2022-06-30
El irlandés,https://www.palomitacas.com/pelicula/ficha/p398978,398978,7.0,7.0,30 de junio - 2022,2022-06-30
Desmadre de padre,https://www.palomitacas.com/pelicula/ficha/p87428,87428,5.5,5.5,30 de junio - 2022,2022-06-30
No mires arriba,https://www.palomitacas.com/pelicula/ficha/p646380,646380,7.0,7.0,30 de junio - 2022,2022-06-30
White Boy Rick,https://www.palomitacas.com/pelicula/ficha/p438808,438808,5.0,5.0,19 de agosto - 2020,2020-08-18
La pequeña Suiza,https://www.palomitacas.com/pelicula/ficha/p574374,574374,4.5,4.5,19 de agosto - 2020,2020-08-17
Nosotros,https://www.palomitacas.com/pelicula/ficha/p458723,458723,5.5,5.5,19 de agosto - 2020,2020-08-16
Mula,https://www.palomitacas.com/pelicula/ficha/p504172,504172,7.0,7.0,19 de agosto - 2020,2020-08-15
"Mirai, mi hermana pequeña",https://www.palomitacas.com/pelicula/ficha/p475215,475215,6.0,6.0,19 de agosto - 2020,2020-08-13
Mia y el león blanco,https://www.palomitacas.com/pelicula/ficha/p498248,498248,7.0,7.0,19 de agosto - 2020,2020-08-12
