title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.5,6.5,03 de enero - 2026,2026-01-03
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,,,,
El encanto del champán,https://www.palomitacas.com/pelicula/ficha/p1323475,1323475,6.5,6.5,21 de diciembre - 2025,2025-12-21
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,7.5,7.5,23 de noviembre - 2025,2025-11-23
Downton Abbey: El gran final,https://www.palomitacas.com/pelicula/ficha/p1289936,1289936,8.5,8.5,16 de noviembre - 2025,2025-11-16
El otro París,https://www.palomitacas.com/pelicula/ficha/p1321439,1321439,6.0,6.0,08 de noviembre - 2025,2025-11-08
Sting. Araña asesina,https://www.palomitacas.com/pelicula/ficha/p1087388,1087388,3.0,3.0,12 de octubre - 2025,2025-10-12
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,6.5,6.5,12 de octubre - 2025,2025-10-12
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,7.0,7.0,12 de octubre - 2025,2025-10-12
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.5,7.5,12 de octubre - 2025,2025-10-12
La calle del terror: La reina del baile,https://www.palomitacas.com/pelicula/ficha/p1001414,1001414,1.0,1.0,10 de junio - 2025,2025-06-10
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,7.5,7.5,01 de junio - 2025,2025-06-10
Tierra Baja,https://www.palomitacas.com/pelicula/ficha/p1391483,1391483,5.0,5.0,01 de junio - 2025,2025-06-01
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,6.0,6.0,01 de junio - 2025,2025-06-10
La mujer de negro,https://www.palomitacas.com/pelicula/ficha/p65086,65086,5.0,5.0,25 de mayo - 2025,2025-05-25
Cónclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,7.5,7.5,04 de mayo - 2025,2025-05-04
Código abierto,https://www.palomitacas.com/pelicula/ficha/p291276,291276,6.5,6.5,12 de abril - 2025,2025-04-12
Wolfgang (Extraordinario),https://www.palomitacas.com/pelicula/ficha/p1306284,1306284,,,,
Wicked,https://www.palomitacas.com/pelicula/ficha/p402431,402431,,,,
Vaiana 2,https://www.palomitacas.com/pelicula/ficha/p1241982,1241982,,,,
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,,,,
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,5.5,5.5,24 de enero - 2025,2025-01-24
Un mensaje antes de Navidad,https://www.palomitacas.com/pelicula/ficha/p1100642,1100642,6.0,6.0,22 de diciembre - 2024,2024-12-22
Navidad a todo color,https://www.palomitacas.com/pelicula/ficha/p1028561,1028561,5.0,5.0,08 de diciembre - 2024,2024-12-08
Swing Into Romance,https://www.palomitacas.com/pelicula/ficha/p1104102,1104102,5.5,5.5,08 de diciembre - 2024,2024-12-08
Romance Real en Navidad,https://www.palomitacas.com/pelicula/ficha/p1132366,1132366,6.5,6.5,08 de diciembre - 2024,2024-12-08
Expediente Warren: obligado por el demonio,https://www.palomitacas.com/pelicula/ficha/p423108,423108,6.5,6.5,03 de diciembre - 2024,2025-10-12
Expediente Warren: el caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,7.0,7.0,03 de diciembre - 2024,2024-12-03
Expediente Warren: The Conjuring,https://www.palomitacas.com/pelicula/ficha/p138843,138843,7.0,7.0,03 de diciembre - 2024,2024-12-03
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,,,,
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,7.5,7.5,18 de noviembre - 2024,2024-12-05
Nos vemos la próxima Navidad,https://www.palomitacas.com/pelicula/ficha/p1104171,1104171,,,,
Lo que la verdad esconde,https://www.palomitacas.com/pelicula/ficha/p2655,2655,6.0,6.0,02 de noviembre - 2024,2024-11-02
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,8.5,8.5,27 de octubre - 2024,2024-10-27
Código Banshee,https://www.palomitacas.com/pelicula/ficha/p916719,916719,5.0,5.0,19 de octubre - 2024,2024-10-19
Luz Negra,https://www.palomitacas.com/pelicula/ficha/p823625,823625,5.5,5.5,13 de septiembre - 2024,2024-09-13
Realmente felices para siempre,https://www.palomitacas.com/pelicula/ficha/p520409,520409,6.0,6.0,08 de septiembre - 2024,2024-09-08
Amor perruno,https://www.palomitacas.com/pelicula/ficha/p1143319,1143319,6.0,6.0,08 de septiembre - 2024,2024-09-08
Infiltrada en la NASA,https://www.palomitacas.com/pelicula/ficha/p1019411,1019411,5.0,5.0,08 de septiembre - 2024,2024-09-08
Eres tú,https://www.palomitacas.com/pelicula/ficha/p818648,818648,,,,
La chica salvaje,https://www.palomitacas.com/pelicula/ficha/p682507,682507,8.0,8.0,07 de septiembre - 2024,2024-09-07
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,7.5,7.5,09 de agosto - 2024,2024-08-09
Un asunto familiar,https://www.palomitacas.com/pelicula/ficha/p987686,987686,6.0,6.0,07 de julio - 2024,2024-07-07
La última dama de honor,https://www.palomitacas.com/pelicula/ficha/p603452,603452,6.0,6.0,30 de junio - 2024,2024-06-30
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,7.5,7.5,24 de junio - 2024,2024-07-09
La madre de la novia,https://www.palomitacas.com/pelicula/ficha/p1093231,1093231,6.5,6.5,16 de junio - 2024,2024-06-16
Un deseo irlandés,https://www.palomitacas.com/pelicula/ficha/p1019420,1019420,6.0,6.0,16 de junio - 2024,2024-06-16
Back to Black,https://www.palomitacas.com/pelicula/ficha/p998846,998846,6.5,6.5,16 de junio - 2024,2024-06-16
La conspiración del pánico,https://www.palomitacas.com/pelicula/ficha/p13027,13027,7.0,7.0,09 de junio - 2024,2024-06-09
La jungla 4.0,https://www.palomitacas.com/pelicula/ficha/p1571,1571,6.0,6.0,01 de junio - 2024,2024-06-01
La fierecilla indomable,https://www.palomitacas.com/pelicula/ficha/p953233,953233,5.0,5.0,29 de mayo - 2024,2024-05-29
La fierecilla indomable 2,https://www.palomitacas.com/pelicula/ficha/p1211066,1211066,5.0,5.0,29 de mayo - 2024,2024-05-29
Dune: Part Three,https://www.palomitacas.com/pelicula/ficha/p1170608,1170608,,,,
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,8.0,8.0,14 de mayo - 2024,2024-05-21
Luna sin miel,https://www.palomitacas.com/pelicula/ficha/p1257750,1257750,,,,
Rivales,https://www.palomitacas.com/pelicula/ficha/p937287,937287,,,,
El secreto de los hermanos Grimm,https://www.palomitacas.com/pelicula/ficha/p4442,4442,7.0,7.0,28 de abril - 2024,2024-04-28
Hércules: El origen de la leyenda,https://www.palomitacas.com/pelicula/ficha/p188207,188207,6.5,6.5,28 de abril - 2024,2024-04-28
Rebel Moon (Parte dos): La guerrera que deja marcas,https://www.palomitacas.com/pelicula/ficha/p934632,934632,,,,
Atlas,https://www.palomitacas.com/pelicula/ficha/p614933,614933,5.5,5.5,24 de abril - 2024,2024-06-16
El libro del amor,https://www.palomitacas.com/pelicula/ficha/p892835,892835,,,,
Cómo conquistar a Billy Walsh,https://www.palomitacas.com/pelicula/ficha/p1017633,1017633,,,,
Hit Man: Asesino por casualidad,https://www.palomitacas.com/pelicula/ficha/p974635,974635,,,,
Civil War,https://www.palomitacas.com/pelicula/ficha/p929590,929590,,,,
La gran exclusiva,https://www.palomitacas.com/pelicula/ficha/p1083658,1083658,,,,
Toy Story 4,https://www.palomitacas.com/pelicula/ficha/p301528,301528,8.0,8.0,18 de abril - 2024,2024-04-18
Klaus,https://www.palomitacas.com/pelicula/ficha/p508965,508965,,,,
Wish: El poder de los deseos,https://www.palomitacas.com/pelicula/ficha/p1022796,1022796,,,,
El Protector: Renacer,https://www.palomitacas.com/pelicula/ficha/p923597,923597,,,,
Rescate millonario,https://www.palomitacas.com/pelicula/ficha/p270007,270007,6.0,6.0,16 de abril - 2024,2025-04-12
Pared con pared,https://www.palomitacas.com/pelicula/ficha/p1005681,1005681,6.0,6.0,15 de abril - 2024,2024-04-15
Fabricante de lágrimas,https://www.palomitacas.com/pelicula/ficha/p1127166,1127166,7.0,7.0,15 de abril - 2024,2024-04-15
Anna Karenina,https://www.palomitacas.com/pelicula/ficha/p96724,96724,,,,
Y nadie más que tú,https://www.palomitacas.com/pelicula/ficha/p450489,450489,8.0,8.0,07 de abril - 2024,2024-04-07
Nada más que eso,https://www.palomitacas.com/pelicula/ficha/p1257130,1257130,6.0,6.0,07 de abril - 2024,2024-04-07
Música,https://www.palomitacas.com/pelicula/ficha/p968441,968441,5.5,5.5,05 de abril - 2024,2024-04-05
A ciegas,https://www.palomitacas.com/pelicula/ficha/p405774,405774,8.0,8.0,03 de abril - 2024,2024-04-16
Midnight Special,https://www.palomitacas.com/pelicula/ficha/p245703,245703,7.0,7.0,03 de abril - 2024,2024-04-03
El lago azul: El despertar,https://www.palomitacas.com/pelicula/ficha/p115290,115290,5.0,5.0,03 de abril - 2024,2024-04-03
Meghan y Harry: Un Enlace Real,https://www.palomitacas.com/pelicula/ficha/p602231,602231,6.5,6.5,03 de abril - 2024,2024-04-03
"Sí, Dios mío, sí",https://www.palomitacas.com/pelicula/ficha/p527660,527660,5.0,5.0,02 de abril - 2024,2024-04-02
La ola,https://www.palomitacas.com/pelicula/ficha/p336882,336882,6.0,6.0,02 de abril - 2024,2024-04-02
Retribution,https://www.palomitacas.com/pelicula/ficha/p762430,762430,,,,
Le salaire de la peur,https://www.palomitacas.com/pelicula/ficha/p984324,984324,,,,
Amor en el menú,https://www.palomitacas.com/pelicula/ficha/p577736,577736,6.5,6.5,31 de marzo - 2024,2024-03-31
Buscando un final feliz,https://www.palomitacas.com/pelicula/ficha/p203321,203321,7.5,7.5,30 de marzo - 2024,2024-03-30
La familia que tú eliges,https://www.palomitacas.com/pelicula/ficha/p463257,463257,,,,
El club secreto de los no herederos al trono,https://www.palomitacas.com/pelicula/ficha/p621870,621870,5.0,5.0,29 de marzo - 2024,2024-03-30
El becario,https://www.palomitacas.com/pelicula/ficha/p257211,257211,7.5,7.5,29 de marzo - 2024,2024-03-29
Road House (De profesión: duro),https://www.palomitacas.com/pelicula/ficha/p359410,359410,,,,
Aguas profundas,https://www.palomitacas.com/pelicula/ficha/p619979,619979,,,,
Tulip Fever,https://www.palomitacas.com/pelicula/ficha/p257785,257785,,,,
Invencible (Unbroken),https://www.palomitacas.com/pelicula/ficha/p227306,227306,,,,
En busca del hombre ideal,https://www.palomitacas.com/pelicula/ficha/p374614,374614,6.0,6.0,20 de marzo - 2024,2024-03-20
