title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Undead Unluck: Winter-hen,https://www.palomitacas.com/pelicula/ficha/p1605009,1605009,,,,
Dímelo bajito,https://www.palomitacas.com/pelicula/ficha/p1379963,1379963,5.5,5.5,04 de enero - 2026,2026-01-04
Blindado,https://www.palomitacas.com/pelicula/ficha/p1083968,1083968,,,,
Dos forajidos (Rust),https://www.palomitacas.com/pelicula/ficha/p710258,710258,,,,
Fight or Flight (Sicarios en el aire),https://www.palomitacas.com/pelicula/ficha/p1212855,1212855,,,,
Hombres de guerra,https://www.palomitacas.com/pelicula/ficha/p1276825,1276825,,,,
Los Muértimer,https://www.palomitacas.com/pelicula/ficha/p1318691,1318691,,,,
Maldita trinidad,https://www.palomitacas.com/pelicula/ficha/p1195518,1195518,,,,
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,,,,
JUJUTSU KAISEN: Hidden Inventory / Premature Death - The Movie,https://www.palomitacas.com/pelicula/ficha/p1338799,1338799,,,,
El botín,https://www.palomitacas.com/pelicula/ficha/p1306368,1306368,,,,
Die My Love,https://www.palomitacas.com/pelicula/ficha/p1033148,1033148,,,,
Amor y vino,https://www.palomitacas.com/pelicula/ficha/p1572017,1572017,5.5,5.5,18 de diciembre - 2025,2025-12-18
Una Navidad diferente,https://www.palomitacas.com/pelicula/ficha/p1430593,1430593,,,,
London Calling,https://www.palomitacas.com/pelicula/ficha/p1217602,1217602,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,,,,
Jefes de Estado,https://www.palomitacas.com/pelicula/ficha/p749170,749170,6.5,6.5,10 de diciembre - 2025,2025-12-10
High Rollers,https://www.palomitacas.com/pelicula/ficha/p1149167,1149167,,,,
El secreto de Papá Noel,https://www.palomitacas.com/pelicula/ficha/p1441563,1441563,6.0,6.0,09 de diciembre - 2025,2025-12-26
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,,,
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,,,,
57 Segundos,https://www.palomitacas.com/pelicula/ficha/p937249,937249,6.5,6.5,07 de diciembre - 2025,2025-12-07
Rockstar: DUKI desde el fin del mundo,https://www.palomitacas.com/pelicula/ficha/p1546933,1546933,6.5,6.5,02 de diciembre - 2025,2025-12-02
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
Altered,https://www.palomitacas.com/pelicula/ficha/p1309012,1309012,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,,,,
Plan en familia,https://www.palomitacas.com/pelicula/ficha/p1029575,1029575,,,,
Juegos de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,6.0,6.0,24 de noviembre - 2025,2025-11-24
Un golpe sobrenatural,https://www.palomitacas.com/pelicula/ficha/p497727,497727,6.0,6.0,23 de noviembre - 2025,2025-11-27
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Good Fortune,https://www.palomitacas.com/pelicula/ficha/p1114967,1114967,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,,,,
El vuelo de la ira,https://www.palomitacas.com/pelicula/ficha/p24351,24351,5.0,5.0,08 de noviembre - 2025,2025-11-08
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Afterburn (Zona Cero),https://www.palomitacas.com/pelicula/ficha/p507244,507244,,,,
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,,,,
Un fantasma en la batalla,https://www.palomitacas.com/pelicula/ficha/p1275151,1275151,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Culpa nuestra,https://www.palomitacas.com/pelicula/ficha/p1156594,1156594,7.0,7.0,21 de octubre - 2025,2025-11-24
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,,,,
The Toxic Avenger Unrated,https://www.palomitacas.com/pelicula/ficha/p338969,338969,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,,,,
Steve,https://www.palomitacas.com/pelicula/ficha/p1242404,1242404,,,,
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,,,,
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,,,
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
Bala perdida,https://www.palomitacas.com/pelicula/ficha/p1245993,1245993,,,,
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,7.0,7.0,06 de octubre - 2025,2026-01-03
Monster Summer,https://www.palomitacas.com/pelicula/ficha/p928480,928480,5.0,5.0,18 de septiembre - 2025,2025-09-18
Mountainhead,https://www.palomitacas.com/pelicula/ficha/p1417059,1417059,5.0,5.0,17 de septiembre - 2025,2025-09-17
