title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Dune,https://www.palomitacas.com/pelicula/ficha/p438631,438631,8.0,8.0,29 de diciembre - 2025,2025-12-29
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,5.0,5.0,29 de diciembre - 2025,2025-12-29
Un lugar tranquilo 2,https://www.palomitacas.com/pelicula/ficha/p520763,520763,7.0,7.0,29 de diciembre - 2025,2025-12-29
Guardianes de la Galaxia: Volumen 3,https://www.palomitacas.com/pelicula/ficha/p447365,447365,7.0,7.0,29 de diciembre - 2025,2025-12-29
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,7.0,7.0,29 de diciembre - 2025,2025-12-29
Aftersun,https://www.palomitacas.com/pelicula/ficha/p965150,965150,8.0,8.0,29 de diciembre - 2025,2025-12-29
As bestas,https://www.palomitacas.com/pelicula/ficha/p848685,848685,8.0,8.0,29 de diciembre - 2025,2025-12-29
Monkey Man,https://www.palomitacas.com/pelicula/ficha/p560016,560016,7.0,7.0,31 de enero - 2025,2025-01-31
Thelma: La venganza nunca ha sido tan dulce,https://www.palomitacas.com/pelicula/ficha/p1051891,1051891,,,,
Dejar el mundo atrás,https://www.palomitacas.com/pelicula/ficha/p726209,726209,7.0,7.0,30 de enero - 2025,2025-01-30
N.º 24,https://www.palomitacas.com/pelicula/ficha/p1222248,1222248,7.0,7.0,29 de enero - 2025,2025-01-29
Creed II: la leyenda de Rocky,https://www.palomitacas.com/pelicula/ficha/p480530,480530,7.0,7.0,16 de febrero - 2021,2021-02-16
Misión imposible: Fallout,https://www.palomitacas.com/pelicula/ficha/p353081,353081,7.5,7.5,16 de febrero - 2021,2021-02-16
Campeones,https://www.palomitacas.com/pelicula/ficha/p456929,456929,8.0,8.0,16 de febrero - 2021,2021-02-16
It: Capítulo 2,https://www.palomitacas.com/pelicula/ficha/p474350,474350,6.5,6.5,16 de febrero - 2021,2021-02-16
Aladdín,https://www.palomitacas.com/pelicula/ficha/p420817,420817,6.5,6.5,16 de febrero - 2021,2021-02-16
El irlandés,https://www.palomitacas.com/pelicula/ficha/p398978,398978,7.5,7.5,16 de febrero - 2021,2021-02-16
El Rey León,https://www.palomitacas.com/pelicula/ficha/p420818,420818,7.0,7.0,16 de febrero - 2021,2021-02-16
Mank,https://www.palomitacas.com/pelicula/ficha/p614560,614560,,,,
Eyes wide shut,https://www.palomitacas.com/pelicula/ficha/p345,345,8.5,8.5,16 de febrero - 2021,2021-02-16
Bajocero,https://www.palomitacas.com/pelicula/ficha/p587996,587996,7.0,7.0,16 de febrero - 2021,2021-02-16
Coco,https://www.palomitacas.com/pelicula/ficha/p354912,354912,8.0,8.0,16 de febrero - 2021,2021-02-16
Vengadores: Endgame,https://www.palomitacas.com/pelicula/ficha/p299534,299534,7.0,7.0,16 de febrero - 2021,2021-02-16
Joker,https://www.palomitacas.com/pelicula/ficha/p475557,475557,7.0,7.0,16 de febrero - 2021,2021-02-16
Senderos de gloria,https://www.palomitacas.com/pelicula/ficha/p975,975,8.5,8.5,15 de febrero - 2021,2021-02-15
Tenet,https://www.palomitacas.com/pelicula/ficha/p577922,577922,7.5,7.5,12 de febrero - 2021,2021-02-12
Aves de presa (y la fantabulosa emancipación de Harley Quinn),https://www.palomitacas.com/pelicula/ficha/p495764,495764,5.5,5.5,12 de febrero - 2021,2021-02-12
Soul,https://www.palomitacas.com/pelicula/ficha/p508442,508442,7.5,7.5,12 de febrero - 2021,2021-02-12
Los ángeles de Charlie,https://www.palomitacas.com/pelicula/ficha/p458897,458897,5.5,5.5,10 de agosto - 2020,2020-08-10
Onward,https://www.palomitacas.com/pelicula/ficha/p508439,508439,7.5,7.5,03 de agosto - 2020,2020-08-03
Espías con disfraz,https://www.palomitacas.com/pelicula/ficha/p431693,431693,6.5,6.5,03 de agosto - 2020,2020-08-03
Mujercitas,https://www.palomitacas.com/pelicula/ficha/p331482,331482,7.5,7.5,31 de julio - 2020,2020-07-31
Paranormal Activity,https://www.palomitacas.com/pelicula/ficha/p23827,23827,6.5,6.5,31 de julio - 2020,2018-06-23
Rocketman,https://www.palomitacas.com/pelicula/ficha/p504608,504608,7.0,7.0,30 de julio - 2020,2020-07-30
Hitman: Agente 47,https://www.palomitacas.com/pelicula/ficha/p249070,249070,6.5,6.5,30 de julio - 2020,2020-07-30
¡Asu Mare!,https://www.palomitacas.com/pelicula/ficha/p187442,187442,6.5,6.5,30 de julio - 2020,2020-07-30
The Equalizer 2 (El protector 2),https://www.palomitacas.com/pelicula/ficha/p345887,345887,7.0,7.0,29 de julio - 2020,2020-07-29
Gretel y Hansel,https://www.palomitacas.com/pelicula/ficha/p542224,542224,5.0,5.0,29 de julio - 2020,2020-07-29
Todos lo saben,https://www.palomitacas.com/pelicula/ficha/p401545,401545,6.5,6.5,29 de julio - 2020,2020-07-29
Los cronocrímenes,https://www.palomitacas.com/pelicula/ficha/p14139,14139,8.0,8.0,27 de julio - 2020,2020-07-27
Puñales por la espalda,https://www.palomitacas.com/pelicula/ficha/p546554,546554,8.0,8.0,27 de julio - 2020,2020-07-27
Las aventuras de Ford Fairlane,https://www.palomitacas.com/pelicula/ficha/p9548,9548,,,,
