title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
"Shrek, Felices para siempre",https://www.palomitacas.com/pelicula/ficha/p10192,10192,6.0,6.0,26 de diciembre - 2025,2025-12-26
The Holiday Club,https://www.palomitacas.com/pelicula/ficha/p1382166,1382166,6.0,6.0,25 de diciembre - 2025,2025-12-25
Dolor y dinero,https://www.palomitacas.com/pelicula/ficha/p134374,134374,5.0,5.0,10 de diciembre - 2025,2025-12-10
RoboCop,https://www.palomitacas.com/pelicula/ficha/p97020,97020,5.0,5.0,01 de diciembre - 2025,2025-12-01
RoboCop,https://www.palomitacas.com/pelicula/ficha/p5548,5548,7.0,7.0,01 de diciembre - 2025,2025-12-01
Heat,https://www.palomitacas.com/pelicula/ficha/p949,949,8.0,8.0,01 de diciembre - 2025,2025-12-01
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,6.0,6.0,13 de noviembre - 2025,2025-11-13
Fallen,https://www.palomitacas.com/pelicula/ficha/p9411,9411,6.0,6.0,11 de noviembre - 2025,2025-11-11
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.0,5.0,10 de noviembre - 2025,2025-11-10
El hombre del norte,https://www.palomitacas.com/pelicula/ficha/p639933,639933,9.0,9.0,08 de noviembre - 2025,2025-11-08
El faro,https://www.palomitacas.com/pelicula/ficha/p503919,503919,7.0,7.0,06 de noviembre - 2025,2025-11-06
Drácula de Bram Stoker,https://www.palomitacas.com/pelicula/ficha/p6114,6114,6.0,6.0,03 de noviembre - 2025,2025-11-03
"Drácula, la leyenda jamás contada",https://www.palomitacas.com/pelicula/ficha/p49017,49017,4.0,4.0,24 de octubre - 2025,2025-10-24
El apóstol,https://www.palomitacas.com/pelicula/ficha/p424121,424121,6.5,6.5,24 de octubre - 2025,2025-10-24
El tubo,https://www.palomitacas.com/pelicula/ficha/p523936,523936,4.0,4.0,21 de octubre - 2025,2025-10-21
Escape Room 2: Mueres por salir,https://www.palomitacas.com/pelicula/ficha/p585216,585216,5.0,5.0,21 de octubre - 2025,2025-10-21
El sicario de Dios,https://www.palomitacas.com/pelicula/ficha/p38321,38321,3.0,3.0,21 de octubre - 2025,2025-10-21
Las ruinas,https://www.palomitacas.com/pelicula/ficha/p11152,11152,5.0,5.0,18 de octubre - 2025,2025-10-18
Los viajeros de la noche,https://www.palomitacas.com/pelicula/ficha/p11879,11879,6.0,6.0,17 de octubre - 2025,2025-10-17
Depredador,https://www.palomitacas.com/pelicula/ficha/p106,106,7.0,7.0,15 de octubre - 2025,2025-10-15
Holy Night: Demon Hunters,https://www.palomitacas.com/pelicula/ficha/p793387,793387,3.0,3.0,14 de octubre - 2025,2025-10-14
La invocación,https://www.palomitacas.com/pelicula/ficha/p546724,546724,3.5,3.5,14 de octubre - 2025,2025-10-14
Los sudarios,https://www.palomitacas.com/pelicula/ficha/p970947,970947,2.0,2.0,14 de octubre - 2025,2025-10-14
La cura del bienestar,https://www.palomitacas.com/pelicula/ficha/p340837,340837,6.0,6.0,14 de octubre - 2025,2025-10-14
El último hombre sobre la Tierra,https://www.palomitacas.com/pelicula/ficha/p21159,21159,6.0,6.0,10 de octubre - 2025,2025-10-10
Los hambrientos,https://www.palomitacas.com/pelicula/ficha/p415010,415010,5.0,5.0,10 de octubre - 2025,2025-10-10
El regreso de los muertos vivientes,https://www.palomitacas.com/pelicula/ficha/p10925,10925,6.0,6.0,10 de octubre - 2025,2025-10-10
Creep,https://www.palomitacas.com/pelicula/ficha/p8555,8555,3.0,3.0,10 de octubre - 2025,2025-10-10
Dead talents society,https://www.palomitacas.com/pelicula/ficha/p1006724,1006724,7.0,7.0,10 de octubre - 2025,2025-10-10
Cure,https://www.palomitacas.com/pelicula/ficha/p36095,36095,7.0,7.0,10 de octubre - 2025,2025-10-10
En la hierba alta,https://www.palomitacas.com/pelicula/ficha/p523139,523139,4.0,4.0,10 de octubre - 2025,2025-10-10
La mesita del comedor,https://www.palomitacas.com/pelicula/ficha/p1056380,1056380,4.5,4.5,10 de octubre - 2025,2025-10-10
La conductora,https://www.palomitacas.com/pelicula/ficha/p1151334,1151334,5.0,5.0,10 de octubre - 2025,2025-10-10
Dog - Un viaje salvaje,https://www.palomitacas.com/pelicula/ficha/p626735,626735,6.0,6.0,29 de septiembre - 2025,2025-09-29
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,6.5,6.5,10 de septiembre - 2025,2025-09-10
El club del crimen de los jueves,https://www.palomitacas.com/pelicula/ficha/p744653,744653,6.0,6.0,10 de septiembre - 2025,2025-09-10
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,7.0,7.0,10 de septiembre - 2025,2025-09-10
A Real Pain,https://www.palomitacas.com/pelicula/ficha/p1013850,1013850,6.5,6.5,10 de septiembre - 2025,2025-09-10
The Order (La hermandad silenciosa),https://www.palomitacas.com/pelicula/ficha/p1082195,1082195,6.5,6.5,24 de agosto - 2025,2025-08-24
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,5.5,5.5,20 de agosto - 2025,2025-08-20
Fear the Night,https://www.palomitacas.com/pelicula/ficha/p1143190,1143190,3.0,3.0,20 de agosto - 2025,2025-08-20
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,6.0,6.0,18 de agosto - 2025,2025-08-18
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,4.0,4.0,18 de agosto - 2025,2025-08-18
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.0,8.0,18 de agosto - 2025,2025-08-18
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,6.0,6.0,18 de agosto - 2025,2025-08-18
El contable,https://www.palomitacas.com/pelicula/ficha/p302946,302946,6.5,6.5,11 de agosto - 2025,2025-08-11
Ángeles del desierto,https://www.palomitacas.com/pelicula/ficha/p1043905,1043905,3.0,3.0,11 de agosto - 2025,2025-08-11
Desafío total,https://www.palomitacas.com/pelicula/ficha/p861,861,7.0,7.0,06 de agosto - 2025,2025-08-06
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,6.0,6.0,06 de agosto - 2025,2025-08-06
Warfare: Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,8.0,8.0,05 de agosto - 2025,2025-08-05
Fréwaka,https://www.palomitacas.com/pelicula/ficha/p1189735,1189735,6.0,6.0,04 de agosto - 2025,2025-08-04
Terminagolf 2,https://www.palomitacas.com/pelicula/ficha/p1263256,1263256,4.0,4.0,03 de agosto - 2025,2025-08-03
Terminagolf,https://www.palomitacas.com/pelicula/ficha/p9614,9614,5.0,5.0,02 de agosto - 2025,2025-08-02
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.5,7.5,31 de julio - 2025,2025-07-31
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,31 de julio - 2025,2025-07-31
Oddity,https://www.palomitacas.com/pelicula/ficha/p1216191,1216191,6.0,6.0,31 de julio - 2025,2025-07-31
Heretic (Hereje),https://www.palomitacas.com/pelicula/ficha/p1138194,1138194,7.0,7.0,21 de julio - 2025,2025-07-21
El bastardo,https://www.palomitacas.com/pelicula/ficha/p1057001,1057001,6.5,6.5,16 de julio - 2025,2025-07-16
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,8.0,8.0,15 de julio - 2025,2025-07-15
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.0,8.0,15 de julio - 2025,2025-07-15
Migración. Un viaje patas arriba,https://www.palomitacas.com/pelicula/ficha/p940551,940551,6.0,6.0,13 de julio - 2025,2025-07-13
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,4.5,4.5,13 de julio - 2025,2025-07-13
