title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Dangerous Animals,https://www.palomitacas.com/pelicula/ficha/p1285965,1285965,6.0,6.0,31 de diciembre - 2025,2025-12-31
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,6.0,6.0,21 de diciembre - 2025,2025-12-21
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.0,6.0,20 de diciembre - 2025,2025-12-20
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,5.5,5.5,13 de diciembre - 2025,2025-12-13
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,7.0,7.0,12 de diciembre - 2025,2025-12-12
Until the Light Takes Us,https://www.palomitacas.com/pelicula/ficha/p36124,36124,,,,
Den sidste viking,https://www.palomitacas.com/pelicula/ficha/p1295400,1295400,,,,
Kung Pow: A puñetazo limpio,https://www.palomitacas.com/pelicula/ficha/p11891,11891,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,6.5,6.5,02 de diciembre - 2025,2025-12-02
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,6.0,6.0,29 de noviembre - 2025,2025-11-29
The Prosecutor,https://www.palomitacas.com/pelicula/ficha/p1128650,1128650,6.0,6.0,23 de noviembre - 2025,2025-11-23
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,6.5,6.5,14 de noviembre - 2025,2025-11-14
"Good Luck, Have Fun, Don't Die",https://www.palomitacas.com/pelicula/ficha/p1119449,1119449,,,,
Black Phone,https://www.palomitacas.com/pelicula/ficha/p756999,756999,6.0,6.0,13 de noviembre - 2025,2025-11-13
Fuera de la ley,https://www.palomitacas.com/pelicula/ficha/p974250,974250,7.5,7.5,12 de noviembre - 2025,2025-11-12
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,7.0,7.0,08 de noviembre - 2025,2025-11-08
Ozzy: No Escape from Now,https://www.palomitacas.com/pelicula/ficha/p1508191,1508191,8.5,8.5,03 de noviembre - 2025,2025-11-03
Jennifer's Body,https://www.palomitacas.com/pelicula/ficha/p19994,19994,6.0,6.0,30 de octubre - 2025,2025-10-30
Hatchet III,https://www.palomitacas.com/pelicula/ficha/p167575,167575,6.0,6.0,30 de octubre - 2025,2025-10-30
Hatchet II,https://www.palomitacas.com/pelicula/ficha/p43919,43919,5.5,5.5,29 de octubre - 2025,2025-10-29
Hatchet,https://www.palomitacas.com/pelicula/ficha/p11908,11908,6.0,6.0,27 de octubre - 2025,2025-10-27
Ghost Team,https://www.palomitacas.com/pelicula/ficha/p404073,404073,5.5,5.5,27 de octubre - 2025,2025-10-27
Hell House LLC,https://www.palomitacas.com/pelicula/ficha/p359246,359246,6.0,6.0,25 de octubre - 2025,2025-10-25
La noche de Halloween,https://www.palomitacas.com/pelicula/ficha/p948,948,7.5,7.5,25 de octubre - 2025,2025-10-25
Viernes 13,https://www.palomitacas.com/pelicula/ficha/p4488,4488,6.5,6.5,25 de octubre - 2025,2025-10-25
La nueva pesadilla de Wes Craven,https://www.palomitacas.com/pelicula/ficha/p11596,11596,5.0,5.0,25 de octubre - 2025,2025-10-25
La noche devora el mundo,https://www.palomitacas.com/pelicula/ficha/p457955,457955,5.5,5.5,24 de octubre - 2025,2025-10-24
Yo compré una moto vampiro,https://www.palomitacas.com/pelicula/ficha/p41153,41153,6.0,6.0,24 de octubre - 2025,2025-10-24
Ovejas asesinas,https://www.palomitacas.com/pelicula/ficha/p3603,3603,6.0,6.0,23 de octubre - 2025,2025-10-23
Muertos y enterrados,https://www.palomitacas.com/pelicula/ficha/p24274,24274,5.5,5.5,23 de octubre - 2025,2025-10-23
Confidencial (Black Bag),https://www.palomitacas.com/pelicula/ficha/p1233575,1233575,6.0,6.0,20 de octubre - 2025,2025-10-20
Amateur,https://www.palomitacas.com/pelicula/ficha/p1087891,1087891,7.0,7.0,19 de octubre - 2025,2025-10-19
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,6.0,6.0,15 de octubre - 2025,2025-10-15
Verano infernal,https://www.palomitacas.com/pelicula/ficha/p999243,999243,5.5,5.5,14 de octubre - 2025,2025-10-14
El dormilón,https://www.palomitacas.com/pelicula/ficha/p11561,11561,7.0,7.0,12 de octubre - 2025,2025-10-12
Vuelve el padre de la novia (Ahora también abuelo),https://www.palomitacas.com/pelicula/ficha/p11862,11862,6.0,6.0,12 de octubre - 2025,2025-10-12
El padre de la novia,https://www.palomitacas.com/pelicula/ficha/p11846,11846,6.5,6.5,12 de octubre - 2025,2025-10-12
We Bury the Dead,https://www.palomitacas.com/pelicula/ficha/p1198984,1198984,,,,
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,7.0,7.0,29 de septiembre - 2025,2025-09-29
El mago de Oz,https://www.palomitacas.com/pelicula/ficha/p630,630,6.5,6.5,27 de septiembre - 2025,2025-09-27
Phenomena,https://www.palomitacas.com/pelicula/ficha/p29161,29161,,,,
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,6.0,6.0,24 de septiembre - 2025,2025-09-24
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,6.5,6.5,24 de septiembre - 2025,2025-09-24
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,3.0,3.0,22 de septiembre - 2025,2025-09-23
