title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Robin de los bosques,https://www.palomitacas.com/pelicula/ficha/p10907,10907,7.5,7.5,02 de enero - 2026,2026-01-02
Ninja Assassin,https://www.palomitacas.com/pelicula/ficha/p22832,22832,7.5,7.5,30 de diciembre - 2025,2025-12-30
Ultra Force: Acción sin límite,https://www.palomitacas.com/pelicula/ficha/p45450,45450,7.5,7.5,29 de diciembre - 2025,2025-12-29
María Callas,https://www.palomitacas.com/pelicula/ficha/p1038263,1038263,7.0,7.0,25 de diciembre - 2025,2025-12-25
La terminal,https://www.palomitacas.com/pelicula/ficha/p594,594,7.5,7.5,21 de diciembre - 2025,2025-12-21
El último dragón,https://www.palomitacas.com/pelicula/ficha/p13938,13938,6.0,6.0,21 de diciembre - 2025,2025-12-21
Krampus: Maldita Navidad,https://www.palomitacas.com/pelicula/ficha/p287903,287903,6.0,6.0,17 de diciembre - 2025,2025-12-17
Bob el jugador,https://www.palomitacas.com/pelicula/ficha/p26030,26030,7.5,7.5,15 de diciembre - 2025,2025-12-15
Kiss Kiss Bang Bang,https://www.palomitacas.com/pelicula/ficha/p5236,5236,7.5,7.5,15 de diciembre - 2025,2025-12-15
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,8.0,8.0,15 de diciembre - 2025,2025-12-15
El imperio perdido,https://www.palomitacas.com/pelicula/ficha/p100697,100697,4.0,4.0,12 de diciembre - 2025,2025-12-12
Operación Reno,https://www.palomitacas.com/pelicula/ficha/p2155,2155,7.5,7.5,10 de diciembre - 2025,2025-12-10
Donde la ciudad termina,https://www.palomitacas.com/pelicula/ficha/p35129,35129,7.5,7.5,09 de diciembre - 2025,2025-12-09
Eyes Wide Shut,https://www.palomitacas.com/pelicula/ficha/p345,345,7.5,7.5,09 de diciembre - 2025,2025-12-09
Los bajos fondos,https://www.palomitacas.com/pelicula/ficha/p45802,45802,7.0,7.0,04 de diciembre - 2025,2025-12-04
Dark Star: el universo de H. R. Giger,https://www.palomitacas.com/pelicula/ficha/p295317,295317,6.5,6.5,03 de diciembre - 2025,2025-12-03
Un Cuento De Navidad,https://www.palomitacas.com/pelicula/ficha/p46126,46126,7.0,7.0,30 de noviembre - 2025,2025-11-30
Paul Gauguin,https://www.palomitacas.com/pelicula/ficha/p183268,183268,6.0,6.0,29 de noviembre - 2025,2025-11-29
Guernica,https://www.palomitacas.com/pelicula/ficha/p109364,109364,7.0,7.0,29 de noviembre - 2025,2025-11-29
Van Gogh,https://www.palomitacas.com/pelicula/ficha/p162366,162366,6.0,6.0,29 de noviembre - 2025,2025-11-29
Ghost Warrior: El hombre de hielo,https://www.palomitacas.com/pelicula/ficha/p40837,40837,7.0,7.0,28 de noviembre - 2025,2025-11-28
Gas-oil,https://www.palomitacas.com/pelicula/ficha/p67431,67431,7.5,7.5,26 de noviembre - 2025,2025-11-26
