title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
The Entity,https://www.palomitacas.com/pelicula/ficha/p601343,601343,4.0,4.0,02 de enero - 2026,2026-01-02
Agente X: Última misión,https://www.palomitacas.com/pelicula/ficha/p927107,927107,5.5,5.5,02 de enero - 2026,2026-01-02
Critters ¡Al ataque!,https://www.palomitacas.com/pelicula/ficha/p597856,597856,5.0,5.0,01 de enero - 2026,2026-01-01
Critters 4,https://www.palomitacas.com/pelicula/ficha/p12525,12525,5.0,5.0,01 de enero - 2026,2026-01-01
Critters 3,https://www.palomitacas.com/pelicula/ficha/p12702,12702,6.0,6.0,01 de enero - 2026,2026-01-01
Critters 2,https://www.palomitacas.com/pelicula/ficha/p10127,10127,6.0,6.0,01 de enero - 2026,2026-01-01
Critters,https://www.palomitacas.com/pelicula/ficha/p3980,3980,6.0,6.0,01 de enero - 2026,2026-01-01
Juego de brujas,https://www.palomitacas.com/pelicula/ficha/p1067833,1067833,2.0,2.0,01 de enero - 2026,2026-01-01
El misterio de la familia Carman,https://www.palomitacas.com/pelicula/ficha/p1363282,1363282,5.5,5.5,31 de diciembre - 2025,2025-12-31
Evil Influencer: The Jodi Hildebrandt Story,https://www.palomitacas.com/pelicula/ficha/p1591516,1591516,5.5,5.5,30 de diciembre - 2025,2025-12-31
"Adiós, June",https://www.palomitacas.com/pelicula/ficha/p1435092,1435092,6.0,6.0,29 de diciembre - 2025,2025-12-30
La hermana de nieve,https://www.palomitacas.com/pelicula/ficha/p1365044,1365044,5.5,5.5,28 de diciembre - 2025,2025-12-28
Clase sangrienta,https://www.palomitacas.com/pelicula/ficha/p21799,21799,5.0,5.0,27 de diciembre - 2025,2025-12-27
Antisocial 2,https://www.palomitacas.com/pelicula/ficha/p350837,350837,4.5,4.5,26 de diciembre - 2025,2025-12-26
Antisocial,https://www.palomitacas.com/pelicula/ficha/p207780,207780,5.5,5.5,26 de diciembre - 2025,2025-12-26
Respira,https://www.palomitacas.com/pelicula/ficha/p720321,720321,5.5,5.5,26 de diciembre - 2025,2025-12-26
Solitaria es la noche: Los crímenes de la familia Bansal,https://www.palomitacas.com/pelicula/ficha/p1415974,1415974,6.0,6.0,23 de diciembre - 2025,2025-12-24
रात अकेली है,https://www.palomitacas.com/pelicula/ficha/p589615,589615,5.5,5.5,23 de diciembre - 2025,2025-12-23
The Heretics,https://www.palomitacas.com/pelicula/ficha/p438736,438736,5.0,5.0,22 de diciembre - 2025,2025-12-22
DreadOut,https://www.palomitacas.com/pelicula/ficha/p535736,535736,5.5,5.5,21 de diciembre - 2025,2025-12-21
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,6.0,6.0,20 de diciembre - 2025,2025-12-20
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1029352,1029352,2.0,2.0,19 de diciembre - 2025,2025-12-19
La noche más oscura,https://www.palomitacas.com/pelicula/ficha/p97630,97630,5.0,5.0,17 de diciembre - 2025,2025-12-17
