title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,5.0,5.0,01 de enero - 2026,2026-01-01
Transporter 3,https://www.palomitacas.com/pelicula/ficha/p13387,13387,5.0,5.0,01 de enero - 2026,2026-01-01
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,6.5,6.5,28 de diciembre - 2025,2025-12-28
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,6.0,6.0,27 de diciembre - 2025,2025-12-27
Terrifier 3,https://www.palomitacas.com/pelicula/ficha/p1034541,1034541,6.0,6.0,27 de diciembre - 2025,2025-12-27
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,7.5,7.5,26 de diciembre - 2025,2025-12-26
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,8.0,8.0,01 de diciembre - 2025,2025-12-01
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,6.0,6.0,01 de diciembre - 2025,2025-12-01
En busca del arca perdida,https://www.palomitacas.com/pelicula/ficha/p85,85,8.0,8.0,29 de noviembre - 2025,2025-11-29
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,5.0,5.0,19 de noviembre - 2025,2025-11-19
Cowboys & Aliens,https://www.palomitacas.com/pelicula/ficha/p49849,49849,6.0,6.0,16 de noviembre - 2025,2025-11-16
Abierto hasta el amanecer,https://www.palomitacas.com/pelicula/ficha/p755,755,7.5,7.5,29 de octubre - 2025,2025-10-29
Tierras perdidas,https://www.palomitacas.com/pelicula/ficha/p324544,324544,4.0,4.0,29 de octubre - 2025,2025-10-29
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,7.5,7.5,28 de octubre - 2025,2025-10-28
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,7.0,7.0,24 de octubre - 2025,2025-10-24
Tu color,https://www.palomitacas.com/pelicula/ficha/p1056444,1056444,6.5,6.5,21 de septiembre - 2025,2025-09-21
Los tipos malos 2,https://www.palomitacas.com/pelicula/ficha/p1175942,1175942,6.5,6.5,14 de septiembre - 2025,2025-09-14
La princesa prometida,https://www.palomitacas.com/pelicula/ficha/p2493,2493,8.0,8.0,14 de septiembre - 2025,2025-09-14
Enredados,https://www.palomitacas.com/pelicula/ficha/p38757,38757,7.5,7.5,11 de septiembre - 2025,2025-09-11
El corredor del laberinto,https://www.palomitacas.com/pelicula/ficha/p198663,198663,6.5,6.5,04 de septiembre - 2025,2025-09-04
El Conde de Montecristo,https://www.palomitacas.com/pelicula/ficha/p1084736,1084736,7.0,7.0,04 de septiembre - 2025,2025-09-04
Dersu Uzala (El cazador),https://www.palomitacas.com/pelicula/ficha/p9764,9764,8.0,8.0,15 de agosto - 2025,2025-08-15
El diario de Noa,https://www.palomitacas.com/pelicula/ficha/p11036,11036,7.0,7.0,05 de agosto - 2025,2025-08-05
Guardianes de la noche: Kimetsu no Yaiba - La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,8.5,8.5,30 de julio - 2025,2025-07-30
La búsqueda (National Treasure),https://www.palomitacas.com/pelicula/ficha/p2059,2059,6.5,6.5,30 de julio - 2025,2025-07-30
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.5,7.5,27 de julio - 2025,2025-07-27
バーバー吉野,https://www.palomitacas.com/pelicula/ficha/p25658,25658,6.5,6.5,27 de julio - 2025,2025-07-27
Madogiwa no Totto-chan,https://www.palomitacas.com/pelicula/ficha/p1106904,1106904,8.0,8.0,23 de julio - 2025,2025-07-23
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,5.5,5.5,15 de julio - 2025,2025-07-15
Dark City,https://www.palomitacas.com/pelicula/ficha/p2666,2666,7.0,7.0,15 de julio - 2025,2025-07-15
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,5.0,5.0,06 de julio - 2025,2025-07-06
Un puente hacia Terabithia,https://www.palomitacas.com/pelicula/ficha/p1265,1265,7.5,7.5,27 de junio - 2025,2025-06-27
Dragon Ball Super: Broly,https://www.palomitacas.com/pelicula/ficha/p503314,503314,7.5,7.5,17 de junio - 2025,2025-06-17
Monstruo,https://www.palomitacas.com/pelicula/ficha/p1050035,1050035,7.5,7.5,17 de junio - 2025,2025-06-17
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,8.0,8.0,16 de junio - 2025,2025-06-16
Cómo entrenar a tu dragón 3,https://www.palomitacas.com/pelicula/ficha/p166428,166428,7.0,7.0,16 de junio - 2025,2025-06-16
Cómo entrenar a tu dragón 2,https://www.palomitacas.com/pelicula/ficha/p82702,82702,7.5,7.5,16 de junio - 2025,2025-06-16
Lo que le falta a esta estrella,https://www.palomitacas.com/pelicula/ficha/p1165642,1165642,6.5,6.5,08 de junio - 2025,2025-06-08
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.5,7.5,08 de junio - 2025,2025-06-08
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,7.0,7.0,04 de junio - 2025,2025-06-04
Lilo & Stitch,https://www.palomitacas.com/pelicula/ficha/p11544,11544,8.0,8.0,04 de junio - 2025,2025-06-04
Piratas del Caribe: La maldición de la Perla Negra,https://www.palomitacas.com/pelicula/ficha/p22,22,8.0,8.0,31 de mayo - 2025,2025-05-31
Pompoko,https://www.palomitacas.com/pelicula/ficha/p15283,15283,6.0,6.0,13 de mayo - 2025,2025-05-13
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,6.5,6.5,09 de mayo - 2025,2025-05-09
Overlord: El reino sagrado,https://www.palomitacas.com/pelicula/ficha/p1014505,1014505,6.0,6.0,09 de mayo - 2025,2025-05-09
Bailarina,https://www.palomitacas.com/pelicula/ficha/p961268,961268,6.0,6.0,08 de mayo - 2025,2025-05-08
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,4.0,4.0,05 de mayo - 2025,2025-05-05
Look Back,https://www.palomitacas.com/pelicula/ficha/p1244492,1244492,8.5,8.5,03 de mayo - 2025,2025-05-03
Una película de Minecraft,https://www.palomitacas.com/pelicula/ficha/p950387,950387,5.0,5.0,10 de abril - 2025,2025-04-10
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,5.5,5.5,08 de abril - 2025,2025-04-08
RoboCop,https://www.palomitacas.com/pelicula/ficha/p5548,5548,7.0,7.0,08 de abril - 2025,2025-04-08
Attack on Titan: THE LAST ATTACK,https://www.palomitacas.com/pelicula/ficha/p1333100,1333100,8.5,8.5,12 de marzo - 2025,2025-03-12
Rompenieves (Snowpiercer),https://www.palomitacas.com/pelicula/ficha/p110415,110415,7.0,7.0,05 de marzo - 2025,2025-03-05
Cinema Paradiso,https://www.palomitacas.com/pelicula/ficha/p11216,11216,9.0,9.0,02 de marzo - 2025,2025-03-02
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,6.0,6.0,22 de febrero - 2025,2025-02-22
Watchmen,https://www.palomitacas.com/pelicula/ficha/p13183,13183,7.5,7.5,22 de enero - 2025,2025-01-22
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,7.5,7.5,07 de enero - 2025,2025-01-07
El día de la bestia,https://www.palomitacas.com/pelicula/ficha/p10722,10722,7.5,7.5,07 de enero - 2025,2025-01-03
Solo Leveling: ReAwakening,https://www.palomitacas.com/pelicula/ficha/p1357633,1357633,7.5,7.5,04 de enero - 2025,2025-01-04
Kung Fu Panda 4,https://www.palomitacas.com/pelicula/ficha/p1011985,1011985,5.0,5.0,04 de enero - 2025,2025-01-04
Solo en casa,https://www.palomitacas.com/pelicula/ficha/p771,771,7.0,7.0,04 de enero - 2025,2025-01-04
Sonic 3: La película,https://www.palomitacas.com/pelicula/ficha/p939243,939243,7.0,7.0,02 de enero - 2025,2025-01-02
El señor de los anillos: La guerra de los Rohirrim,https://www.palomitacas.com/pelicula/ficha/p839033,839033,6.5,6.5,02 de enero - 2025,2025-01-02
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,5.0,5.0,02 de enero - 2025,2025-01-02
El hombre que plantaba árboles,https://www.palomitacas.com/pelicula/ficha/p49565,49565,8.0,8.0,22 de octubre - 2024,2024-10-22
Shin Chan: El Superhéroe,https://www.palomitacas.com/pelicula/ficha/p1059572,1059572,5.0,5.0,20 de octubre - 2024,2024-10-20
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,6.0,6.0,20 de octubre - 2024,2024-10-20
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,8.5,8.5,12 de octubre - 2024,2024-10-12
Prisioneros de Ghostland,https://www.palomitacas.com/pelicula/ficha/p523638,523638,4.0,4.0,03 de octubre - 2024,2024-10-03
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,6.5,6.5,12 de septiembre - 2024,2024-09-12
Lisa Frankenstein,https://www.palomitacas.com/pelicula/ficha/p993784,993784,6.0,6.0,09 de septiembre - 2024,2024-09-09
Demolition Man,https://www.palomitacas.com/pelicula/ficha/p9739,9739,6.0,6.0,09 de septiembre - 2024,2024-09-09
Borderlands,https://www.palomitacas.com/pelicula/ficha/p365177,365177,3.0,3.0,03 de septiembre - 2024,2024-09-03
El amor está en el agua,https://www.palomitacas.com/pelicula/ficha/p530079,530079,7.0,7.0,01 de septiembre - 2024,2024-09-01
One Piece: La película,https://www.palomitacas.com/pelicula/ficha/p19576,19576,7.0,7.0,19 de agosto - 2024,2024-08-19
Ice Age: La edad de hielo,https://www.palomitacas.com/pelicula/ficha/p425,425,7.5,7.5,17 de agosto - 2024,2024-08-17
冬冬的假期,https://www.palomitacas.com/pelicula/ficha/p92989,92989,7.0,7.0,17 de agosto - 2024,2024-08-17
Shin Chan: Perdidos en la jungla,https://www.palomitacas.com/pelicula/ficha/p117087,117087,6.5,6.5,13 de agosto - 2024,2024-08-13
Las vacaciones de Jesús y Buda,https://www.palomitacas.com/pelicula/ficha/p184608,184608,6.0,6.0,12 de agosto - 2024,2024-08-12
El planeta del tesoro,https://www.palomitacas.com/pelicula/ficha/p9016,9016,7.0,7.0,11 de agosto - 2024,2024-08-11
Recuerdos del ayer,https://www.palomitacas.com/pelicula/ficha/p15080,15080,7.0,7.0,10 de agosto - 2024,2024-08-10
Deadpool y Lobezno,https://www.palomitacas.com/pelicula/ficha/p533535,533535,7.5,7.5,27 de julio - 2024,2024-07-27
La cosa (El enigma de otro mundo),https://www.palomitacas.com/pelicula/ficha/p1091,1091,7.5,7.5,27 de julio - 2024,2024-07-27
