title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Arizona Baby,https://www.palomitacas.com/pelicula/ficha/p378,378,7.0,7.0,02 de enero - 2026,2026-01-02
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,7.5,7.5,23 de diciembre - 2025,2025-12-23
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.0,7.0,18 de diciembre - 2025,2025-12-18
El hombre que inventó la Navidad,https://www.palomitacas.com/pelicula/ficha/p450322,450322,6.0,6.0,13 de diciembre - 2025,2025-12-13
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,6.0,6.0,16 de noviembre - 2025,2025-11-16
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,6.0,6.0,08 de noviembre - 2025,2025-11-08
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,8.0,8.0,08 de noviembre - 2025,2025-11-08
Dark City,https://www.palomitacas.com/pelicula/ficha/p2666,2666,7.5,7.5,06 de noviembre - 2025,2025-11-06
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,6.5,6.5,01 de noviembre - 2025,2025-11-01
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,7.0,7.0,28 de octubre - 2025,2025-10-28
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,6.5,6.5,28 de octubre - 2025,2025-10-28
La mujer del camarote 10,https://www.palomitacas.com/pelicula/ficha/p1290879,1290879,5.0,5.0,28 de octubre - 2025,2025-10-28
Crimen perfecto,https://www.palomitacas.com/pelicula/ficha/p521,521,8.5,8.5,19 de octubre - 2025,2025-10-19
La soga,https://www.palomitacas.com/pelicula/ficha/p1580,1580,7.5,7.5,19 de octubre - 2025,2025-10-19
Un gato callejero llamado Bob,https://www.palomitacas.com/pelicula/ficha/p404378,404378,7.0,7.0,16 de octubre - 2025,2025-10-16
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,6.0,6.0,12 de octubre - 2025,2025-10-12
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.5,7.5,07 de octubre - 2025,2025-10-07
"Totto-chan, aventuras desde la ventana",https://www.palomitacas.com/pelicula/ficha/p1106904,1106904,8.0,8.0,07 de octubre - 2025,2025-10-07
"Good bye, Lenin!",https://www.palomitacas.com/pelicula/ficha/p338,338,8.0,8.0,29 de septiembre - 2025,2025-09-29
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p10191,10191,7.5,7.5,24 de septiembre - 2025,2025-09-24
La zona muerta,https://www.palomitacas.com/pelicula/ficha/p11336,11336,6.5,6.5,18 de septiembre - 2025,2025-09-18
Fitzcarraldo,https://www.palomitacas.com/pelicula/ficha/p9343,9343,7.0,7.0,18 de septiembre - 2025,2025-09-18
Videodrome,https://www.palomitacas.com/pelicula/ficha/p837,837,6.5,6.5,07 de septiembre - 2025,2025-09-07
Los héroes del tiempo,https://www.palomitacas.com/pelicula/ficha/p36819,36819,5.0,5.0,07 de septiembre - 2025,2025-09-07
El sentido de la vida,https://www.palomitacas.com/pelicula/ficha/p4543,4543,6.5,6.5,07 de septiembre - 2025,2025-09-07
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,7.5,7.5,04 de septiembre - 2025,2025-09-04
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,5.0,5.0,27 de agosto - 2025,2025-08-27
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.5,7.5,19 de agosto - 2025,2025-08-19
