title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Humano,https://www.palomitacas.com/pelicula/ficha/p914215,914215,,,,
El niño detrás de la puerta,https://www.palomitacas.com/pelicula/ficha/p741613,741613,,,,
Generación cápsula,https://www.palomitacas.com/pelicula/ficha/p889675,889675,,,,
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,,,,
La última casa a la izquierda,https://www.palomitacas.com/pelicula/ficha/p18405,18405,,,,
Burning,https://www.palomitacas.com/pelicula/ficha/p491584,491584,,,,
Número desconocido: Falsa identidad en el instituto,https://www.palomitacas.com/pelicula/ficha/p1517772,1517772,,,,
Sueños de trenes,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,,,,
Nightcrawler,https://www.palomitacas.com/pelicula/ficha/p242582,242582,,,,
El frío en los huesos,https://www.palomitacas.com/pelicula/ficha/p1075335,1075335,,,,
Canino,https://www.palomitacas.com/pelicula/ficha/p38810,38810,,,,
"Adiós pequeña, adiós",https://www.palomitacas.com/pelicula/ficha/p4771,4771,,,,
El secreto de sus ojos,https://www.palomitacas.com/pelicula/ficha/p25376,25376,,,,
Ellas hablan,https://www.palomitacas.com/pelicula/ficha/p777245,777245,,,,
La hermanastra fea,https://www.palomitacas.com/pelicula/ficha/p1284120,1284120,,,,
Septiembre dice,https://www.palomitacas.com/pelicula/ficha/p1212337,1212337,,,,
The Silencing,https://www.palomitacas.com/pelicula/ficha/p603119,603119,,,,
Latidos en la oscuridad,https://www.palomitacas.com/pelicula/ficha/p467632,467632,,,,
Matrimonio compulsivo,https://www.palomitacas.com/pelicula/ficha/p9038,9038,7.0,7.0,31 de diciembre - 2025,2025-12-31
La llamada de lo salvaje,https://www.palomitacas.com/pelicula/ficha/p481848,481848,6.5,6.5,31 de diciembre - 2025,2025-12-31
Sin piedad,https://www.palomitacas.com/pelicula/ficha/p1236153,1236153,,,,
The Incident,https://www.palomitacas.com/pelicula/ficha/p96648,96648,,,,
El padrastro,https://www.palomitacas.com/pelicula/ficha/p19904,19904,,,,
El buen vecino,https://www.palomitacas.com/pelicula/ficha/p893086,893086,,,,
Corre,https://www.palomitacas.com/pelicula/ficha/p1073784,1073784,,,,
The Corridor,https://www.palomitacas.com/pelicula/ficha/p77444,77444,,,,
Kill List,https://www.palomitacas.com/pelicula/ficha/p74725,74725,,,,
El Sonido de mi Voz,https://www.palomitacas.com/pelicula/ficha/p86812,86812,,,,
Decision to Leave,https://www.palomitacas.com/pelicula/ficha/p705996,705996,,,,
Impacto,https://www.palomitacas.com/pelicula/ficha/p11644,11644,,,,
Cure,https://www.palomitacas.com/pelicula/ficha/p36095,36095,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,,,,
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
