title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Sore: Istri Dari Masa Depan,https://www.palomitacas.com/pelicula/ficha/p1385536,1385536,,,,
Shelby Oaks,https://www.palomitacas.com/pelicula/ficha/p937941,937941,,,,
2000 Meters to Andriivka,https://www.palomitacas.com/pelicula/ficha/p1400789,1400789,,,,
"Si pudiera, te daría una patada",https://www.palomitacas.com/pelicula/ficha/p1160360,1160360,,,,
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,7.5,7.5,15 de diciembre - 2025,2025-12-15
Vapor Trail,https://www.palomitacas.com/pelicula/ficha/p1085897,1085897,,,,
Un simple accidente,https://www.palomitacas.com/pelicula/ficha/p1456349,1456349,,,,
Valor sentimental,https://www.palomitacas.com/pelicula/ficha/p1124566,1124566,7.5,7.5,08 de diciembre - 2025,2026-01-01
Five Nights at Freddy's 2,https://www.palomitacas.com/pelicula/ficha/p1228246,1228246,,,,
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,7.5,7.5,29 de noviembre - 2025,2025-11-29
어쩔수가없다,https://www.palomitacas.com/pelicula/ficha/p639988,639988,7.5,7.5,22 de noviembre - 2025,2025-12-07
Vida perra,https://www.palomitacas.com/pelicula/ficha/p912908,912908,6.5,6.5,20 de noviembre - 2025,2025-11-20
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,6.5,6.5,19 de noviembre - 2025,2025-12-13
El extraño,https://www.palomitacas.com/pelicula/ficha/p807356,807356,,,,
"Kim Ji-young, Born 1982",https://www.palomitacas.com/pelicula/ficha/p586048,586048,,,,
Dieva suns,https://www.palomitacas.com/pelicula/ficha/p1282280,1282280,7.5,7.5,11 de noviembre - 2025,2025-11-11
LUPIN THE IIIRD 銭形と2人のルパン,https://www.palomitacas.com/pelicula/ficha/p1474048,1474048,,,,
Hold the Fort,https://www.palomitacas.com/pelicula/ficha/p1481603,1481603,4.5,4.5,10 de noviembre - 2025,2025-11-10
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,7.5,7.5,07 de noviembre - 2025,2025-11-14
ผีใช้ได้ค่ะ,https://www.palomitacas.com/pelicula/ficha/p1364904,1364904,6.5,6.5,07 de noviembre - 2025,2025-11-07
El elixir de la inmortalidad,https://www.palomitacas.com/pelicula/ficha/p1306525,1306525,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,7.0,7.0,31 de octubre - 2025,2025-10-31
Tú eres el siguiente,https://www.palomitacas.com/pelicula/ficha/p83899,83899,,,,
Darkness,https://www.palomitacas.com/pelicula/ficha/p11056,11056,,,,
La hermanastra fea,https://www.palomitacas.com/pelicula/ficha/p1284120,1284120,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,7.5,7.5,29 de octubre - 2025,2025-11-23
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,6.0,6.0,28 de octubre - 2025,2025-10-29
The Midnight Man,https://www.palomitacas.com/pelicula/ficha/p492621,492621,5.5,5.5,27 de octubre - 2025,2025-10-27
El asesino del nudo,https://www.palomitacas.com/pelicula/ficha/p544431,544431,6.0,6.0,26 de octubre - 2025,2025-10-26
La muerte del unicornio,https://www.palomitacas.com/pelicula/ficha/p1153714,1153714,,,,
Cuentos de Halloween,https://www.palomitacas.com/pelicula/ficha/p306964,306964,6.0,6.0,26 de octubre - 2025,2025-10-26
Ghost Team,https://www.palomitacas.com/pelicula/ficha/p404073,404073,4.5,4.5,26 de octubre - 2025,2025-10-26
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,7.5,7.5,24 de octubre - 2025,2025-10-24
La llave del mal,https://www.palomitacas.com/pelicula/ficha/p9913,9913,6.5,6.5,13 de octubre - 2025,2025-10-24
Eddington,https://www.palomitacas.com/pelicula/ficha/p648878,648878,7.0,7.0,06 de octubre - 2025,2025-10-06
Cuando el destino nos alcance,https://www.palomitacas.com/pelicula/ficha/p12101,12101,,,,
Dreams,https://www.palomitacas.com/pelicula/ficha/p1228682,1228682,6.5,6.5,21 de septiembre - 2025,2025-10-24
Chage & Aska: On Your Mark,https://www.palomitacas.com/pelicula/ficha/p1545562,1545562,7.0,7.0,13 de septiembre - 2025,2025-09-13
"Sorry, Baby",https://www.palomitacas.com/pelicula/ficha/p1205515,1205515,8.5,8.5,12 de septiembre - 2025,2025-12-10
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p37136,37136,6.5,6.5,03 de septiembre - 2025,2025-09-03
Los tipos malos,https://www.palomitacas.com/pelicula/ficha/p629542,629542,6.5,6.5,31 de agosto - 2025,2025-11-19
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,,,,
Agárralo como puedas,https://www.palomitacas.com/pelicula/ficha/p1035259,1035259,6.0,6.0,29 de agosto - 2025,2025-08-30
El juego de la sospecha,https://www.palomitacas.com/pelicula/ficha/p15196,15196,,,,
Warfare: Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,,,,
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,8.0,8.0,13 de agosto - 2025,2025-08-20
Animatrix,https://www.palomitacas.com/pelicula/ficha/p55931,55931,,,,
La trama fenicia,https://www.palomitacas.com/pelicula/ficha/p1137350,1137350,,,,
Sol naciente,https://www.palomitacas.com/pelicula/ficha/p7007,7007,6.0,6.0,10 de agosto - 2025,2025-08-10
Mars Express,https://www.palomitacas.com/pelicula/ficha/p586810,586810,,,,
O'Dessa,https://www.palomitacas.com/pelicula/ficha/p1075456,1075456,,,,
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,6.0,6.0,21 de julio - 2025,2025-11-12
Perseguido,https://www.palomitacas.com/pelicula/ficha/p865,865,,,,
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,5.5,5.5,05 de julio - 2025,2025-07-05
La vieja guardia 2,https://www.palomitacas.com/pelicula/ficha/p846422,846422,5.5,5.5,02 de julio - 2025,2025-07-02
Legión,https://www.palomitacas.com/pelicula/ficha/p22894,22894,,,,
Héroe en dos mundos,https://www.palomitacas.com/pelicula/ficha/p611698,611698,,,,
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,6.5,6.5,22 de junio - 2025,2025-06-22
Forever,https://www.palomitacas.com/pelicula/ficha/p1116585,1116585,6.5,6.5,21 de junio - 2025,2025-06-21
Sé lo que hicisteis el último verano,https://www.palomitacas.com/pelicula/ficha/p3597,3597,7.5,7.5,17 de junio - 2025,2025-11-16
Walk With Me,https://www.palomitacas.com/pelicula/ficha/p809647,809647,,,,
Wet Sand,https://www.palomitacas.com/pelicula/ficha/p846806,846806,,,,
Los amores de Anaïs,https://www.palomitacas.com/pelicula/ficha/p781453,781453,6.0,6.0,12 de junio - 2025,2025-06-12
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,,,,
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.0,7.0,10 de junio - 2025,2025-06-13
La calle del terror: La reina del baile,https://www.palomitacas.com/pelicula/ficha/p1001414,1001414,4.5,4.5,29 de mayo - 2025,2025-05-29
Le ragazze non piangono,https://www.palomitacas.com/pelicula/ficha/p986719,986719,,,,
LUPIN THE IIIRD THE MOVIE 不死身の血族,https://www.palomitacas.com/pelicula/ficha/p1395140,1395140,,,,
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,,,,
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,6.5,6.5,25 de abril - 2025,2025-07-27
Los cuatro Fantásticos: Primeros Pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.5,7.5,25 de abril - 2025,2025-07-31
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.0,8.0,25 de abril - 2025,2025-05-02
Amén: Francisco responde,https://www.palomitacas.com/pelicula/ficha/p1094266,1094266,5.5,5.5,25 de abril - 2025,2025-04-25
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,7.0,7.0,13 de abril - 2025,2025-05-05
Snapshots,https://www.palomitacas.com/pelicula/ficha/p507697,507697,6.5,6.5,11 de abril - 2025,2025-04-11
El Olivo,https://www.palomitacas.com/pelicula/ficha/p366505,366505,7.0,7.0,09 de abril - 2025,2025-04-09
El Jardín de los Pecadores:  Evangelio futuro -,https://www.palomitacas.com/pelicula/ficha/p253987,253987,,,,
El jardín de los pecadores: Epílogo,https://www.palomitacas.com/pelicula/ficha/p47747,47747,,,,
Omaha,https://www.palomitacas.com/pelicula/ficha/p1233655,1233655,,,,
The Ballad of Wallis Island,https://www.palomitacas.com/pelicula/ficha/p1122099,1122099,,,,
eXistenZ,https://www.palomitacas.com/pelicula/ficha/p1946,1946,,,,
Nivel 13,https://www.palomitacas.com/pelicula/ficha/p1090,1090,,,,
A Scanner Darkly (Una mirada en la oscuridad),https://www.palomitacas.com/pelicula/ficha/p3509,3509,,,,
El infinito,https://www.palomitacas.com/pelicula/ficha/p430231,430231,,,,
ब्रह्मास्त्र पहला भाग: शिवा,https://www.palomitacas.com/pelicula/ficha/p496331,496331,,,,
Clown in a Cornfield,https://www.palomitacas.com/pelicula/ficha/p713364,713364,,,,
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,,,,
Hombre lobo,https://www.palomitacas.com/pelicula/ficha/p710295,710295,,,,
See You Soon,https://www.palomitacas.com/pelicula/ficha/p1440931,1440931,,,,
Better Man,https://www.palomitacas.com/pelicula/ficha/p799766,799766,7.5,7.5,02 de marzo - 2025,2025-03-02
Horizonte Final,https://www.palomitacas.com/pelicula/ficha/p8413,8413,,,,
Llega de noche,https://www.palomitacas.com/pelicula/ficha/p418078,418078,,,,
El abismo secreto,https://www.palomitacas.com/pelicula/ficha/p950396,950396,,,,
Wallace y Gromit: La venganza se sirve con plumas,https://www.palomitacas.com/pelicula/ficha/p929204,929204,7.5,7.5,01 de marzo - 2025,2025-03-01
Aún Estoy Aquí,https://www.palomitacas.com/pelicula/ficha/p1000837,1000837,8.0,8.0,28 de febrero - 2025,2025-02-28
A Complete Unknown,https://www.palomitacas.com/pelicula/ficha/p661539,661539,6.0,6.0,26 de febrero - 2025,2025-02-26
The Brutalist,https://www.palomitacas.com/pelicula/ficha/p549509,549509,7.5,7.5,26 de febrero - 2025,2025-02-26
El 47,https://www.palomitacas.com/pelicula/ficha/p1174481,1174481,,,,
A Different Man,https://www.palomitacas.com/pelicula/ficha/p989662,989662,6.0,6.0,24 de febrero - 2025,2025-02-24
La semilla de la higuera sagrada,https://www.palomitacas.com/pelicula/ficha/p1278263,1278263,7.0,7.0,22 de febrero - 2025,2025-02-22
Death by Numbers,https://www.palomitacas.com/pelicula/ficha/p1356881,1356881,6.0,6.0,22 de febrero - 2025,2025-02-22
La chica de la aguja,https://www.palomitacas.com/pelicula/ficha/p1232827,1232827,8.0,8.0,21 de febrero - 2025,2025-02-21
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,,,,
Anuja,https://www.palomitacas.com/pelicula/ficha/p1337997,1337997,7.0,7.0,21 de febrero - 2025,2025-02-21
No Other Land,https://www.palomitacas.com/pelicula/ficha/p1232493,1232493,7.5,7.5,21 de febrero - 2025,2025-02-21
What a Feeling,https://www.palomitacas.com/pelicula/ficha/p1240422,1240422,,,,
¡Qué asco!,https://www.palomitacas.com/pelicula/ficha/p1220646,1220646,6.0,6.0,07 de febrero - 2025,2025-02-07
The Apprentice  (La historia de Trump),https://www.palomitacas.com/pelicula/ficha/p1182047,1182047,5.5,5.5,07 de febrero - 2025,2025-02-07
