title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Apolo 13,https://www.palomitacas.com/pelicula/ficha/p568,568,6.0,6.0,04 de enero - 2026,2026-01-04
Menudas piezas,https://www.palomitacas.com/pelicula/ficha/p1175075,1175075,5.5,5.5,27 de diciembre - 2025,2025-12-27
Bajo terapia,https://www.palomitacas.com/pelicula/ficha/p1008003,1008003,,,,
El peor vecino del mundo,https://www.palomitacas.com/pelicula/ficha/p937278,937278,,,,
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,,,,
El fantasma de la libertad,https://www.palomitacas.com/pelicula/ficha/p5558,5558,,,,
J. Edgar,https://www.palomitacas.com/pelicula/ficha/p88794,88794,,,,
Jinetes de la justicia,https://www.palomitacas.com/pelicula/ficha/p663870,663870,,,,
Solaris,https://www.palomitacas.com/pelicula/ficha/p2103,2103,,,,
La tormenta perfecta,https://www.palomitacas.com/pelicula/ficha/p2133,2133,5.5,5.5,04 de octubre - 2025,2025-10-04
Roger Waters: The Wall,https://www.palomitacas.com/pelicula/ficha/p290382,290382,,,,
Embriagado de amor,https://www.palomitacas.com/pelicula/ficha/p8051,8051,,,,
Anima,https://www.palomitacas.com/pelicula/ficha/p610120,610120,,,,
Dos rubias de pelo en pecho,https://www.palomitacas.com/pelicula/ficha/p12153,12153,4.5,4.5,20 de septiembre - 2025,2025-09-20
Destino oculto,https://www.palomitacas.com/pelicula/ficha/p38050,38050,,,,
The Artist,https://www.palomitacas.com/pelicula/ficha/p74643,74643,,,,
20.000 especies de abejas,https://www.palomitacas.com/pelicula/ficha/p1053600,1053600,,,,
Relatos salvajes,https://www.palomitacas.com/pelicula/ficha/p265195,265195,,,,
Sin City: Ciudad del pecado,https://www.palomitacas.com/pelicula/ficha/p187,187,,,,
"Amanece, que no es poco",https://www.palomitacas.com/pelicula/ficha/p20607,20607,,,,
El guateque,https://www.palomitacas.com/pelicula/ficha/p10794,10794,,,,
"Good bye, Lenin!",https://www.palomitacas.com/pelicula/ficha/p338,338,,,,
Mejor... imposible,https://www.palomitacas.com/pelicula/ficha/p2898,2898,,,,
Confesiones,https://www.palomitacas.com/pelicula/ficha/p54186,54186,,,,
Anora,https://www.palomitacas.com/pelicula/ficha/p1064213,1064213,,,,
La profecía,https://www.palomitacas.com/pelicula/ficha/p794,794,,,,
El maestro que prometió el mar,https://www.palomitacas.com/pelicula/ficha/p1024541,1024541,,,,
Guardianes de la Galaxia: Volumen 3,https://www.palomitacas.com/pelicula/ficha/p447365,447365,,,,
