title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,,,,
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
Juego sucio,https://www.palomitacas.com/pelicula/ficha/p941109,941109,,,,
Juegos de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,,,,
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,,,,
"Goblin Slayer, la corona del Goblin",https://www.palomitacas.com/pelicula/ficha/p631132,631132,,,,
Karate Kid: Legends,https://www.palomitacas.com/pelicula/ficha/p1011477,1011477,,,,
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,,,
Carnosaurio 3: Especie mortal,https://www.palomitacas.com/pelicula/ficha/p55667,55667,,,,
Carnosaurios 2,https://www.palomitacas.com/pelicula/ficha/p65460,65460,,,,
Carnosaurios,https://www.palomitacas.com/pelicula/ficha/p39283,39283,,,,
La bestia y la espada mágica,https://www.palomitacas.com/pelicula/ficha/p29909,29909,,,,
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,,,,
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,,,,
Tierra de nadie,https://www.palomitacas.com/pelicula/ficha/p1305273,1305273,,,,
El contable,https://www.palomitacas.com/pelicula/ficha/p302946,302946,,,,
Thunderbolts*,https://www.palomitacas.com/pelicula/ficha/p986056,986056,,,,
La dinastía de la espada,https://www.palomitacas.com/pelicula/ficha/p1235880,1235880,,,,
Un lío de millones,https://www.palomitacas.com/pelicula/ficha/p1296500,1296500,,,,
Dogman,https://www.palomitacas.com/pelicula/ficha/p483184,483184,,,,
Disney Sing-Along Songs from Hercules,https://www.palomitacas.com/pelicula/ficha/p370054,370054,,,,
Hercules,https://www.palomitacas.com/pelicula/ficha/p233013,233013,,,,
A Working Man,https://www.palomitacas.com/pelicula/ficha/p1197306,1197306,,,,
Que el Día de la Madre te acompañe,https://www.palomitacas.com/pelicula/ficha/p1284004,1284004,,,,
Maggie Simpson en,https://www.palomitacas.com/pelicula/ficha/p1121116,1121116,,,,
The Most Wonderful Time of the Year,https://www.palomitacas.com/pelicula/ficha/p1358947,1358947,,,,
Los Simpson y los Bocelli en “Feliz Navidad”,https://www.palomitacas.com/pelicula/ficha/p1058732,1058732,,,,
Los Simpson: Cuando Billie encontró a Lisa,https://www.palomitacas.com/pelicula/ficha/p962659,962659,,,,
Los Simpson: Bienvenidos al club,https://www.palomitacas.com/pelicula/ficha/p1015602,1015602,,,,
¿Es el enemigo? La película de Gila,https://www.palomitacas.com/pelicula/ficha/p1275209,1275209,,,,
The Alto Knights,https://www.palomitacas.com/pelicula/ficha/p1013601,1013601,,,,
Attack on Titan: THE LAST ATTACK,https://www.palomitacas.com/pelicula/ficha/p1333100,1333100,,,,
Capitán América: Brave New World,https://www.palomitacas.com/pelicula/ficha/p822119,822119,,,,
Novocaine,https://www.palomitacas.com/pelicula/ficha/p1195506,1195506,,,,
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,,,,
BASEketball - muchas pelotas en juego,https://www.palomitacas.com/pelicula/ficha/p14013,14013,,,,
Lost Soul: El viaje maldito de Richard Stanley a la isla del Dr. Moreau,https://www.palomitacas.com/pelicula/ficha/p279992,279992,,,,
El dragón rojo,https://www.palomitacas.com/pelicula/ficha/p9533,9533,,,,
Hannibal,https://www.palomitacas.com/pelicula/ficha/p9740,9740,,,,
アルスラーン戦記II,https://www.palomitacas.com/pelicula/ficha/p1183946,1183946,,,,
"Elvira, la reina de las tinieblas",https://www.palomitacas.com/pelicula/ficha/p5680,5680,,,,
El pacto,https://www.palomitacas.com/pelicula/ficha/p882569,882569,,,,
Titán A.E.,https://www.palomitacas.com/pelicula/ficha/p7450,7450,,,,
Los bicivoladores,https://www.palomitacas.com/pelicula/ficha/p17381,17381,,,,
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,,,,
Hotel Bitcoin,https://www.palomitacas.com/pelicula/ficha/p1233083,1233083,,,,
El Jardinero,https://www.palomitacas.com/pelicula/ficha/p1255788,1255788,,,,
La Liga de la Justicia: Crisis en dos tierras,https://www.palomitacas.com/pelicula/ficha/p30061,30061,,,,
La Liga de la Justicia: El trono de Atlantis,https://www.palomitacas.com/pelicula/ficha/p297556,297556,,,,
Arma fatal,https://www.palomitacas.com/pelicula/ficha/p4638,4638,,,,
"Lo Mejor del Chavo del 8, Vol. 1",https://www.palomitacas.com/pelicula/ficha/p1077128,1077128,,,,
El Chavo Del Ocho: Lo Mejor De Don Ramon,https://www.palomitacas.com/pelicula/ficha/p853253,853253,,,,
Star Trek: Section 31,https://www.palomitacas.com/pelicula/ficha/p1114894,1114894,,,,
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,,,,
The Witcher: Sirenas de las profundidades,https://www.palomitacas.com/pelicula/ficha/p1203329,1203329,,,,
Hombre lobo: La bestia entre nosotros,https://www.palomitacas.com/pelicula/ficha/p132137,132137,,,,
El hombre lobo,https://www.palomitacas.com/pelicula/ficha/p7978,7978,,,,
Un hombre lobo americano en París,https://www.palomitacas.com/pelicula/ficha/p9406,9406,,,,
Un hombre lobo americano en Londres,https://www.palomitacas.com/pelicula/ficha/p814,814,,,,
Teen Wolf (De pelo en pecho),https://www.palomitacas.com/pelicula/ficha/p11824,11824,,,,
Kung Fu Basket,https://www.palomitacas.com/pelicula/ficha/p17108,17108,,,,
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,,,,
Desmadre en Camelot,https://www.palomitacas.com/pelicula/ficha/p24793,24793,,,,
Los últimos golpes de El Torete,https://www.palomitacas.com/pelicula/ficha/p132008,132008,,,,
Perros callejeros II,https://www.palomitacas.com/pelicula/ficha/p132001,132001,,,,
Perros callejeros,https://www.palomitacas.com/pelicula/ficha/p47050,47050,,,,
Ruta suicida,https://www.palomitacas.com/pelicula/ficha/p17689,17689,,,,
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,,,,
Ho ho ho Santa Homer,https://www.palomitacas.com/pelicula/ficha/p1399914,1399914,,,,
Mala Persona,https://www.palomitacas.com/pelicula/ficha/p1187364,1187364,,,,
La venganza del conde de Montecristo,https://www.palomitacas.com/pelicula/ficha/p11362,11362,,,,
El conde de Montecristo,https://www.palomitacas.com/pelicula/ficha/p1084736,1084736,,,,
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,,,,
Alienoid: Regreso al futuro,https://www.palomitacas.com/pelicula/ficha/p626412,626412,,,,
Medieval,https://www.palomitacas.com/pelicula/ficha/p551271,551271,,,,
Super Agente Cobra,https://www.palomitacas.com/pelicula/ficha/p81850,81850,,,,
South Park: El fin de la obesidad,https://www.palomitacas.com/pelicula/ficha/p1290938,1290938,,,,
Smile,https://www.palomitacas.com/pelicula/ficha/p882598,882598,,,,
Smile 2,https://www.palomitacas.com/pelicula/ficha/p1100782,1100782,,,,
South Park (No apto para menores),https://www.palomitacas.com/pelicula/ficha/p1219926,1219926,,,,
South Park: Bienvenidos al Complaciverso,https://www.palomitacas.com/pelicula/ficha/p1190012,1190012,,,,
Yo me encargo de la cerveza,https://www.palomitacas.com/pelicula/ficha/p597922,597922,,,,
Apocalipsis Z: el principio del fin,https://www.palomitacas.com/pelicula/ficha/p1118031,1118031,,,,
El hoyo 2,https://www.palomitacas.com/pelicula/ficha/p1125510,1125510,,,,
La trampa,https://www.palomitacas.com/pelicula/ficha/p1032823,1032823,,,,
Los tres mosqueteros: Milady,https://www.palomitacas.com/pelicula/ficha/p845111,845111,,,,
Gru 4. Mi villano favorito,https://www.palomitacas.com/pelicula/ficha/p519182,519182,,,,
Detective Conan 25: La novia de Halloween,https://www.palomitacas.com/pelicula/ficha/p903939,903939,,,,
Golden Kamuy,https://www.palomitacas.com/pelicula/ficha/p1171462,1171462,,,,
El especialista,https://www.palomitacas.com/pelicula/ficha/p746036,746036,,,,
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,,,,
Jackpot!,https://www.palomitacas.com/pelicula/ficha/p1094138,1094138,,,,
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,,,,
El especialista (Ride On),https://www.palomitacas.com/pelicula/ficha/p931102,931102,,,,
Damsel,https://www.palomitacas.com/pelicula/ficha/p763215,763215,,,,
Sin control,https://www.palomitacas.com/pelicula/ficha/p17774,17774,,,,
Wolfs,https://www.palomitacas.com/pelicula/ficha/p877817,877817,,,,
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,,,,
Bitelchús Bitelchús,https://www.palomitacas.com/pelicula/ficha/p917496,917496,,,,
El ministerio de la Guerra Sucia,https://www.palomitacas.com/pelicula/ficha/p799583,799583,,,,
South Park: Las guerras de streaming parte 2,https://www.palomitacas.com/pelicula/ficha/p993729,993729,,,,
South Park: Las Guerras de Streaming,https://www.palomitacas.com/pelicula/ficha/p974691,974691,,,,
South Park - Post Covid: El Retorno del Covid,https://www.palomitacas.com/pelicula/ficha/p874300,874300,,,,
South Park: Post Covid,https://www.palomitacas.com/pelicula/ficha/p874299,874299,,,,
Deadpool y Lobezno,https://www.palomitacas.com/pelicula/ficha/p533535,533535,,,,
Todos los nombres de Dios,https://www.palomitacas.com/pelicula/ficha/p1053592,1053592,,,,
Retribution,https://www.palomitacas.com/pelicula/ficha/p762430,762430,,,,
Superdetective en Hollywood: Axel F.,https://www.palomitacas.com/pelicula/ficha/p280180,280180,,,,
El chico y la garza,https://www.palomitacas.com/pelicula/ficha/p508883,508883,,,,
La sociedad americana de negros mágicos,https://www.palomitacas.com/pelicula/ficha/p1039773,1039773,,,,
劇場版「オーバーロード」聖王国編,https://www.palomitacas.com/pelicula/ficha/p1014505,1014505,,,,
Overlord: The Undead King,https://www.palomitacas.com/pelicula/ficha/p477447,477447,,,,
Overlord: The Dark Hero,https://www.palomitacas.com/pelicula/ficha/p477449,477449,,,,
Políticamente incorrectos,https://www.palomitacas.com/pelicula/ficha/p1151591,1151591,,,,
Fuerza Bruta: Sin salida,https://www.palomitacas.com/pelicula/ficha/p955555,955555,,,,
The Bad Guys,https://www.palomitacas.com/pelicula/ficha/p585831,585831,,,,
Ooh La La!!,https://www.palomitacas.com/pelicula/ficha/p973912,973912,,,,
Ciudad sin ley,https://www.palomitacas.com/pelicula/ficha/p479718,479718,,,,
그라운드 제로,https://www.palomitacas.com/pelicula/ficha/p845264,845264,,,,
Eternals,https://www.palomitacas.com/pelicula/ficha/p524434,524434,,,,
Ricky Stanicky: El Impostor,https://www.palomitacas.com/pelicula/ficha/p1022690,1022690,,,,
El reino del planeta de los simios,https://www.palomitacas.com/pelicula/ficha/p653346,653346,,,,
銀河英雄伝説 Die Neue These 星乱 第3章,https://www.palomitacas.com/pelicula/ficha/p635684,635684,,,,
銀河英雄伝説 Die Neue These 激突 第⼀章,https://www.palomitacas.com/pelicula/ficha/p918427,918427,,,,
銀河英雄伝説 Die Neue These 星乱 第2章,https://www.palomitacas.com/pelicula/ficha/p635686,635686,,,,
銀河英雄伝説 Die Neue These 星乱 第一章,https://www.palomitacas.com/pelicula/ficha/p516052,516052,,,,
銀河英雄伝説 Die Neue These 策謀 2,https://www.palomitacas.com/pelicula/ficha/p1030420,1030420,,,,
Héroes en la galaxia,https://www.palomitacas.com/pelicula/ficha/p154738,154738,,,,
銀河英雄伝説 Die Neue These 策謀 3,https://www.palomitacas.com/pelicula/ficha/p1030422,1030422,,,,
銀河英雄伝説 Die Neue These 激突 第二章,https://www.palomitacas.com/pelicula/ficha/p918428,918428,,,,
銀河英雄伝説 Die Neue These 激突 第三章,https://www.palomitacas.com/pelicula/ficha/p918429,918429,,,,
La Leyenda de los Heroes de la Galaxia: Obertura a una nueva batalla,https://www.palomitacas.com/pelicula/ficha/p154727,154727,,,,
銀河英雄伝説 Die Neue These 策謀 1,https://www.palomitacas.com/pelicula/ficha/p1030419,1030419,,,,
Ginga Eiyuu Densetsu Gaiden: Ougon no Tsubasa,https://www.palomitacas.com/pelicula/ficha/p154501,154501,,,,
"Muere, Hart",https://www.palomitacas.com/pelicula/ficha/p1077280,1077280,,,,
Furiosa: De la saga Mad Max,https://www.palomitacas.com/pelicula/ficha/p786892,786892,,,,
Dragon Ball Super: Super Hero,https://www.palomitacas.com/pelicula/ficha/p610150,610150,,,,
Bad Boys: Ride or Die,https://www.palomitacas.com/pelicula/ficha/p573435,573435,,,,
Negociador,https://www.palomitacas.com/pelicula/ficha/p292631,292631,,,,
Lobos de Arga,https://www.palomitacas.com/pelicula/ficha/p100270,100270,,,,
Extraterrestre,https://www.palomitacas.com/pelicula/ficha/p76333,76333,,,,
Promoción fantasma,https://www.palomitacas.com/pelicula/ficha/p86541,86541,,,,
Cazafantasmas: Imperio helado,https://www.palomitacas.com/pelicula/ficha/p967847,967847,,,,
PSYCHO-PASS サイコパス 3 FIRST INSPECTOR,https://www.palomitacas.com/pelicula/ficha/p655431,655431,,,,
Psycho-Pass: Providence,https://www.palomitacas.com/pelicula/ficha/p1012652,1012652,,,,
Psycho-Pass: Sinners of the System - Caso.3 Mas Allá del Bien y del Mal,https://www.palomitacas.com/pelicula/ficha/p559566,559566,,,,
Psycho-Pass: Sinners of the System - Caso.2 Primer Guardián,https://www.palomitacas.com/pelicula/ficha/p559562,559562,,,,
Psycho-Pass: Sinners of the System - Caso.1 Crimen y Castigo,https://www.palomitacas.com/pelicula/ficha/p510242,510242,,,,
Tratamos demasiado bien a las mujeres,https://www.palomitacas.com/pelicula/ficha/p1209285,1209285,,,,
Godzilla Minus One,https://www.palomitacas.com/pelicula/ficha/p940721,940721,,,,
Psycho-Pass: La película,https://www.palomitacas.com/pelicula/ficha/p296917,296917,,,,
Tokyo Ghoul: Jack,https://www.palomitacas.com/pelicula/ficha/p483685,483685,,,,
Bob Marley: One Love,https://www.palomitacas.com/pelicula/ficha/p802219,802219,,,,
Madame Web,https://www.palomitacas.com/pelicula/ficha/p634492,634492,,,,
No controles,https://www.palomitacas.com/pelicula/ficha/p61905,61905,,,,
Ferrari,https://www.palomitacas.com/pelicula/ficha/p365620,365620,,,,
Ocho apellidos marroquís,https://www.palomitacas.com/pelicula/ficha/p1074049,1074049,,,,
Godzilla y Kong: El nuevo imperio,https://www.palomitacas.com/pelicula/ficha/p823464,823464,,,,
La sombra de Caravaggio,https://www.palomitacas.com/pelicula/ficha/p693349,693349,,,,
Beekeeper: El protector,https://www.palomitacas.com/pelicula/ficha/p866398,866398,,,,
La creación de los dioses: El reino de las tormentas,https://www.palomitacas.com/pelicula/ficha/p856289,856289,,,,
Rebel Moon - Parte dos: La guerrera que deja marcas,https://www.palomitacas.com/pelicula/ficha/p934632,934632,,,,
Dune: Parte dos,https://www.palomitacas.com/pelicula/ficha/p693134,693134,,,,
Alienoid,https://www.palomitacas.com/pelicula/ficha/p601796,601796,,,,
Últimas voluntades,https://www.palomitacas.com/pelicula/ficha/p1131727,1131727,,,,
57 Segundos,https://www.palomitacas.com/pelicula/ficha/p937249,937249,,,,
Road House (De profesión: duro),https://www.palomitacas.com/pelicula/ficha/p359410,359410,,,,
Bowling for Columbine,https://www.palomitacas.com/pelicula/ficha/p1430,1430,,,,
X-Men 2,https://www.palomitacas.com/pelicula/ficha/p36658,36658,,,,
X-Men: La leyenda de Lobezno,https://www.palomitacas.com/pelicula/ficha/p121133,121133,,,,
Argylle,https://www.palomitacas.com/pelicula/ficha/p848538,848538,,,,
Hidden Strike,https://www.palomitacas.com/pelicula/ficha/p457332,457332,,,,
"¡Scooby-Doo! Conoce a Agallas, el perro cobarde",https://www.palomitacas.com/pelicula/ficha/p843906,843906,,,,
Big George Foreman,https://www.palomitacas.com/pelicula/ficha/p878361,878361,,,,
Los asesinos de la luna,https://www.palomitacas.com/pelicula/ficha/p466420,466420,,,,
Mari(dos),https://www.palomitacas.com/pelicula/ficha/p1008009,1008009,,,,
Oppenheimer,https://www.palomitacas.com/pelicula/ficha/p872585,872585,,,,
Desmadre Incluido,https://www.palomitacas.com/pelicula/ficha/p1131929,1131929,,,,
Una noche con Adela,https://www.palomitacas.com/pelicula/ficha/p1117676,1117676,,,,
La flauta mágica,https://www.palomitacas.com/pelicula/ficha/p818110,818110,,,,
