title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Valor sentimental,https://www.palomitacas.com/pelicula/ficha/p1124566,1124566,,,,
Los domingos,https://www.palomitacas.com/pelicula/ficha/p1443576,1443576,,,,
Tardes de soledad,https://www.palomitacas.com/pelicula/ficha/p975324,975324,,,,
Amores Compartidos,https://www.palomitacas.com/pelicula/ficha/p1337562,1337562,,,,
Decorado,https://www.palomitacas.com/pelicula/ficha/p398810,398810,,,,
Un simple accidente,https://www.palomitacas.com/pelicula/ficha/p1456349,1456349,,,,
Dos forajidos (Rust),https://www.palomitacas.com/pelicula/ficha/p710258,710258,,,,
La fotógrafa corsa,https://www.palomitacas.com/pelicula/ficha/p1000127,1000127,,,,
The Mastermind,https://www.palomitacas.com/pelicula/ficha/p1352624,1352624,,,,
Banda sonora para un golpe de estado,https://www.palomitacas.com/pelicula/ficha/p1214539,1214539,,,,
A la deriva,https://www.palomitacas.com/pelicula/ficha/p1136837,1136837,,,,
Despelote,https://www.palomitacas.com/pelicula/ficha/p537921,537921,,,,
Navidad en Baltimore,https://www.palomitacas.com/pelicula/ficha/p1421990,1421990,,,,
Un gran equipo,https://www.palomitacas.com/pelicula/ficha/p888768,888768,,,,
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,,,,
La asistenta,https://www.palomitacas.com/pelicula/ficha/p1368166,1368166,,,,
Maldita trinidad,https://www.palomitacas.com/pelicula/ficha/p1195518,1195518,,,,
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,,,,
El regreso de Ulises,https://www.palomitacas.com/pelicula/ficha/p975511,975511,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,,,,
Mi postre favorito,https://www.palomitacas.com/pelicula/ficha/p1234591,1234591,,,,
Mi mitad perdida,https://www.palomitacas.com/pelicula/ficha/p1245347,1245347,,,,
La mujer que sabía demasiado,https://www.palomitacas.com/pelicula/ficha/p1320414,1320414,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,8.0,8.0,04 de diciembre - 2025,2025-12-31
Blue Moon,https://www.palomitacas.com/pelicula/ficha/p1299655,1299655,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,,,,
Train Dreams,https://www.palomitacas.com/pelicula/ficha/p1241983,1241983,,,,
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,,,,
صوت هند رجب,https://www.palomitacas.com/pelicula/ficha/p1480382,1480382,,,,
Springsteen: Deliver Me from Nowhere,https://www.palomitacas.com/pelicula/ficha/p1230368,1230368,,,,
Good Boy,https://www.palomitacas.com/pelicula/ficha/p1422096,1422096,,,,
The Furious,https://www.palomitacas.com/pelicula/ficha/p1280738,1280738,,,,
Together,https://www.palomitacas.com/pelicula/ficha/p1242011,1242011,,,,
Dead Man's Wire,https://www.palomitacas.com/pelicula/ficha/p1263012,1263012,,,,
Father Mother Sister Brother,https://www.palomitacas.com/pelicula/ficha/p1159206,1159206,,,,
Mother Father Sister Brother Frank,https://www.palomitacas.com/pelicula/ficha/p1267643,1267643,,,,
Caza de brujas,https://www.palomitacas.com/pelicula/ficha/p1265063,1265063,,,,
어쩔수가없다,https://www.palomitacas.com/pelicula/ficha/p639988,639988,,,,
La Grazia,https://www.palomitacas.com/pelicula/ficha/p1397364,1397364,,,,
The History of Sound,https://www.palomitacas.com/pelicula/ficha/p891584,891584,,,,
Alpha,https://www.palomitacas.com/pelicula/ficha/p1284460,1284460,,,,
The Monkey,https://www.palomitacas.com/pelicula/ficha/p1124620,1124620,,,,
El baño del diablo,https://www.palomitacas.com/pelicula/ficha/p931944,931944,,,,
Queer,https://www.palomitacas.com/pelicula/ficha/p1059128,1059128,5.0,5.0,25 de noviembre - 2025,2025-12-07
Presence,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,6.0,6.0,25 de noviembre - 2025,2025-12-15
María Callas,https://www.palomitacas.com/pelicula/ficha/p1038263,1038263,5.5,5.5,25 de noviembre - 2025,2025-12-16
Los sudarios,https://www.palomitacas.com/pelicula/ficha/p970947,970947,5.0,5.0,25 de noviembre - 2025,2025-12-11
The Surfer,https://www.palomitacas.com/pelicula/ficha/p1128655,1128655,,,,
Amor en Oslo,https://www.palomitacas.com/pelicula/ficha/p1228685,1228685,,,,
Corazones Jóvenes,https://www.palomitacas.com/pelicula/ficha/p1232449,1232449,,,,
Downton Abbey: El gran final,https://www.palomitacas.com/pelicula/ficha/p1289936,1289936,7.0,7.0,16 de noviembre - 2025,2025-12-22
Never Alone (Nunca más),https://www.palomitacas.com/pelicula/ficha/p563470,563470,,,,
Good Fortune,https://www.palomitacas.com/pelicula/ficha/p1114967,1114967,,,,
Die My Love,https://www.palomitacas.com/pelicula/ficha/p1033148,1033148,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Black Dog,https://www.palomitacas.com/pelicula/ficha/p1249423,1249423,,,,
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Maldita suerte,https://www.palomitacas.com/pelicula/ficha/p1272166,1272166,,,,
Las ratas: una historia de The Witcher,https://www.palomitacas.com/pelicula/ficha/p1571470,1571470,5.0,5.0,06 de noviembre - 2025,2025-12-01
Diamanti,https://www.palomitacas.com/pelicula/ficha/p1299046,1299046,,,,
Una casa llena de dinamita,https://www.palomitacas.com/pelicula/ficha/p1290159,1290159,,,,
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,,,,
Eden,https://www.palomitacas.com/pelicula/ficha/p1042834,1042834,,,,
Cuatro madres,https://www.palomitacas.com/pelicula/ficha/p1081196,1081196,,,,
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,8.5,8.5,25 de octubre - 2025,2025-11-15
굿뉴스,https://www.palomitacas.com/pelicula/ficha/p1296404,1296404,,,,
La furgo,https://www.palomitacas.com/pelicula/ficha/p1375097,1375097,,,,
Un fantasma en la batalla,https://www.palomitacas.com/pelicula/ficha/p1275151,1275151,,,,
Todo saldrá bien,https://www.palomitacas.com/pelicula/ficha/p1157680,1157680,,,,
TRON: Ares,https://www.palomitacas.com/pelicula/ficha/p533533,533533,6.0,6.0,17 de octubre - 2025,2025-12-09
The Baker,https://www.palomitacas.com/pelicula/ficha/p823395,823395,6.5,6.5,15 de octubre - 2025,2025-10-15
El caso Frieda,https://www.palomitacas.com/pelicula/ficha/p1314398,1314398,,,,
La mujer que nunca existió,https://www.palomitacas.com/pelicula/ficha/p1108795,1108795,,,,
Sonido de Esperanza: La historia de Possum Trot,https://www.palomitacas.com/pelicula/ficha/p1242526,1242526,,,,
La zona vacía,https://www.palomitacas.com/pelicula/ficha/p1255700,1255700,,,,
Partisanos,https://www.palomitacas.com/pelicula/ficha/p1159939,1159939,,,,
Magazine Dreams,https://www.palomitacas.com/pelicula/ficha/p784524,784524,,,,
Marco: la verdad inventada,https://www.palomitacas.com/pelicula/ficha/p1195100,1195100,,,,
Laberinto en llamas,https://www.palomitacas.com/pelicula/ficha/p1236470,1236470,,,,
La receta perfecta,https://www.palomitacas.com/pelicula/ficha/p1079310,1079310,,,,
Tres kilómetros al fin del mundo,https://www.palomitacas.com/pelicula/ficha/p1278338,1278338,,,,
La maldición de la tumba de Tutankamon,https://www.palomitacas.com/pelicula/ficha/p15056,15056,6.5,6.5,29 de septiembre - 2025,2025-09-29
The Smashing Machine,https://www.palomitacas.com/pelicula/ficha/p760329,760329,,,,
La gran ambición,https://www.palomitacas.com/pelicula/ficha/p1193421,1193421,,,,
Mirando a través del agua,https://www.palomitacas.com/pelicula/ficha/p1044768,1044768,,,,
Relay,https://www.palomitacas.com/pelicula/ficha/p1088166,1088166,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,,,,
Érase una vez mi madre,https://www.palomitacas.com/pelicula/ficha/p1107215,1107215,,,,
