title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Sin cobertura,https://www.palomitacas.com/pelicula/ficha/p1370124,1370124,3.0,3.0,27 de diciembre - 2025,2025-12-27
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,22 de noviembre - 2025,2025-11-22
Black Phone 2,https://www.palomitacas.com/pelicula/ficha/p1197137,1197137,,,,
La novia cadáver,https://www.palomitacas.com/pelicula/ficha/p3933,3933,8.0,8.0,26 de octubre - 2025,2025-10-25
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,7.5,7.5,30 de agosto - 2025,2025-08-29
Tesis,https://www.palomitacas.com/pelicula/ficha/p9299,9299,8.0,8.0,23 de agosto - 2025,2025-08-23
Arrietty y el mundo de los diminutos,https://www.palomitacas.com/pelicula/ficha/p51739,51739,8.0,8.0,23 de agosto - 2025,2025-08-22
Rango,https://www.palomitacas.com/pelicula/ficha/p44896,44896,7.0,7.0,24 de julio - 2025,2025-07-24
Hermana Muerte,https://www.palomitacas.com/pelicula/ficha/p955531,955531,7.0,7.0,17 de julio - 2025,2025-07-17
Lluvia de albóndigas,https://www.palomitacas.com/pelicula/ficha/p22794,22794,6.5,6.5,17 de julio - 2025,2025-07-16
Chicken Run: Amanecer de los nuggets,https://www.palomitacas.com/pelicula/ficha/p520758,520758,6.0,6.0,20 de junio - 2025,2025-06-20
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.5,7.5,14 de junio - 2025,2025-06-14
Nosotros,https://www.palomitacas.com/pelicula/ficha/p458723,458723,6.0,6.0,13 de junio - 2025,2025-06-13
Wallace y Gromit: La venganza se sirve con plumas,https://www.palomitacas.com/pelicula/ficha/p929204,929204,7.0,7.0,31 de mayo - 2025,2025-05-31
Mickey 17,https://www.palomitacas.com/pelicula/ficha/p696506,696506,6.5,6.5,18 de mayo - 2025,2025-05-23
Porco Rosso,https://www.palomitacas.com/pelicula/ficha/p11621,11621,7.5,7.5,17 de abril - 2025,2025-04-17
Mufasa: El rey león,https://www.palomitacas.com/pelicula/ficha/p762509,762509,7.0,7.0,16 de abril - 2025,2025-04-16
Road House (De profesión: duro),https://www.palomitacas.com/pelicula/ficha/p359410,359410,,,,
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,6.5,6.5,21 de marzo - 2025,2025-03-21
Malasaña 32,https://www.palomitacas.com/pelicula/ficha/p639798,639798,5.0,5.0,09 de marzo - 2025,2025-03-07
Ratatouille,https://www.palomitacas.com/pelicula/ficha/p2062,2062,7.5,7.5,02 de marzo - 2025,2025-03-01
Poltergeist,https://www.palomitacas.com/pelicula/ficha/p243688,243688,4.0,4.0,01 de febrero - 2025,2025-02-01
El señor de los anillos: La guerra de los Rohirrim,https://www.palomitacas.com/pelicula/ficha/p839033,839033,7.5,7.5,06 de enero - 2025,2025-02-28
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,8.0,8.0,06 de enero - 2025,2025-02-08
Kingsman: El círculo de oro,https://www.palomitacas.com/pelicula/ficha/p343668,343668,7.0,7.0,06 de enero - 2025,2025-01-06
Guerra Mundial Z,https://www.palomitacas.com/pelicula/ficha/p72190,72190,6.0,6.0,05 de enero - 2025,2025-01-04
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,,,,
Venom: El último baile,https://www.palomitacas.com/pelicula/ficha/p912649,912649,,,,
Deadpool 2,https://www.palomitacas.com/pelicula/ficha/p383498,383498,7.0,7.0,08 de diciembre - 2024,2019-11-09
La herencia Valdemar II: La sombra prohibida,https://www.palomitacas.com/pelicula/ficha/p299340,299340,5.5,5.5,22 de noviembre - 2024,2024-11-22
The King's Man: La primera misión,https://www.palomitacas.com/pelicula/ficha/p476669,476669,7.0,7.0,02 de noviembre - 2024,2024-11-02
El bosque,https://www.palomitacas.com/pelicula/ficha/p6947,6947,6.0,6.0,19 de octubre - 2024,2024-10-19
El misterio de Salem's Lot,https://www.palomitacas.com/pelicula/ficha/p748230,748230,5.0,5.0,04 de octubre - 2024,2024-10-04
Bitelchús Bitelchús,https://www.palomitacas.com/pelicula/ficha/p917496,917496,7.5,7.5,22 de septiembre - 2024,2024-12-25
