title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Sisu: Camino a la venganza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Assassination Classroom,https://www.palomitacas.com/pelicula/ficha/p349176,349176,3.0,3.0,14 de noviembre - 2025,2025-11-14
Born of Hope,https://www.palomitacas.com/pelicula/ficha/p1576537,1576537,9.0,9.0,14 de noviembre - 2025,2025-11-14
Predator: Badlands,https://www.palomitacas.com/pelicula/ficha/p1242898,1242898,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
¡Canta!: Thriller,https://www.palomitacas.com/pelicula/ficha/p1371727,1371727,6.0,6.0,21 de septiembre - 2025,2025-09-21
F1 la película,https://www.palomitacas.com/pelicula/ficha/p911430,911430,,,,
Superman,https://www.palomitacas.com/pelicula/ficha/p1061474,1061474,6.5,6.5,05 de septiembre - 2025,2025-09-24
Borderlands,https://www.palomitacas.com/pelicula/ficha/p365177,365177,3.0,3.0,25 de agosto - 2025,2025-08-25
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,,,,
El arrecife: Atrapadas,https://www.palomitacas.com/pelicula/ficha/p730167,730167,3.0,3.0,05 de agosto - 2025,2025-08-05
Tiburón 3D: La presa,https://www.palomitacas.com/pelicula/ficha/p65055,65055,4.0,4.0,04 de agosto - 2025,2025-08-05
Guardianes de la noche: Kimetsu no Yaiba - La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,8.0,8.0,01 de agosto - 2025,2025-09-21
Expediente Warren: El caso Enfield,https://www.palomitacas.com/pelicula/ficha/p259693,259693,6.5,6.5,20 de julio - 2025,2025-07-19
El imperio del fuego,https://www.palomitacas.com/pelicula/ficha/p6278,6278,,,,
ปากกัด ตีนถีบ,https://www.palomitacas.com/pelicula/ficha/p1429744,1429744,5.0,5.0,09 de julio - 2025,2025-07-09
Caperucita Roja,https://www.palomitacas.com/pelicula/ficha/p49730,49730,6.0,6.0,03 de julio - 2025,2025-11-14
Tres mil años esperándote,https://www.palomitacas.com/pelicula/ficha/p556694,556694,,,,
El cabo del miedo,https://www.palomitacas.com/pelicula/ficha/p1598,1598,,,,
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,,,,
La mujer avispa,https://www.palomitacas.com/pelicula/ficha/p27545,27545,3.0,3.0,18 de junio - 2025,2025-06-18
Battle of Dunkirk: From Disaster to Triumph,https://www.palomitacas.com/pelicula/ficha/p917901,917901,6.0,6.0,13 de junio - 2025,2025-06-13
