title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,7.0,7.0,21 de diciembre - 2025,2025-12-19
Sin señal,https://www.palomitacas.com/pelicula/ficha/p864101,864101,5.5,5.5,29 de noviembre - 2025,2025-11-29
Aliens vs. Predator 2,https://www.palomitacas.com/pelicula/ficha/p440,440,4.0,4.0,23 de noviembre - 2025,2025-11-23
Depredador 2,https://www.palomitacas.com/pelicula/ficha/p169,169,5.5,5.5,22 de noviembre - 2025,2025-11-22
Predator: Asesino de asesinos,https://www.palomitacas.com/pelicula/ficha/p1376434,1376434,7.0,7.0,15 de noviembre - 2025,2025-11-15
Código 3,https://www.palomitacas.com/pelicula/ficha/p1161617,1161617,7.0,7.0,09 de noviembre - 2025,2025-11-08
New Life,https://www.palomitacas.com/pelicula/ficha/p1148027,1148027,5.0,5.0,30 de octubre - 2025,2025-10-30
El frío en los huesos,https://www.palomitacas.com/pelicula/ficha/p1075335,1075335,5.0,5.0,25 de octubre - 2025,2025-10-24
Gravedad cero,https://www.palomitacas.com/pelicula/ficha/p650033,650033,5.5,5.5,16 de octubre - 2025,2025-10-16
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,8.0,8.0,15 de octubre - 2025,2025-10-15
1984,https://www.palomitacas.com/pelicula/ficha/p9314,9314,7.0,7.0,12 de octubre - 2025,2025-10-12
Buen trabajo,https://www.palomitacas.com/pelicula/ficha/p14626,14626,5.0,5.0,29 de septiembre - 2025,2025-09-29
La piel fría,https://www.palomitacas.com/pelicula/ficha/p428399,428399,5.0,5.0,20 de septiembre - 2025,2025-09-19
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",https://www.palomitacas.com/pelicula/ficha/p44012,44012,6.0,6.0,19 de septiembre - 2025,2025-09-19
Memorias de un caracol,https://www.palomitacas.com/pelicula/ficha/p1064486,1064486,7.5,7.5,13 de septiembre - 2025,2025-09-13
La balada de Cable Hogue,https://www.palomitacas.com/pelicula/ficha/p23330,23330,7.5,7.5,25 de agosto - 2025,2025-08-25
Misión: Imposible - Sentencia final,https://www.palomitacas.com/pelicula/ficha/p575265,575265,7.0,7.0,23 de agosto - 2025,2025-12-25
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,7.0,7.0,23 de agosto - 2025,2025-10-31
+Cuñados,https://www.palomitacas.com/pelicula/ficha/p1248528,1248528,5.0,5.0,17 de agosto - 2025,2025-08-16
Jurassic World: El renacer,https://www.palomitacas.com/pelicula/ficha/p1234821,1234821,6.5,6.5,15 de agosto - 2025,2025-08-14
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,5.5,5.5,13 de agosto - 2025,2025-08-07
Perdido en la montaña,https://www.palomitacas.com/pelicula/ficha/p1197619,1197619,5.5,5.5,12 de julio - 2025,2025-07-10
El contable 2,https://www.palomitacas.com/pelicula/ficha/p870028,870028,7.0,7.0,21 de junio - 2025,2025-06-20
La fuente de la eterna juventud,https://www.palomitacas.com/pelicula/ficha/p1098006,1098006,5.5,5.5,20 de junio - 2025,2025-06-19
