title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Autosuficiencia,https://www.palomitacas.com/pelicula/ficha/p1072876,1072876,6.5,6.5,04 de enero - 2026,2026-01-04
Trap House,https://www.palomitacas.com/pelicula/ficha/p628847,628847,5.5,5.5,02 de enero - 2026,2026-01-02
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,,,,
The Holiday (Vacaciones),https://www.palomitacas.com/pelicula/ficha/p1581,1581,7.0,7.0,01 de enero - 2026,2026-01-01
La educación de Polly McClusky,https://www.palomitacas.com/pelicula/ficha/p1196573,1196573,6.5,6.5,30 de diciembre - 2025,2025-12-30
El castillo ambulante,https://www.palomitacas.com/pelicula/ficha/p4935,4935,8.5,8.5,28 de diciembre - 2025,2025-12-31
Nacida para ganar,https://www.palomitacas.com/pelicula/ficha/p331642,331642,4.5,4.5,28 de diciembre - 2025,2025-12-28
Ventajas de viajar en tren,https://www.palomitacas.com/pelicula/ficha/p587986,587986,6.0,6.0,28 de diciembre - 2025,2025-12-28
Gisaku,https://www.palomitacas.com/pelicula/ficha/p50007,50007,6.0,6.0,28 de diciembre - 2025,2025-12-28
Atrapado en el pasado. Se acabó la buena vida,https://www.palomitacas.com/pelicula/ficha/p575828,575828,6.0,6.0,28 de diciembre - 2025,2025-12-28
Ojos de fuego,https://www.palomitacas.com/pelicula/ficha/p532710,532710,4.0,4.0,28 de diciembre - 2025,2025-12-28
El gran diluvio,https://www.palomitacas.com/pelicula/ficha/p982843,982843,5.5,5.5,28 de diciembre - 2025,2025-12-28
Fritos a balazos,https://www.palomitacas.com/pelicula/ficha/p1181540,1181540,6.0,6.0,27 de diciembre - 2025,2025-12-27
Chinese Zodiac: La armadura de Dios,https://www.palomitacas.com/pelicula/ficha/p98567,98567,6.0,6.0,27 de diciembre - 2025,2025-12-27
La armadura de Dios,https://www.palomitacas.com/pelicula/ficha/p10974,10974,6.5,6.5,27 de diciembre - 2025,2025-12-27
Los diez locos mandamientos,https://www.palomitacas.com/pelicula/ficha/p13173,13173,3.0,3.0,27 de diciembre - 2025,2025-12-27
El jaguar,https://www.palomitacas.com/pelicula/ficha/p54471,54471,6.0,6.0,24 de diciembre - 2025,2025-12-24
Tigre y dragón,https://www.palomitacas.com/pelicula/ficha/p146,146,7.0,7.0,24 de diciembre - 2025,2025-12-24
Tigre y dragón 2: La espada del destino,https://www.palomitacas.com/pelicula/ficha/p263341,263341,6.5,6.5,24 de diciembre - 2025,2025-12-24
Stealth: La amenaza invisible,https://www.palomitacas.com/pelicula/ficha/p10048,10048,6.0,6.0,20 de diciembre - 2025,2025-12-20
El luchador definitivo,https://www.palomitacas.com/pelicula/ficha/p1053008,1053008,3.0,3.0,14 de diciembre - 2025,2025-12-14
El círculo,https://www.palomitacas.com/pelicula/ficha/p339988,339988,6.0,6.0,13 de diciembre - 2025,2025-12-13
Cuentos de Terramar,https://www.palomitacas.com/pelicula/ficha/p37933,37933,7.5,7.5,08 de diciembre - 2025,2026-01-03
Jay Kelly,https://www.palomitacas.com/pelicula/ficha/p1069905,1069905,6.0,6.0,08 de diciembre - 2025,2025-12-08
Uno equis dos,https://www.palomitacas.com/pelicula/ficha/p1451296,1451296,6.5,6.5,05 de diciembre - 2025,2025-12-05
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Tiempo de asesinos,https://www.palomitacas.com/pelicula/ficha/p1552819,1552819,4.5,4.5,30 de noviembre - 2025,2025-11-30
El pato Donald: Chip y Chop,https://www.palomitacas.com/pelicula/ficha/p53478,53478,7.0,7.0,30 de noviembre - 2025,2025-11-30
Altered,https://www.palomitacas.com/pelicula/ficha/p1309012,1309012,,,,
En tierra de santos y pecadores,https://www.palomitacas.com/pelicula/ficha/p1027073,1027073,6.0,6.0,24 de noviembre - 2025,2025-12-26
Absolución,https://www.palomitacas.com/pelicula/ficha/p974453,974453,4.5,4.5,24 de noviembre - 2025,2025-12-08
捕风追影,https://www.palomitacas.com/pelicula/ficha/p1419406,1419406,,,,
JUJUTSU KAISEN: Ejecución,https://www.palomitacas.com/pelicula/ficha/p1539104,1539104,,,,
Suegros de alquiler 2.0. Agencia de engaños,https://www.palomitacas.com/pelicula/ficha/p967585,967585,6.5,6.5,22 de noviembre - 2025,2025-11-22
Los Juegos del Hambre: Amanecer en la Cosecha,https://www.palomitacas.com/pelicula/ficha/p1300968,1300968,,,,
Sisu: Camino a la vengaza,https://www.palomitacas.com/pelicula/ficha/p1223601,1223601,5.5,5.5,22 de noviembre - 2025,2025-12-28
Street Fighter,https://www.palomitacas.com/pelicula/ficha/p1153576,1153576,,,,
Ladrones con clase,https://www.palomitacas.com/pelicula/ficha/p1116490,1116490,5.5,5.5,22 de noviembre - 2025,2025-11-22
"Colega, ¿dónde está mi coche?",https://www.palomitacas.com/pelicula/ficha/p8859,8859,5.5,5.5,21 de noviembre - 2025,2025-11-21
Ahora o nunca,https://www.palomitacas.com/pelicula/ficha/p7350,7350,7.5,7.5,21 de noviembre - 2025,2025-11-21
El callejón de las almas perdidas,https://www.palomitacas.com/pelicula/ficha/p597208,597208,6.5,6.5,21 de noviembre - 2025,2025-11-21
Proyecto salvación,https://www.palomitacas.com/pelicula/ficha/p687163,687163,,,,
La aventura infinita,https://www.palomitacas.com/pelicula/ficha/p586380,586380,5.0,5.0,20 de noviembre - 2025,2025-11-20
Dora y la búsqueda del Sol Dorado,https://www.palomitacas.com/pelicula/ficha/p1287536,1287536,5.5,5.5,20 de noviembre - 2025,2025-11-20
Ataque a los Titanes,https://www.palomitacas.com/pelicula/ficha/p295830,295830,5.0,5.0,20 de noviembre - 2025,2025-11-20
Ataque a los Titanes 2: El fin del mundo,https://www.palomitacas.com/pelicula/ficha/p340382,340382,5.0,5.0,20 de noviembre - 2025,2025-11-20
El quinto elemento,https://www.palomitacas.com/pelicula/ficha/p18,18,,,,
"Fievel, el misterio del monstruo nocturno",https://www.palomitacas.com/pelicula/ficha/p27653,27653,6.0,6.0,18 de noviembre - 2025,2025-11-18
Fievel en Manhattan,https://www.palomitacas.com/pelicula/ficha/p31473,31473,6.5,6.5,18 de noviembre - 2025,2025-11-18
Fievel va al Oeste,https://www.palomitacas.com/pelicula/ficha/p10380,10380,6.5,6.5,18 de noviembre - 2025,2025-11-18
Los otros,https://www.palomitacas.com/pelicula/ficha/p1933,1933,6.5,6.5,18 de noviembre - 2025,2025-11-18
La muerte tenía un precio,https://www.palomitacas.com/pelicula/ficha/p938,938,7.0,7.0,18 de noviembre - 2025,2025-11-18
Spider-Man: Beyond the Spider-Verse,https://www.palomitacas.com/pelicula/ficha/p911916,911916,,,,
La herencia del tío,https://www.palomitacas.com/pelicula/ficha/p1279433,1279433,5.0,5.0,18 de noviembre - 2025,2025-11-18
El Gato con Botas: El último deseo,https://www.palomitacas.com/pelicula/ficha/p315162,315162,7.5,7.5,18 de noviembre - 2025,2025-11-18
Materialistas,https://www.palomitacas.com/pelicula/ficha/p1136867,1136867,,,,
Toy Story 5,https://www.palomitacas.com/pelicula/ficha/p1084244,1084244,,,,
Trol 2,https://www.palomitacas.com/pelicula/ficha/p1180831,1180831,6.0,6.0,17 de noviembre - 2025,2025-12-05
Votemos,https://www.palomitacas.com/pelicula/ficha/p1380651,1380651,6.5,6.5,17 de noviembre - 2025,2025-11-20
El casoplón,https://www.palomitacas.com/pelicula/ficha/p1336928,1336928,5.0,5.0,17 de noviembre - 2025,2025-11-21
Vengadores: Secret Wars,https://www.palomitacas.com/pelicula/ficha/p1003598,1003598,,,,
El retorno del Jedi,https://www.palomitacas.com/pelicula/ficha/p1892,1892,8.0,8.0,17 de noviembre - 2025,2025-11-17
El imperio contraataca,https://www.palomitacas.com/pelicula/ficha/p1891,1891,8.0,8.0,17 de noviembre - 2025,2025-11-17
La guerra de las galaxias,https://www.palomitacas.com/pelicula/ficha/p11,11,8.0,8.0,17 de noviembre - 2025,2025-11-17
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,,,,
"Lucky Luke, el intrépido",https://www.palomitacas.com/pelicula/ficha/p52761,52761,7.0,7.0,17 de noviembre - 2025,2025-11-17
Lucky Luke: La balada de los Dalton,https://www.palomitacas.com/pelicula/ficha/p50166,50166,7.0,7.0,17 de noviembre - 2025,2025-11-17
Roofman,https://www.palomitacas.com/pelicula/ficha/p1242419,1242419,,,,
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
City Hunter y el perfume de Cupido,https://www.palomitacas.com/pelicula/ficha/p469274,469274,,,,
Y ella dijo quizás,https://www.palomitacas.com/pelicula/ficha/p1509871,1509871,5.0,5.0,16 de noviembre - 2025,2025-11-16
Good Fortune,https://www.palomitacas.com/pelicula/ficha/p1114967,1114967,,,,
Operación IA IA Oh,https://www.palomitacas.com/pelicula/ficha/p1408756,1408756,6.0,6.0,16 de noviembre - 2025,2025-11-16
La Navidad en sus manos,https://www.palomitacas.com/pelicula/ficha/p1100763,1100763,5.5,5.5,16 de noviembre - 2025,2025-11-22
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,6.0,6.0,16 de noviembre - 2025,2025-12-12
La chispa de la vida,https://www.palomitacas.com/pelicula/ficha/p84797,84797,6.0,6.0,16 de noviembre - 2025,2025-11-16
Lucía y el sexo,https://www.palomitacas.com/pelicula/ficha/p1364,1364,7.0,7.0,16 de noviembre - 2025,2025-11-16
Superagente 86 de película,https://www.palomitacas.com/pelicula/ficha/p11665,11665,,,,
Mula,https://www.palomitacas.com/pelicula/ficha/p504172,504172,7.0,7.0,16 de noviembre - 2025,2025-11-16
Gran Torino,https://www.palomitacas.com/pelicula/ficha/p13223,13223,8.0,8.0,16 de noviembre - 2025,2025-11-16
El gato con botas,https://www.palomitacas.com/pelicula/ficha/p417859,417859,7.0,7.0,16 de noviembre - 2025,2025-11-18
Juego de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,6.5,6.5,15 de noviembre - 2025,2025-11-15
Sweeney Todd: El barbero diabólico de la calle Fleet,https://www.palomitacas.com/pelicula/ficha/p13885,13885,7.0,7.0,15 de noviembre - 2025,2025-11-15
Princesa por sorpresa 2,https://www.palomitacas.com/pelicula/ficha/p11130,11130,6.0,6.0,15 de noviembre - 2025,2025-11-15
Infiel,https://www.palomitacas.com/pelicula/ficha/p2251,2251,6.0,6.0,15 de noviembre - 2025,2025-11-15
The Simpsons: Christmas,https://www.palomitacas.com/pelicula/ficha/p464779,464779,7.5,7.5,15 de noviembre - 2025,2025-11-15
Firewall,https://www.palomitacas.com/pelicula/ficha/p9754,9754,6.0,6.0,15 de noviembre - 2025,2025-11-15
Brüno,https://www.palomitacas.com/pelicula/ficha/p18480,18480,,,,
Cowboys & Aliens,https://www.palomitacas.com/pelicula/ficha/p49849,49849,,,,
Bajo un volcán,https://www.palomitacas.com/pelicula/ficha/p1310879,1310879,5.0,5.0,15 de noviembre - 2025,2025-11-15
Astérix y el golpe de menhir,https://www.palomitacas.com/pelicula/ficha/p11625,11625,7.0,7.0,15 de noviembre - 2025,2025-11-15
Astérix y la sorpresa del César,https://www.palomitacas.com/pelicula/ficha/p8868,8868,7.0,7.0,15 de noviembre - 2025,2025-11-15
Astérix y Cleopatra,https://www.palomitacas.com/pelicula/ficha/p9929,9929,7.5,7.5,15 de noviembre - 2025,2025-11-15
En sueños,https://www.palomitacas.com/pelicula/ficha/p1117857,1117857,7.5,7.5,14 de noviembre - 2025,2025-11-14
Red de traición,https://www.palomitacas.com/pelicula/ficha/p1093995,1093995,,,,
Toy Story Toons: Vacaciones en Hawái,https://www.palomitacas.com/pelicula/ficha/p77887,77887,6.5,6.5,14 de noviembre - 2025,2025-11-14
Presto,https://www.palomitacas.com/pelicula/ficha/p13042,13042,7.5,7.5,14 de noviembre - 2025,2025-11-14
El hombre orquesta,https://www.palomitacas.com/pelicula/ficha/p13933,13933,7.5,7.5,14 de noviembre - 2025,2025-11-14
Abducido,https://www.palomitacas.com/pelicula/ficha/p13060,13060,7.5,7.5,14 de noviembre - 2025,2025-11-14
La misión especial de Dug,https://www.palomitacas.com/pelicula/ficha/p24589,24589,6.5,6.5,14 de noviembre - 2025,2025-11-14
Tu amiga la rata,https://www.palomitacas.com/pelicula/ficha/p13061,13061,6.5,6.5,14 de noviembre - 2025,2025-11-14
La leyenda de Mordú,https://www.palomitacas.com/pelicula/ficha/p141423,141423,6.0,6.0,14 de noviembre - 2025,2025-11-14
Liberad a Willy 3: El rescate,https://www.palomitacas.com/pelicula/ficha/p18519,18519,5.0,5.0,14 de noviembre - 2025,2025-11-14
Liberad a Willy 2,https://www.palomitacas.com/pelicula/ficha/p9073,9073,5.5,5.5,14 de noviembre - 2025,2025-11-14
Sahara,https://www.palomitacas.com/pelicula/ficha/p7364,7364,6.0,6.0,14 de noviembre - 2025,2025-11-14
El inocente,https://www.palomitacas.com/pelicula/ficha/p50348,50348,7.0,7.0,14 de noviembre - 2025,2025-11-14
Criminal,https://www.palomitacas.com/pelicula/ficha/p302156,302156,6.0,6.0,14 de noviembre - 2025,2025-11-14
El espíritu de la Navidad,https://www.palomitacas.com/pelicula/ficha/p632856,632856,,,,
Imparable,https://www.palomitacas.com/pelicula/ficha/p44048,44048,6.5,6.5,14 de noviembre - 2025,2025-11-14
Un papá de película,https://www.palomitacas.com/pelicula/ficha/p56195,56195,6.0,6.0,14 de noviembre - 2025,2025-11-14
Pasaporte a París,https://www.palomitacas.com/pelicula/ficha/p54004,54004,6.0,6.0,14 de noviembre - 2025,2025-11-14
Dos en el oeste,https://www.palomitacas.com/pelicula/ficha/p50326,50326,6.0,6.0,14 de noviembre - 2025,2025-11-14
Campeonas por igual,https://www.palomitacas.com/pelicula/ficha/p36251,36251,6.0,6.0,14 de noviembre - 2025,2025-11-14
Aventura en Las Bahamas,https://www.palomitacas.com/pelicula/ficha/p35703,35703,6.0,6.0,14 de noviembre - 2025,2025-11-14
Un verano en Roma,https://www.palomitacas.com/pelicula/ficha/p39227,39227,6.0,6.0,14 de noviembre - 2025,2025-11-14
Isi/Disi - Amor a lo bestia,https://www.palomitacas.com/pelicula/ficha/p48635,48635,6.0,6.0,13 de noviembre - 2025,2025-11-13
La guerra de los mundos,https://www.palomitacas.com/pelicula/ficha/p74,74,6.5,6.5,13 de noviembre - 2025,2025-11-13
Bailando (Step Up),https://www.palomitacas.com/pelicula/ficha/p9762,9762,7.0,7.0,13 de noviembre - 2025,2025-11-13
Enemigos públicos,https://www.palomitacas.com/pelicula/ficha/p11322,11322,7.0,7.0,13 de noviembre - 2025,2025-11-13
El destino de Júpiter,https://www.palomitacas.com/pelicula/ficha/p76757,76757,6.0,6.0,13 de noviembre - 2025,2025-11-13
Ojo por ojo,https://www.palomitacas.com/pelicula/ficha/p46570,46570,6.0,6.0,11 de noviembre - 2025,2025-11-11
"¡Más fuerte, muchachos!",https://www.palomitacas.com/pelicula/ficha/p1721,1721,6.0,6.0,11 de noviembre - 2025,2025-11-11
Dos misioneros,https://www.palomitacas.com/pelicula/ficha/p11681,11681,6.0,6.0,11 de noviembre - 2025,2025-11-11
Dos superpolicías,https://www.palomitacas.com/pelicula/ficha/p11689,11689,6.5,6.5,11 de noviembre - 2025,2025-11-11
Par-Impar,https://www.palomitacas.com/pelicula/ficha/p11367,11367,6.0,6.0,11 de noviembre - 2025,2025-11-11
Estoy con los hipopótamos,https://www.palomitacas.com/pelicula/ficha/p9031,9031,6.0,6.0,11 de noviembre - 2025,2025-11-11
Quien tiene un amigo... tiene un tesoro,https://www.palomitacas.com/pelicula/ficha/p6399,6399,7.0,7.0,11 de noviembre - 2025,2025-11-11
Banana Joe,https://www.palomitacas.com/pelicula/ficha/p11340,11340,6.5,6.5,11 de noviembre - 2025,2025-11-11
Dos supersuperesbirros,https://www.palomitacas.com/pelicula/ficha/p11616,11616,6.5,6.5,11 de noviembre - 2025,2025-11-11
Dos super dos,https://www.palomitacas.com/pelicula/ficha/p8833,8833,6.5,6.5,11 de noviembre - 2025,2025-11-11
Dos superpolicías en Miami,https://www.palomitacas.com/pelicula/ficha/p10295,10295,6.0,6.0,11 de noviembre - 2025,2025-11-11
Y en nochebuena... ¡se armó el belén!,https://www.palomitacas.com/pelicula/ficha/p9287,9287,6.5,6.5,11 de noviembre - 2025,2025-11-11
Tú perdonas... yo no,https://www.palomitacas.com/pelicula/ficha/p41608,41608,6.5,6.5,11 de noviembre - 2025,2025-11-11
De boda en boda,https://www.palomitacas.com/pelicula/ficha/p9522,9522,6.0,6.0,11 de noviembre - 2025,2025-11-11
Redada Asesina 2,https://www.palomitacas.com/pelicula/ficha/p180299,180299,7.0,7.0,09 de noviembre - 2025,2025-11-09
The Green Hornet (El Avispón Verde),https://www.palomitacas.com/pelicula/ficha/p40805,40805,5.0,5.0,09 de noviembre - 2025,2025-11-09
El espantatiburones,https://www.palomitacas.com/pelicula/ficha/p10555,10555,6.0,6.0,09 de noviembre - 2025,2025-11-09
Enemigo público,https://www.palomitacas.com/pelicula/ficha/p9798,9798,7.0,7.0,09 de noviembre - 2025,2025-11-09
