title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Anaconda,https://www.palomitacas.com/pelicula/ficha/p1234731,1234731,6.0,6.0,28 de diciembre - 2025,2025-12-28
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,,,,
Llaman a la puerta,https://www.palomitacas.com/pelicula/ficha/p631842,631842,6.0,6.0,18 de diciembre - 2025,2025-12-21
The Sheep Detectives,https://www.palomitacas.com/pelicula/ficha/p1301421,1301421,,,,
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,,,,
John Carter,https://www.palomitacas.com/pelicula/ficha/p49529,49529,5.0,5.0,28 de noviembre - 2025,2025-11-28
El tesoro del Lago Kabán,https://www.palomitacas.com/pelicula/ficha/p201893,201893,4.0,4.0,24 de noviembre - 2025,2025-11-24
Cazadores de tesoros,https://www.palomitacas.com/pelicula/ficha/p732684,732684,5.5,5.5,23 de noviembre - 2025,2025-11-23
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,7.5,7.5,21 de noviembre - 2025,2025-11-21
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,,,,
Jumanji: Level One,https://www.palomitacas.com/pelicula/ficha/p766208,766208,8.5,8.5,15 de noviembre - 2025,2025-11-15
El reino del dragón,https://www.palomitacas.com/pelicula/ficha/p566810,566810,3.0,3.0,15 de noviembre - 2025,2025-11-15
Dragones y mazmorras: El libro de la vil oscuridad,https://www.palomitacas.com/pelicula/ficha/p135858,135858,,,,
Dragones y mazmorras: La ira del Dios dragón,https://www.palomitacas.com/pelicula/ficha/p9288,9288,,,,
La puerta mágica,https://www.palomitacas.com/pelicula/ficha/p830896,830896,7.0,7.0,10 de octubre - 2025,2025-10-10
Doctor Who: The Romans,https://www.palomitacas.com/pelicula/ficha/p436134,436134,7.0,7.0,09 de octubre - 2025,2025-10-09
Doctor Who: The Rescue,https://www.palomitacas.com/pelicula/ficha/p436132,436132,6.0,6.0,09 de octubre - 2025,2025-10-09
Chainsaw Man - La película: El arco de Reze,https://www.palomitacas.com/pelicula/ficha/p1218925,1218925,,,,
Las guerreras k-pop,https://www.palomitacas.com/pelicula/ficha/p803796,803796,8.5,8.5,04 de octubre - 2025,2025-10-04
Doctor Who: The Dalek Invasion of Earth,https://www.palomitacas.com/pelicula/ficha/p435909,435909,7.5,7.5,04 de octubre - 2025,2025-10-04
Doctor Who: Planet of Giants,https://www.palomitacas.com/pelicula/ficha/p435906,435906,6.0,6.0,29 de septiembre - 2025,2025-09-29
Doctor Who: The Reign of Terror,https://www.palomitacas.com/pelicula/ficha/p435898,435898,5.0,5.0,28 de septiembre - 2025,2025-09-28
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,,,,
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,9.0,9.0,09 de septiembre - 2025,2025-09-19
Invitación a un asesinato,https://www.palomitacas.com/pelicula/ficha/p989473,989473,,,,
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,7.0,7.0,30 de julio - 2025,2025-07-30
Doctor Who: The Sensorites,https://www.palomitacas.com/pelicula/ficha/p435688,435688,6.0,6.0,25 de julio - 2025,2025-09-26
Doctor Who: The Aztecs,https://www.palomitacas.com/pelicula/ficha/p354758,354758,7.0,7.0,20 de julio - 2025,2025-07-25
The Thursday Murder Club,https://www.palomitacas.com/pelicula/ficha/p744653,744653,8.5,8.5,24 de junio - 2025,2025-09-04
Doctor Who: The Keys of Marinus,https://www.palomitacas.com/pelicula/ficha/p435687,435687,7.0,7.0,23 de junio - 2025,2025-06-23
Ne Zha 2,https://www.palomitacas.com/pelicula/ficha/p980477,980477,,,,
Nezha - El renacer de un dios,https://www.palomitacas.com/pelicula/ficha/p615453,615453,8.0,8.0,23 de junio - 2025,2025-06-23
My Hero Academia: You're Next,https://www.palomitacas.com/pelicula/ficha/p1159311,1159311,6.0,6.0,18 de junio - 2025,2025-06-18
Doctor Who: Marco Polo,https://www.palomitacas.com/pelicula/ficha/p435509,435509,3.0,3.0,08 de junio - 2025,2025-06-08
Doctor Who: The Edge of Destruction,https://www.palomitacas.com/pelicula/ficha/p435469,435469,5.0,5.0,08 de junio - 2025,2024-06-09
Doctor Who: The Daleks,https://www.palomitacas.com/pelicula/ficha/p434215,434215,7.0,7.0,08 de junio - 2025,2024-06-06
Doctor Who: An Unearthly Child,https://www.palomitacas.com/pelicula/ficha/p430126,430126,6.5,6.5,08 de junio - 2025,2024-06-07
Doctor Who: Wish World & The Reality War,https://www.palomitacas.com/pelicula/ficha/p1472795,1472795,,,,
