title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La muerte os sienta tan bien,https://www.palomitacas.com/pelicula/ficha/p9374,9374,7.5,7.5,03 de enero - 2026,2026-01-03
Prometheus,https://www.palomitacas.com/pelicula/ficha/p70981,70981,,,,
Dr. Dolittle,https://www.palomitacas.com/pelicula/ficha/p3050,3050,8.5,8.5,28 de diciembre - 2025,2025-12-28
Caballero sin espada,https://www.palomitacas.com/pelicula/ficha/p3083,3083,,,,
Recuerdos del ayer,https://www.palomitacas.com/pelicula/ficha/p15080,15080,,,,
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,,,,
Un momento para recordar,https://www.palomitacas.com/pelicula/ficha/p15859,15859,,,,
La noche del cazador,https://www.palomitacas.com/pelicula/ficha/p3112,3112,,,,
Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,https://www.palomitacas.com/pelicula/ficha/p1311031,1311031,6.5,6.5,18 de septiembre - 2025,2025-09-18
Ballerina,https://www.palomitacas.com/pelicula/ficha/p541671,541671,7.0,7.0,17 de septiembre - 2025,2025-09-17
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,8.0,8.0,14 de septiembre - 2025,2025-09-14
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,6.5,6.5,10 de septiembre - 2025,2025-09-10
Los Tigres,https://www.palomitacas.com/pelicula/ficha/p1464374,1464374,,,,
La maldición del colgante,https://www.palomitacas.com/pelicula/ficha/p1293263,1293263,7.0,7.0,28 de agosto - 2025,2025-08-28
Until Dawn,https://www.palomitacas.com/pelicula/ficha/p1232546,1232546,,,,
Vivarium,https://www.palomitacas.com/pelicula/ficha/p458305,458305,7.5,7.5,16 de agosto - 2025,2025-08-16
Devuélvemela,https://www.palomitacas.com/pelicula/ficha/p1151031,1151031,7.0,7.0,15 de agosto - 2025,2025-08-15
La infiltrada,https://www.palomitacas.com/pelicula/ficha/p1215185,1215185,7.0,7.0,15 de agosto - 2025,2025-08-15
M3GAN 2.0,https://www.palomitacas.com/pelicula/ficha/p1071585,1071585,6.0,6.0,04 de agosto - 2025,2025-08-04
Cómo entrenar a tu dragón,https://www.palomitacas.com/pelicula/ficha/p1087192,1087192,7.5,7.5,27 de julio - 2025,2025-07-27
Un gran viaje atrevido y maravilloso,https://www.palomitacas.com/pelicula/ficha/p1241921,1241921,,,,
Lilo y Stitch,https://www.palomitacas.com/pelicula/ficha/p552524,552524,6.0,6.0,23 de julio - 2025,2025-07-23
Cómo entrenar a tu dragón 3,https://www.palomitacas.com/pelicula/ficha/p166428,166428,7.5,7.5,20 de julio - 2025,2025-07-20
Cómo entrenar a tu dragón 2,https://www.palomitacas.com/pelicula/ficha/p82702,82702,7.5,7.5,17 de julio - 2025,2025-07-17
28 años después,https://www.palomitacas.com/pelicula/ficha/p1100988,1100988,7.0,7.0,15 de julio - 2025,2025-07-15
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,7.5,7.5,07 de julio - 2025,2025-07-07
Destino final: Lazos de sangre,https://www.palomitacas.com/pelicula/ficha/p574475,574475,8.0,8.0,24 de junio - 2025,2025-06-24
13 fantasmas,https://www.palomitacas.com/pelicula/ficha/p9378,9378,6.5,6.5,31 de mayo - 2025,2025-05-31
K-19: The Widowmaker,https://www.palomitacas.com/pelicula/ficha/p8665,8665,,,,
Estado eléctrico,https://www.palomitacas.com/pelicula/ficha/p777443,777443,5.5,5.5,15 de marzo - 2025,2025-03-15
El truco final (El prestigio),https://www.palomitacas.com/pelicula/ficha/p1124,1124,7.0,7.0,02 de marzo - 2025,2025-08-15
Atrápame si puedes,https://www.palomitacas.com/pelicula/ficha/p640,640,8.0,8.0,16 de febrero - 2025,2025-12-17
Attack on Titan: THE LAST ATTACK,https://www.palomitacas.com/pelicula/ficha/p1333100,1333100,9.0,9.0,13 de febrero - 2025,2025-02-13
"Flow, un mundo que salvar",https://www.palomitacas.com/pelicula/ficha/p823219,823219,6.5,6.5,13 de febrero - 2025,2025-02-13
Equipaje de mano,https://www.palomitacas.com/pelicula/ficha/p1005331,1005331,7.5,7.5,08 de febrero - 2025,2025-02-08
Kraven the Hunter,https://www.palomitacas.com/pelicula/ficha/p539972,539972,4.0,4.0,07 de febrero - 2025,2025-02-07
La sustancia,https://www.palomitacas.com/pelicula/ficha/p933260,933260,8.0,8.0,30 de enero - 2025,2025-01-30
Conclave,https://www.palomitacas.com/pelicula/ficha/p974576,974576,,,,
Gladiator II,https://www.palomitacas.com/pelicula/ficha/p558449,558449,7.5,7.5,11 de enero - 2025,2025-01-11
Suzume,https://www.palomitacas.com/pelicula/ficha/p916224,916224,7.0,7.0,09 de enero - 2025,2025-01-09
Pájaros,https://www.palomitacas.com/pelicula/ficha/p1130428,1130428,6.0,6.0,05 de enero - 2025,2025-01-05
M3GAN,https://www.palomitacas.com/pelicula/ficha/p536554,536554,7.5,7.5,03 de enero - 2025,2025-01-03
Nosferatu,https://www.palomitacas.com/pelicula/ficha/p426063,426063,8.5,8.5,28 de diciembre - 2024,2024-12-28
Gothika,https://www.palomitacas.com/pelicula/ficha/p4970,4970,7.0,7.0,21 de diciembre - 2024,2024-12-21
Red One,https://www.palomitacas.com/pelicula/ficha/p845781,845781,4.0,4.0,15 de diciembre - 2024,2024-12-15
El cuervo,https://www.palomitacas.com/pelicula/ficha/p957452,957452,6.5,6.5,02 de diciembre - 2024,2024-12-02
Nunca te sueltes,https://www.palomitacas.com/pelicula/ficha/p814889,814889,7.0,7.0,23 de noviembre - 2024,2024-11-23
Look Back,https://www.palomitacas.com/pelicula/ficha/p1244492,1244492,8.5,8.5,10 de noviembre - 2024,2024-11-10
El hoyo 2,https://www.palomitacas.com/pelicula/ficha/p1125510,1125510,7.5,7.5,08 de noviembre - 2024,2024-11-08
Los horrores de Caddo Lake,https://www.palomitacas.com/pelicula/ficha/p863873,863873,8.0,8.0,04 de noviembre - 2024,2024-11-04
Phenomenon,https://www.palomitacas.com/pelicula/ficha/p9294,9294,6.5,6.5,29 de octubre - 2024,2024-10-29
Speak No Evil,https://www.palomitacas.com/pelicula/ficha/p833339,833339,,,,
Robot salvaje,https://www.palomitacas.com/pelicula/ficha/p1184918,1184918,8.0,8.0,15 de octubre - 2024,2024-12-07
Silent Hill,https://www.palomitacas.com/pelicula/ficha/p588,588,7.0,7.0,12 de octubre - 2024,2024-10-12
Joker: Folie à Deux,https://www.palomitacas.com/pelicula/ficha/p889737,889737,7.0,7.0,01 de octubre - 2024,2024-10-16
A Savannah Haunting,https://www.palomitacas.com/pelicula/ficha/p852917,852917,6.5,6.5,14 de septiembre - 2024,2024-09-14
El chico y la garza,https://www.palomitacas.com/pelicula/ficha/p508883,508883,6.0,6.0,14 de septiembre - 2024,2024-09-14
Alien: Romulus,https://www.palomitacas.com/pelicula/ficha/p945961,945961,7.5,7.5,09 de septiembre - 2024,2024-11-06
La trampa,https://www.palomitacas.com/pelicula/ficha/p1032823,1032823,7.0,7.0,07 de septiembre - 2024,2024-09-07
A Kite,https://www.palomitacas.com/pelicula/ficha/p18881,18881,,,,
Fuga de cerebros,https://www.palomitacas.com/pelicula/ficha/p18120,18120,6.0,6.0,04 de septiembre - 2024,2024-09-04
Immaculate,https://www.palomitacas.com/pelicula/ficha/p1041613,1041613,5.0,5.0,24 de agosto - 2024,2024-08-24
Beekeeper: El protector,https://www.palomitacas.com/pelicula/ficha/p866398,866398,7.5,7.5,15 de agosto - 2024,2024-08-15
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,7.5,7.5,15 de agosto - 2024,2024-08-15
Nefarious. Cuando habla el diablo,https://www.palomitacas.com/pelicula/ficha/p913673,913673,7.5,7.5,09 de agosto - 2024,2024-08-09
Un lugar tranquilo: Día uno,https://www.palomitacas.com/pelicula/ficha/p762441,762441,7.0,7.0,08 de agosto - 2024,2024-08-08
ハッピーフライト,https://www.palomitacas.com/pelicula/ficha/p18733,18733,,,,
Greatest Cartoons of the Golden Era,https://www.palomitacas.com/pelicula/ficha/p1305571,1305571,,,,
Figuras ocultas,https://www.palomitacas.com/pelicula/ficha/p381284,381284,7.5,7.5,19 de julio - 2024,2024-07-19
Los renglones torcidos de Dios,https://www.palomitacas.com/pelicula/ficha/p890980,890980,4.0,4.0,29 de junio - 2024,2024-06-29
Los vigilantes,https://www.palomitacas.com/pelicula/ficha/p1086747,1086747,4.0,4.0,29 de junio - 2024,2024-06-29
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,8.0,8.0,27 de junio - 2024,2024-06-27
"Huye, conejo, huye",https://www.palomitacas.com/pelicula/ficha/p714669,714669,7.5,7.5,17 de junio - 2024,2024-06-17
Tarot,https://www.palomitacas.com/pelicula/ficha/p719221,719221,5.0,5.0,11 de junio - 2024,2024-06-11
Furiosa: de la saga Mad Max,https://www.palomitacas.com/pelicula/ficha/p786892,786892,6.0,6.0,03 de junio - 2024,2024-06-03
Room 8,https://www.palomitacas.com/pelicula/ficha/p191850,191850,,,,
Malasaña 32,https://www.palomitacas.com/pelicula/ficha/p639798,639798,7.5,7.5,25 de mayo - 2024,2024-05-25
Fractura,https://www.palomitacas.com/pelicula/ficha/p568091,568091,7.0,7.0,23 de mayo - 2024,2024-05-23
The Great Lillian Hall,https://www.palomitacas.com/pelicula/ficha/p800513,800513,,,,
Harvie Krumpet,https://www.palomitacas.com/pelicula/ficha/p21131,21131,7.0,7.0,13 de mayo - 2024,2024-05-13
El viejo y el mar,https://www.palomitacas.com/pelicula/ficha/p38577,38577,6.5,6.5,13 de mayo - 2024,2024-05-13
Street of Crocodiles,https://www.palomitacas.com/pelicula/ficha/p59357,59357,6.0,6.0,12 de mayo - 2024,2024-05-12
Rejected,https://www.palomitacas.com/pelicula/ficha/p32536,32536,4.5,4.5,10 de mayo - 2024,2024-05-10
The External World,https://www.palomitacas.com/pelicula/ficha/p88378,88378,3.0,3.0,10 de mayo - 2024,2024-05-10
Harpya,https://www.palomitacas.com/pelicula/ficha/p163060,163060,5.0,5.0,08 de mayo - 2024,2024-05-08
Padre e hija,https://www.palomitacas.com/pelicula/ficha/p48617,48617,7.0,7.0,07 de mayo - 2024,2024-05-07
The Sandman,https://www.palomitacas.com/pelicula/ficha/p48581,48581,6.5,6.5,06 de mayo - 2024,2024-05-06
Parcialmente nublado,https://www.palomitacas.com/pelicula/ficha/p24480,24480,7.5,7.5,05 de mayo - 2024,2024-05-05
El viejo molino,https://www.palomitacas.com/pelicula/ficha/p72640,72640,6.5,6.5,05 de mayo - 2024,2024-05-05
25 Ways to Quit Smoking,https://www.palomitacas.com/pelicula/ficha/p48708,48708,6.0,6.0,03 de mayo - 2024,2024-05-03
Mi Amor,https://www.palomitacas.com/pelicula/ficha/p104522,104522,7.0,7.0,02 de mayo - 2024,2024-05-02
Malos tiempos en El Royale,https://www.palomitacas.com/pelicula/ficha/p446021,446021,,,,
Camino del sur,https://www.palomitacas.com/pelicula/ficha/p34130,34130,,,,
La llamada de lo salvaje,https://www.palomitacas.com/pelicula/ficha/p481848,481848,,,,
Déjame entrar,https://www.palomitacas.com/pelicula/ficha/p41402,41402,,,,
