title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Warfare: Tiempo de guerra,https://www.palomitacas.com/pelicula/ficha/p1241436,1241436,6.0,6.0,30 de diciembre - 2025,2025-12-29
Puñales por la espalda,https://www.palomitacas.com/pelicula/ficha/p546554,546554,7.0,7.0,30 de diciembre - 2025,2025-12-29
Cover-Up,https://www.palomitacas.com/pelicula/ficha/p1516391,1516391,8.0,8.0,28 de diciembre - 2025,2025-12-28
La larga marcha,https://www.palomitacas.com/pelicula/ficha/p604079,604079,7.5,7.5,27 de diciembre - 2025,2025-12-27
Father Mother Sister Brother,https://www.palomitacas.com/pelicula/ficha/p1159206,1159206,5.0,5.0,27 de diciembre - 2025,2025-12-26
All I Know of Love,https://www.palomitacas.com/pelicula/ficha/p1039579,1039579,6.0,6.0,21 de diciembre - 2025,2025-12-21
Valor sentimental,https://www.palomitacas.com/pelicula/ficha/p1124566,1124566,6.5,6.5,15 de diciembre - 2025,2025-12-15
Puñales por la espalda: De entre los muertos,https://www.palomitacas.com/pelicula/ficha/p812583,812583,6.0,6.0,15 de diciembre - 2025,2025-12-15
Film Noir: Bringing Darkness to Light,https://www.palomitacas.com/pelicula/ficha/p311998,311998,5.0,5.0,14 de diciembre - 2025,2025-12-14
Drácula,https://www.palomitacas.com/pelicula/ficha/p1246049,1246049,4.0,4.0,03 de diciembre - 2025,2025-12-01
Die My Love,https://www.palomitacas.com/pelicula/ficha/p1033148,1033148,6.0,6.0,18 de noviembre - 2025,2025-11-17
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,5.0,5.0,16 de noviembre - 2025,2025-11-15
La magia del montaje,https://www.palomitacas.com/pelicula/ficha/p44345,44345,5.0,5.0,16 de noviembre - 2025,2025-10-16
Los pecadores,https://www.palomitacas.com/pelicula/ficha/p1233413,1233413,7.0,7.0,16 de noviembre - 2025,2025-10-13
Weapons,https://www.palomitacas.com/pelicula/ficha/p1078605,1078605,4.0,4.0,16 de noviembre - 2025,2025-10-12
Life Is Flashing Before Your Eyes,https://www.palomitacas.com/pelicula/ficha/p105943,105943,6.0,6.0,16 de noviembre - 2025,2025-10-10
Training Day (Día de entrenamiento),https://www.palomitacas.com/pelicula/ficha/p2034,2034,7.0,7.0,16 de noviembre - 2025,2025-10-09
Una batalla tras otra,https://www.palomitacas.com/pelicula/ficha/p1054867,1054867,6.5,6.5,16 de noviembre - 2025,2025-09-29
The Amusement Park,https://www.palomitacas.com/pelicula/ficha/p560981,560981,6.0,6.0,15 de septiembre - 2025,2025-09-15
The Lost Footage of Leah Sullivan,https://www.palomitacas.com/pelicula/ficha/p555559,555559,5.0,5.0,15 de septiembre - 2025,2025-09-07
Encuentros paranormales 2,https://www.palomitacas.com/pelicula/ficha/p134366,134366,3.5,3.5,15 de septiembre - 2025,2025-09-06
Los Huesos,https://www.palomitacas.com/pelicula/ficha/p848553,848553,7.0,7.0,15 de septiembre - 2025,2025-09-04
Los asesinatos de mamá,https://www.palomitacas.com/pelicula/ficha/p11592,11592,8.0,8.0,15 de septiembre - 2025,2025-08-31
Horror in the High Desert 4: Majesty,https://www.palomitacas.com/pelicula/ficha/p1418715,1418715,,,,
Horror in the High Desert 3: Firewatch,https://www.palomitacas.com/pelicula/ficha/p1139036,1139036,7.5,7.5,30 de agosto - 2025,2025-08-30
Hellbender,https://www.palomitacas.com/pelicula/ficha/p848886,848886,5.5,5.5,30 de agosto - 2025,2025-08-27
El juramento,https://www.palomitacas.com/pelicula/ficha/p5955,5955,6.0,6.0,15 de agosto - 2025,2025-08-15
Las dos caras de la verdad,https://www.palomitacas.com/pelicula/ficha/p1592,1592,6.5,6.5,15 de agosto - 2025,2025-08-15
Silent Hill,https://www.palomitacas.com/pelicula/ficha/p588,588,7.0,7.0,13 de agosto - 2025,2025-08-13
A Bittersweet Life,https://www.palomitacas.com/pelicula/ficha/p11344,11344,7.0,7.0,10 de agosto - 2025,2025-08-10
Creep,https://www.palomitacas.com/pelicula/ficha/p8555,8555,6.5,6.5,10 de agosto - 2025,2025-08-08
Presence,https://www.palomitacas.com/pelicula/ficha/p1140535,1140535,7.5,7.5,10 de agosto - 2025,2025-08-05
La flor del mal,https://www.palomitacas.com/pelicula/ficha/p10994,10994,,,,
Despedidas,https://www.palomitacas.com/pelicula/ficha/p16804,16804,,,,
Totally F***ed Up,https://www.palomitacas.com/pelicula/ficha/p33560,33560,7.5,7.5,09 de mayo - 2025,2025-05-09
Directos al infierno,https://www.palomitacas.com/pelicula/ficha/p9698,9698,,,,
Moonage Daydream,https://www.palomitacas.com/pelicula/ficha/p957457,957457,,,,
B-Movie: Lust & Sound in West-Berlin 1979-1989,https://www.palomitacas.com/pelicula/ficha/p318042,318042,,,,
Splendor,https://www.palomitacas.com/pelicula/ficha/p35122,35122,,,,
Gay USA,https://www.palomitacas.com/pelicula/ficha/p125776,125776,,,,
Jóvenes ocultos,https://www.palomitacas.com/pelicula/ficha/p1547,1547,,,,
Freak Orlando,https://www.palomitacas.com/pelicula/ficha/p107531,107531,,,,
The Smell of Us,https://www.palomitacas.com/pelicula/ficha/p157824,157824,,,,
