title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
Pequeños detalles,https://www.palomitacas.com/pelicula/ficha/p602269,602269,10.0,10.0,29 de diciembre - 2025,2025-12-29
Shooter: El tirador,https://www.palomitacas.com/pelicula/ficha/p7485,7485,10.0,10.0,29 de diciembre - 2025,2025-12-29
El médico 2,https://www.palomitacas.com/pelicula/ficha/p1219548,1219548,,,,
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,10.0,10.0,22 de diciembre - 2025,2026-01-02
Avatar: Fuego y ceniza,https://www.palomitacas.com/pelicula/ficha/p83533,83533,,,,
Ahora me ves 3,https://www.palomitacas.com/pelicula/ficha/p425274,425274,,,,
Zootrópolis,https://www.palomitacas.com/pelicula/ficha/p269149,269149,10.0,10.0,24 de noviembre - 2025,2025-11-24
Elio,https://www.palomitacas.com/pelicula/ficha/p1022787,1022787,10.0,10.0,21 de noviembre - 2025,2025-11-21
Alicia a través del espejo,https://www.palomitacas.com/pelicula/ficha/p241259,241259,10.0,10.0,15 de noviembre - 2025,2025-11-15
Alicia en el País de las Maravillas,https://www.palomitacas.com/pelicula/ficha/p12155,12155,10.0,10.0,15 de noviembre - 2025,2025-11-15
Coco,https://www.palomitacas.com/pelicula/ficha/p354912,354912,,,,
Nadie 2,https://www.palomitacas.com/pelicula/ficha/p1007734,1007734,,,,
Expediente Warren: El último rito,https://www.palomitacas.com/pelicula/ficha/p1038392,1038392,10.0,10.0,16 de septiembre - 2025,2026-01-02
El agente invisible,https://www.palomitacas.com/pelicula/ficha/p725201,725201,10.0,10.0,29 de agosto - 2025,2025-08-29
Dragonheart (Corazón de dragón),https://www.palomitacas.com/pelicula/ficha/p8840,8840,10.0,10.0,15 de agosto - 2025,2025-08-15
Los Cuatro Fantásticos: Primeros pasos,https://www.palomitacas.com/pelicula/ficha/p617126,617126,10.0,10.0,07 de agosto - 2025,2025-11-24
Del revés 2 (Inside Out 2),https://www.palomitacas.com/pelicula/ficha/p1022789,1022789,10.0,10.0,07 de agosto - 2025,2025-08-07
Atlantis: El imperio perdido,https://www.palomitacas.com/pelicula/ficha/p10865,10865,10.0,10.0,03 de agosto - 2025,2025-08-03
El Juego del Ascensor,https://www.palomitacas.com/pelicula/ficha/p1015303,1015303,5.0,5.0,03 de agosto - 2025,2025-08-03
