title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
La serie Divergente: Insurgente,https://www.palomitacas.com/pelicula/ficha/p262500,262500,7.0,7.0,25 de abril - 2021,2021-04-25
Divergente,https://www.palomitacas.com/pelicula/ficha/p157350,157350,7.0,7.0,25 de abril - 2021,2021-04-25
Chernobyl: 35 años después,https://www.palomitacas.com/pelicula/ficha/p801622,801622,8.5,8.5,24 de abril - 2021,2021-04-24
Kursk,https://www.palomitacas.com/pelicula/ficha/p401200,401200,8.0,8.0,11 de abril - 2021,2021-04-11
Sr. y Sra. Smith,https://www.palomitacas.com/pelicula/ficha/p787,787,7.0,7.0,04 de abril - 2021,2021-04-04
¡Qué bello es vivir!,https://www.palomitacas.com/pelicula/ficha/p1585,1585,,,,
La Liga de la Justicia de Zack Snyder,https://www.palomitacas.com/pelicula/ficha/p791373,791373,10.0,10.0,23 de marzo - 2021,2021-04-02
When You´re Strange - Una película sobre The Doors,https://www.palomitacas.com/pelicula/ficha/p37659,37659,10.0,10.0,20 de marzo - 2021,2021-03-20
ABBA Forever: The Winner Takes It All,https://www.palomitacas.com/pelicula/ficha/p673572,673572,10.0,10.0,20 de marzo - 2021,2021-03-20
La última semana de John Lennon,https://www.palomitacas.com/pelicula/ficha/p767093,767093,10.0,10.0,20 de marzo - 2021,2021-03-18
Elton John becoming rocketman,https://www.palomitacas.com/pelicula/ficha/p705047,705047,10.0,10.0,20 de marzo - 2021,2021-03-18
Whitney,https://www.palomitacas.com/pelicula/ficha/p507256,507256,10.0,10.0,20 de marzo - 2021,2021-03-19
Minari,https://www.palomitacas.com/pelicula/ficha/p615643,615643,,,,
El padre,https://www.palomitacas.com/pelicula/ficha/p600354,600354,,,,
Cobain: Montage of Heck,https://www.palomitacas.com/pelicula/ficha/p319075,319075,10.0,10.0,14 de marzo - 2021,2021-03-14
Amy,https://www.palomitacas.com/pelicula/ficha/p331781,331781,10.0,10.0,14 de marzo - 2021,2021-03-14
Ofrenda a la tormenta,https://www.palomitacas.com/pelicula/ficha/p673174,673174,,,,
El infierno del odio,https://www.palomitacas.com/pelicula/ficha/p12493,12493,,,,
El bazar de las sorpresas,https://www.palomitacas.com/pelicula/ficha/p20334,20334,,,,
Vacaciones en Roma,https://www.palomitacas.com/pelicula/ficha/p804,804,,,,
Your name,https://www.palomitacas.com/pelicula/ficha/p372058,372058,,,,
Malcolm y Marie,https://www.palomitacas.com/pelicula/ficha/p722913,722913,,,,
Cuando el amor te toca,https://www.palomitacas.com/pelicula/ficha/p426618,426618,,,,
Arrietty y el mundo de los diminutos,https://www.palomitacas.com/pelicula/ficha/p51739,51739,,,,
Una joven prometedora,https://www.palomitacas.com/pelicula/ficha/p582014,582014,,,,
Dancer,https://www.palomitacas.com/pelicula/ficha/p411201,411201,9.0,9.0,23 de enero - 2021,2021-01-23
