title,url,tmdb_id,user_rating,site_rating,added_label,checkin_date
El elixir de la inmortalidad,https://www.palomitacas.com/pelicula/ficha/p1306525,1306525,7.0,7.0,04 de enero - 2026,2026-01-04
Die My Love,https://www.palomitacas.com/pelicula/ficha/p1033148,1033148,,,,
El búho y la niña: Casi una historia navideña,https://www.palomitacas.com/pelicula/ficha/p1355755,1355755,6.0,6.0,31 de diciembre - 2025,2025-12-31
Corto navideño de Disney: Las mejores Navidades,https://www.palomitacas.com/pelicula/ficha/p1578602,1578602,6.0,6.0,31 de diciembre - 2025,2025-12-31
El diario de Greg: ¡Esto es el colmo!,https://www.palomitacas.com/pelicula/ficha/p1392796,1392796,6.0,6.0,31 de diciembre - 2025,2025-12-31
El diario de Greg en Navidad: Atrapados en la nieve,https://www.palomitacas.com/pelicula/ficha/p1123093,1123093,6.0,6.0,31 de diciembre - 2025,2025-12-31
El diario de Greg 2: La ley de Rodrick,https://www.palomitacas.com/pelicula/ficha/p897192,897192,6.0,6.0,31 de diciembre - 2025,2025-12-31
El diario de Greg,https://www.palomitacas.com/pelicula/ficha/p774741,774741,6.0,6.0,31 de diciembre - 2025,2025-12-31
Diario de Greg: Carretera y manta,https://www.palomitacas.com/pelicula/ficha/p417830,417830,6.5,6.5,31 de diciembre - 2025,2025-12-31
El diario de Greg 3: Días de perros,https://www.palomitacas.com/pelicula/ficha/p82650,82650,6.5,6.5,30 de diciembre - 2025,2025-12-30
El diario de Greg 2: La ley de Rodrick,https://www.palomitacas.com/pelicula/ficha/p60307,60307,6.5,6.5,30 de diciembre - 2025,2025-12-30
El diario de Greg,https://www.palomitacas.com/pelicula/ficha/p33217,33217,6.5,6.5,30 de diciembre - 2025,2025-12-30
Anaconda,https://www.palomitacas.com/pelicula/ficha/p1234731,1234731,7.5,7.5,30 de diciembre - 2025,2025-12-30
Los Muértimer,https://www.palomitacas.com/pelicula/ficha/p1318691,1318691,6.0,6.0,28 de diciembre - 2025,2025-12-28
"Adiós, June",https://www.palomitacas.com/pelicula/ficha/p1435092,1435092,6.0,6.0,27 de diciembre - 2025,2025-12-27
Homo Argentum,https://www.palomitacas.com/pelicula/ficha/p1471345,1471345,,,,
Sin cobertura,https://www.palomitacas.com/pelicula/ficha/p1370124,1370124,8.5,8.5,23 de diciembre - 2025,2025-12-23
대홍수,https://www.palomitacas.com/pelicula/ficha/p982843,982843,9.0,9.0,22 de diciembre - 2025,2025-12-22
Avatar,https://www.palomitacas.com/pelicula/ficha/p19995,19995,6.5,6.5,21 de diciembre - 2025,2025-12-21
Drácula de Bram Stoker,https://www.palomitacas.com/pelicula/ficha/p6114,6114,,,,
Merv,https://www.palomitacas.com/pelicula/ficha/p1255775,1255775,6.5,6.5,14 de diciembre - 2025,2025-12-14
Marea blanca: La surrealista historia de Rabo de Peixe,https://www.palomitacas.com/pelicula/ficha/p1557977,1557977,,,,
La familia McMullen,https://www.palomitacas.com/pelicula/ficha/p1548017,1548017,7.0,7.0,11 de diciembre - 2025,2025-12-11
La Navidad en sus manos 2,https://www.palomitacas.com/pelicula/ficha/p1196207,1196207,7.5,7.5,08 de diciembre - 2025,2025-12-08
La Navidad en sus manos,https://www.palomitacas.com/pelicula/ficha/p1100763,1100763,7.0,7.0,08 de diciembre - 2025,2025-12-08
Eternity,https://www.palomitacas.com/pelicula/ficha/p1259102,1259102,8.0,8.0,06 de diciembre - 2025,2025-12-06
Christy,https://www.palomitacas.com/pelicula/ficha/p1287322,1287322,,,,
Núremberg,https://www.palomitacas.com/pelicula/ficha/p1214931,1214931,,,,
My Secret Santa,https://www.palomitacas.com/pelicula/ficha/p1441563,1441563,7.0,7.0,05 de diciembre - 2025,2025-12-05
"With Love, Meghan: Holiday Celebration",https://www.palomitacas.com/pelicula/ficha/p1578631,1578631,9.0,9.0,04 de diciembre - 2025,2025-12-04
Los Rose,https://www.palomitacas.com/pelicula/ficha/p1267905,1267905,6.5,6.5,04 de diciembre - 2025,2025-12-04
Oh. What. Fun.,https://www.palomitacas.com/pelicula/ficha/p1261825,1261825,8.0,8.0,04 de diciembre - 2025,2025-12-04
Sin oxígeno,https://www.palomitacas.com/pelicula/ficha/p972533,972533,7.0,7.0,03 de diciembre - 2025,2025-12-03
Zootrópolis 2,https://www.palomitacas.com/pelicula/ficha/p1084242,1084242,6.5,6.5,03 de diciembre - 2025,2025-12-03
Un hombre abandonado,https://www.palomitacas.com/pelicula/ficha/p1495723,1495723,5.0,5.0,02 de diciembre - 2025,2025-12-02
Trol 2,https://www.palomitacas.com/pelicula/ficha/p1180831,1180831,8.0,8.0,02 de diciembre - 2025,2025-12-02
Striptease,https://www.palomitacas.com/pelicula/ficha/p9879,9879,5.0,5.0,01 de diciembre - 2025,2025-12-01
Uno equis dos,https://www.palomitacas.com/pelicula/ficha/p1451296,1451296,6.5,6.5,30 de noviembre - 2025,2025-11-30
Un robo muy navideño,https://www.palomitacas.com/pelicula/ficha/p1218762,1218762,9.0,9.0,28 de noviembre - 2025,2025-11-28
Pitufos,https://www.palomitacas.com/pelicula/ficha/p936108,936108,5.5,5.5,28 de noviembre - 2025,2025-11-28
Luck,https://www.palomitacas.com/pelicula/ficha/p585511,585511,9.0,9.0,23 de noviembre - 2025,2025-11-23
Plan en familia 2,https://www.palomitacas.com/pelicula/ficha/p1363123,1363123,6.0,6.0,23 de noviembre - 2025,2025-11-23
ONE SHOT with Ed Sheeran,https://www.palomitacas.com/pelicula/ficha/p1559572,1559572,,,,
The Running Man,https://www.palomitacas.com/pelicula/ficha/p798645,798645,6.0,6.0,23 de noviembre - 2025,2025-11-23
Wicked Parte II,https://www.palomitacas.com/pelicula/ficha/p967941,967941,8.5,8.5,22 de noviembre - 2025,2025-11-22
El rito,https://www.palomitacas.com/pelicula/ficha/p48171,48171,6.0,6.0,22 de noviembre - 2025,2025-11-22
El encanto del champán,https://www.palomitacas.com/pelicula/ficha/p1323475,1323475,7.5,7.5,22 de noviembre - 2025,2025-11-22
Manicomio del terror,https://www.palomitacas.com/pelicula/ficha/p523371,523371,6.0,6.0,22 de noviembre - 2025,2025-11-22
Twisters,https://www.palomitacas.com/pelicula/ficha/p718821,718821,9.0,9.0,21 de noviembre - 2025,2025-11-21
En sueños,https://www.palomitacas.com/pelicula/ficha/p1117857,1117857,6.5,6.5,21 de noviembre - 2025,2025-11-21
Juegos de niños,https://www.palomitacas.com/pelicula/ficha/p1248226,1248226,6.0,6.0,17 de noviembre - 2025,2025-11-17
Una Navidad ex-cepcional,https://www.palomitacas.com/pelicula/ficha/p1401318,1401318,7.0,7.0,17 de noviembre - 2025,2025-11-17
Padre no hay más que uno 5: Nido repleto,https://www.palomitacas.com/pelicula/ficha/p1328913,1328913,5.0,5.0,14 de noviembre - 2025,2025-11-14
Bugonia,https://www.palomitacas.com/pelicula/ficha/p701387,701387,6.0,6.0,14 de noviembre - 2025,2025-11-14
Frankenstein,https://www.palomitacas.com/pelicula/ficha/p1062722,1062722,6.0,6.0,13 de noviembre - 2025,2025-11-21
Deadstream,https://www.palomitacas.com/pelicula/ficha/p886083,886083,,,,
En busca de Joy,https://www.palomitacas.com/pelicula/ficha/p1252382,1252382,9.0,9.0,06 de noviembre - 2025,2025-11-06
Aileen: Queen of the Serial Killers,https://www.palomitacas.com/pelicula/ficha/p1550569,1550569,6.0,6.0,03 de noviembre - 2025,2025-11-03
La casa,https://www.palomitacas.com/pelicula/ficha/p926899,926899,5.5,5.5,03 de noviembre - 2025,2025-11-03
